[train] t= 21000 | LossPi=-361.3961 | PiEntropy=-1.0043 | Alpha= 0.5923 | MinQ= 387.5027 | QcPi= 11.8678| BatchCostMean= 0.1916 | BatchCostMax= 0.8768 | BatchCostNZ= 0.4648| WinRewMean= 6547.6947 | WinCostMean= 0.1532 | Beta= 2.1497
[train] t= 22000 | LossPi=-380.5941 | PiEntropy=-0.8544 | Alpha= 0.5879 | MinQ= 407.8366 | QcPi= 11.9346| BatchCostMean= 0.1991 | BatchCostMax= 0.8888 | BatchCostNZ= 0.4883| WinRewMean= 7247.2675 | WinCostMean= 0.1383 | Beta= 2.2406
[train] t= 23000 | LossPi=-381.8095 | PiEntropy=-1.0879 | Alpha= 0.5568 | MinQ= 410.4025 | QcPi= 12.0039| BatchCostMean= 0.1884 | BatchCostMax= 0.8902 | BatchCostNZ= 0.4688| WinRewMean= 8243.8348 | WinCostMean= 0.0994 | Beta= 2.3315
[train] t= 24000 | LossPi=-378.1350 | PiEntropy=-1.2304 | Alpha= 0.6105 | MinQ= 408.3303 | QcPi= 12.1500| BatchCostMean= 0.1957 | BatchCostMax= 0.8111 | BatchCostNZ= 0.4648| WinRewMean= 5400.7342 | WinCostMean= 0.1398 | Beta= 2.4234
[train] t= 25000 | LossPi=-407.8456 | PiEntropy=-1.0882 | Alpha= 0.5833 | MinQ= 438.5674 | QcPi= 11.9578| BatchCostMean= 0.1393 | BatchCostMax= 0.8353 | BatchCostNZ= 0.3555| WinRewMean= 7726.0573 | WinCostMean= 0.1235 | Beta= 2.5161
[train] t= 26000 | LossPi=-406.9121 | PiEntropy=-1.1338 | Alpha= 0.5998 | MinQ= 439.1158 | QcPi= 12.0820| BatchCostMean= 0.1560 | BatchCostMax= 0.9266 | BatchCostNZ= 0.3984| WinRewMean= 4268.9084 | WinCostMean= 0.1670 | Beta= 2.6091
[train] t= 27000 | LossPi=-414.4243 | PiEntropy=-1.1345 | Alpha= 0.6090 | MinQ= 447.1445 | QcPi= 11.8501| BatchCostMean= 0.1695 | BatchCostMax= 0.9297 | BatchCostNZ= 0.4297| WinRewMean= 6901.1919 | WinCostMean= 0.1010 | Beta= 2.7029
[train] t= 28000 | LossPi=-418.7013 | PiEntropy=-1.0584 | Alpha= 0.6533 | MinQ= 452.6602 | QcPi= 11.8997| BatchCostMean= 0.1667 | BatchCostMax= 0.8822 | BatchCostNZ= 0.4258| WinRewMean= 7100.8672 | WinCostMean= 0.0945 | Beta= 2.7957
[train] t= 29000 | LossPi=-428.3831 | PiEntropy=-0.8197 | Alpha= 0.6005 | MinQ= 463.0909 | QcPi= 11.8416| BatchCostMean= 0.1334 | BatchCostMax= 0.8504 | BatchCostNZ= 0.3750| WinRewMean= 4173.4941 | WinCostMean= 0.1294 | Beta= 2.8894
[train] t= 30000 | LossPi=-439.1340 | PiEntropy=-0.9809 | Alpha= 0.5828 | MinQ= 474.1655 | QcPi= 11.5458| BatchCostMean= 0.1488 | BatchCostMax= 0.9002 | BatchCostNZ= 0.4023| WinRewMean= 5921.7369 | WinCostMean= 0.1108 | Beta= 2.9846
[train] t= 31000 | LossPi=-432.6073 | PiEntropy=-0.9015 | Alpha= 0.5779 | MinQ= 469.1520 | QcPi= 11.6996| BatchCostMean= 0.1483 | BatchCostMax= 0.8342 | BatchCostNZ= 0.3945| WinRewMean= 8559.5724 | WinCostMean= 0.0861 | Beta= 3.0790
[train] t= 32000 | LossPi=-443.8885 | PiEntropy=-1.0320 | Alpha= 0.6396 | MinQ= 481.0671 | QcPi= 11.5058| BatchCostMean= 0.1532 | BatchCostMax= 0.8750 | BatchCostNZ= 0.3984| WinRewMean= 6157.3805 | WinCostMean= 0.1114 | Beta= 3.1739
[train] t= 33000 | LossPi=-449.2755 | PiEntropy=-1.1909 | Alpha= 0.6733 | MinQ= 487.5196 | QcPi= 11.4545| BatchCostMean= 0.1602 | BatchCostMax= 0.8822 | BatchCostNZ= 0.4414| WinRewMean= 7466.9650 | WinCostMean= 0.0758 | Beta= 3.2688
[train] t= 34000 | LossPi=-440.6384 | PiEntropy=-0.8658 | Alpha= 0.6430 | MinQ= 479.9205 | QcPi= 11.5106| BatchCostMean= 0.1820 | BatchCostMax= 0.9213 | BatchCostNZ= 0.4727| WinRewMean= 5249.9599 | WinCostMean= 0.1195 | Beta= 3.3643
[train] t= 35000 | LossPi=-446.9059 | PiEntropy=-1.1016 | Alpha= 0.6591 | MinQ= 486.8480 | QcPi= 11.3328| BatchCostMean= 0.1707 | BatchCostMax= 0.9104 | BatchCostNZ= 0.4648| WinRewMean= 6302.6417 | WinCostMean= 0.0933 | Beta= 3.4604
[train] t= 36000 | LossPi=-452.5232 | PiEntropy=-1.1016 | Alpha= 0.6396 | MinQ= 493.7966 | QcPi= 11.4058| BatchCostMean= 0.1653 | BatchCostMax= 0.8851 | BatchCostNZ= 0.4336| WinRewMean= 4570.4490 | WinCostMean= 0.1232 | Beta= 3.5569
[train] t= 37000 | LossPi=-470.2400 | PiEntropy=-1.0343 | Alpha= 0.6429 | MinQ= 511.2736 | QcPi= 11.0484| BatchCostMean= 0.1605 | BatchCostMax= 0.8373 | BatchCostNZ= 0.4492| WinRewMean= 4241.4228 | WinCostMean= 0.1139 | Beta= 3.6538
[train] t= 38000 | LossPi=-449.2282 | PiEntropy=-1.1149 | Alpha= 0.6780 | MinQ= 491.8600 | QcPi= 11.1659| BatchCostMean= 0.1574 | BatchCostMax= 0.9504 | BatchCostNZ= 0.4141| WinRewMean= 6699.4090 | WinCostMean= 0.0807 | Beta= 3.7504
[train] t= 39000 | LossPi=-470.8162 | PiEntropy=-0.9128 | Alpha= 0.6453 | MinQ= 513.6016 | QcPi= 10.9691| BatchCostMean= 0.1426 | BatchCostMax= 0.8443 | BatchCostNZ= 0.4180| WinRewMean= 5730.0700 | WinCostMean= 0.1021 | Beta= 3.8468
[train] t= 40000 | LossPi=-446.0646 | PiEntropy=-1.0148 | Alpha= 0.6393 | MinQ= 491.2480 | QcPi= 11.2914| BatchCostMean= 0.1542 | BatchCostMax= 0.8564 | BatchCostNZ= 0.4336| WinRewMean= 7292.1726 | WinCostMean= 0.0934 | Beta= 3.9441
[train] t= 41000 | LossPi=-453.2827 | PiEntropy=-1.0905 | Alpha= 0.6791 | MinQ= 498.1695 | QcPi= 10.9246| BatchCostMean= 0.1504 | BatchCostMax= 0.8663 | BatchCostNZ= 0.4062| WinRewMean= 4913.4915 | WinCostMean= 0.1162 | Beta= 4.0410
[train] t= 42000 | LossPi=-478.9302 | PiEntropy=-0.8550 | Alpha= 0.6580 | MinQ= 523.7279 | QcPi= 10.6899| BatchCostMean= 0.1457 | BatchCostMax= 0.9465 | BatchCostNZ= 0.3906| WinRewMean= 5906.6021 | WinCostMean= 0.0998 | Beta= 4.1380
[train] t= 43000 | LossPi=-465.8345 | PiEntropy=-1.0448 | Alpha= 0.6286 | MinQ= 512.2938 | QcPi= 10.8139| BatchCostMean= 0.1419 | BatchCostMax= 0.7062 | BatchCostNZ= 0.4141| WinRewMean= 5316.9926 | WinCostMean= 0.1035 | Beta= 4.2355
[train] t= 44000 | LossPi=-455.0076 | PiEntropy=-1.0807 | Alpha= 0.6392 | MinQ= 502.4716 | QcPi= 10.7951| BatchCostMean= 0.1650 | BatchCostMax= 0.9565 | BatchCostNZ= 0.4570| WinRewMean= 5824.4715 | WinCostMean= 0.0827 | Beta= 4.3328
[train] t= 45000 | LossPi=-462.4189 | PiEntropy=-0.8250 | Alpha= 0.6488 | MinQ= 510.0380 | QcPi= 10.6289| BatchCostMean= 0.1435 | BatchCostMax= 0.8959 | BatchCostNZ= 0.3828| WinRewMean= 6434.9012 | WinCostMean= 0.0823 | Beta= 4.4298
[train] t= 46000 | LossPi=-462.4171 | PiEntropy=-1.0676 | Alpha= 0.5723 | MinQ= 511.0654 | QcPi= 10.6108| BatchCostMean= 0.1433 | BatchCostMax= 0.8903 | BatchCostNZ= 0.3672| WinRewMean= 4284.1948 | WinCostMean= 0.0901 | Beta= 4.5272
[train] t= 47000 | LossPi=-470.8107 | PiEntropy=-0.9968 | Alpha= 0.5697 | MinQ= 520.2556 | QcPi= 10.5660| BatchCostMean= 0.1422 | BatchCostMax= 0.8839 | BatchCostNZ= 0.4023| WinRewMean= 6603.4138 | WinCostMean= 0.1004 | Beta= 4.6259
[train] t= 48000 | LossPi=-455.8405 | PiEntropy=-0.8564 | Alpha= 0.5899 | MinQ= 506.0947 | QcPi= 10.5311| BatchCostMean= 0.1500 | BatchCostMax= 1.0000 | BatchCostNZ= 0.4453| WinRewMean= 6880.1600 | WinCostMean= 0.0807 | Beta= 4.7240
[train] t= 49000 | LossPi=-466.8903 | PiEntropy=-0.8500 | Alpha= 0.6147 | MinQ= 518.0199 | QcPi= 10.4951| BatchCostMean= 0.1401 | BatchCostMax= 0.8492 | BatchCostNZ= 0.3906| WinRewMean= 6901.0571 | WinCostMean= 0.0958 | Beta= 4.8220
[train] t= 50000 | LossPi=-449.8275 | PiEntropy=-1.0346 | Alpha= 0.6271 | MinQ= 501.7635 | QcPi= 10.4239| BatchCostMean= 0.1463 | BatchCostMax= 0.7927 | BatchCostNZ= 0.3867| WinRewMean= 4144.0031 | WinCostMean= 0.0954 | Beta= 4.9202
[train] t= 51000 | LossPi=-449.4346 | PiEntropy=-0.7967 | Alpha= 0.6284 | MinQ= 502.8248 | QcPi= 10.5393| BatchCostMean= 0.1401 | BatchCostMax= 0.8523 | BatchCostNZ= 0.3945| WinRewMean= 6078.0603 | WinCostMean= 0.0935 | Beta= 5.0183
[train] t= 52000 | LossPi=-468.3801 | PiEntropy=-1.1351 | Alpha= 0.6556 | MinQ= 520.8683 | QcPi= 10.1136| BatchCostMean= 0.1190 | BatchCostMax= 0.9104 | BatchCostNZ= 0.3477| WinRewMean= 6908.6241 | WinCostMean= 0.0790 | Beta= 5.1163
[train] t= 53000 | LossPi=-483.6445 | PiEntropy=-0.9151 | Alpha= 0.6266 | MinQ= 535.6750 | QcPi= 9.8687| BatchCostMean= 0.1400 | BatchCostMax= 0.9176 | BatchCostNZ= 0.3672| WinRewMean= 7892.1235 | WinCostMean= 0.0767 | Beta= 5.2142
[train] t= 54000 | LossPi=-484.3456 | PiEntropy=-0.9522 | Alpha= 0.6135 | MinQ= 538.0624 | QcPi= 10.0030| BatchCostMean= 0.1297 | BatchCostMax= 0.8999 | BatchCostNZ= 0.3672| WinRewMean= 4959.4300 | WinCostMean= 0.0857 | Beta= 5.3117
[train] t= 55000 | LossPi=-475.0915 | PiEntropy=-0.9158 | Alpha= 0.6115 | MinQ= 529.6385 | QcPi= 9.9798| BatchCostMean= 0.1118 | BatchCostMax= 0.9245 | BatchCostNZ= 0.3398| WinRewMean= 5760.3121 | WinCostMean= 0.0933 | Beta= 5.4096
[train] t= 56000 | LossPi=-479.3655 | PiEntropy=-0.8865 | Alpha= 0.6320 | MinQ= 534.3288 | QcPi= 9.8774| BatchCostMean= 0.1466 | BatchCostMax= 0.8345 | BatchCostNZ= 0.4141| WinRewMean= 5356.7200 | WinCostMean= 0.0903 | Beta= 5.5078
[train] t= 57000 | LossPi=-483.1663 | PiEntropy=-0.9425 | Alpha= 0.6476 | MinQ= 538.0057 | QcPi= 9.6747| BatchCostMean= 0.1248 | BatchCostMax= 0.8201 | BatchCostNZ= 0.3516| WinRewMean= 7128.1795 | WinCostMean= 0.0599 | Beta= 5.6052
[train] t= 58000 | LossPi=-476.3332 | PiEntropy=-1.0827 | Alpha= 0.6438 | MinQ= 532.0953 | QcPi= 9.6558| BatchCostMean= 0.1470 | BatchCostMax= 0.9200 | BatchCostNZ= 0.4219| WinRewMean= 6017.3542 | WinCostMean= 0.0773 | Beta= 5.7028
[train] t= 59000 | LossPi=-465.7628 | PiEntropy=-0.9474 | Alpha= 0.6948 | MinQ= 521.4749 | QcPi= 9.4918| BatchCostMean= 0.1655 | BatchCostMax= 0.9297 | BatchCostNZ= 0.5000| WinRewMean= 5839.3153 | WinCostMean= 0.0701 | Beta= 5.8002
[train] t= 60000 | LossPi=-482.1730 | PiEntropy=-1.0501 | Alpha= 0.6864 | MinQ= 537.6135 | QcPi= 9.2785| BatchCostMean= 0.1237 | BatchCostMax= 0.8566 | BatchCostNZ= 0.3750| WinRewMean= 7475.3987 | WinCostMean= 0.0795 | Beta= 5.8975
[train] t= 61000 | LossPi=-467.6210 | PiEntropy=-1.0827 | Alpha= 0.6768 | MinQ= 524.6432 | QcPi= 9.3899| BatchCostMean= 0.1265 | BatchCostMax= 0.7557 | BatchCostNZ= 0.3867| WinRewMean= 6155.8991 | WinCostMean= 0.0585 | Beta= 5.9946
[train] t= 62000 | LossPi=-464.9365 | PiEntropy=-0.9113 | Alpha= 0.6477 | MinQ= 522.4031 | QcPi= 9.3358| BatchCostMean= 0.1278 | BatchCostMax= 0.7768 | BatchCostNZ= 0.3789| WinRewMean= 4841.8442 | WinCostMean= 0.0877 | Beta= 6.0923
[train] t= 63000 | LossPi=-475.5385 | PiEntropy=-1.0854 | Alpha= 0.6516 | MinQ= 532.8676 | QcPi= 9.1472| BatchCostMean= 0.1303 | BatchCostMax= 0.7893 | BatchCostNZ= 0.3984| WinRewMean= 6835.7947 | WinCostMean= 0.0736 | Beta= 6.1901
