Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	1684.7603	579.2062	2649.8916	171.1108	1869975.6	500863.75	2685316.0	1266144.5	12.201289	2.805538	21.41263	6.9073052	10.464794	2.5814319	14.117084	6.7667437	288.0	288.0	0.0	0.0	20439.582	0.056776616753472224	330001.0	501.7541	182.22363	898.3506	1.0915794	501.75394	182.22414	896.5941	0.98316264	5.020616	0.4397921	7.783175	3.1700377	1.0002433	1.0618607	4.206675	-14.160179	-441.23492	89.4488	89.46994	0.0069921673	-3.485911e-05	-0.20371519	0.8162318	-0.0116531085	2.47356	11.867303	-1.0002431	0.56290174	205.8375	2278.346771001816
12	1685.848	597.1779	2569.7302	95.51674	1453061.8	811053.5	2260212.0	127781.305	12.484604	2.4836724	20.077976	6.925577	9.134596	1.7926289	11.560628	6.3648934	288.0	288.0	0.0	0.0	21738.555	0.05573988381410257	360001.0	498.43378	183.84674	899.1169	-2.208362	498.4324	183.85005	897.8236	-3.284476	5.0203495	0.42299768	7.697877	3.2820232	0.99976164	1.0581989	10.319365	-13.499634	-434.949	90.241806	90.222	0.0070673223	0.00033464198	-0.17676285	0.83845216	-0.028076733	2.5223327	12.458077	-0.9997612	0.56362057	216.96696	2495.3215782642365
13	1698.0028	606.8386	2588.6462	48.89428	1609186.4	440069.25	2403887.8	700786.4	12.399117	2.689437	18.97708	2.530789	10.432718	1.6075802	13.157344	8.012979	288.0	288.0	0.0	0.0	23028.688	0.05483020833333333	390001.0	498.3452	183.533	902.1993	0.9879155	498.34583	183.53157	895.7431	-0.24721539	5.019025	0.4060108	7.693814	3.4098513	1.0005766	1.0578897	5.4778533	-11.857723	-434.2206	90.64177	90.602325	0.006821589	-0.0003380421	-0.17165436	0.8427615	-0.03062032	2.5325031	12.5869875	-1.0005772	0.55478907	209.86769	2705.1759979724884
14	1670.8912	593.03186	2580.0898	106.52245	2099620.5	408980.34	2710083.8	1435820.0	12.333357	2.3399067	22.263248	7.909455	7.6302834	1.4021386	10.5845	5.8493786	288.0	288.0	0.0	0.0	24314.709	0.054032686631944445	420001.0	497.72998	183.0677	896.9226	0.36316788	497.72952	183.06874	889.9618	1.1317643	5.0106463	0.41308102	7.596921	3.5123239	0.99972296	1.0601611	4.7379785	-13.664024	-435.94855	90.01841	89.94953	0.006826458	0.00037915097	-0.17473233	0.8400411	0.0577987	2.4966154	12.142018	-0.9997232	0.5378239	208.32112	2913.490490436554
15	1655.6107	605.53217	2606.8218	69.80212	2017544.2	554001.7	2700160.5	1169394.9	12.365799	2.5265005	17.881783	3.3344038	13.3739195	2.3627303	16.766155	8.5917845	288.0	288.0	0.0	0.0	25602.729	0.05333901774088542	450001.0	497.19547	182.85957	891.0782	0.09335232	497.19504	182.86026	886.98346	1.2923675	5.013149	0.3834319	7.580329	3.630958	1.0001092	1.065444	4.9705496	-11.496344	-438.67737	88.714134	88.64904	0.006619867	4.6556535e-05	-0.18302076	0.8331529	0.007269108	2.4403143	11.482112	-1.000109	0.5216613	203.93196	3117.422175884247
16	1634.3495	557.30634	2479.043	77.47543	1423176.2	714729.4	2758997.0	29883.965	12.822296	2.5060022	19.79367	7.7424774	7.488014	2.6967416	10.168926	0.4480573	288.0	288.0	0.0	0.0	26938.346	0.052820285692401964	480001.0	494.05478	180.69382	887.58496	-1.4152408	494.0542	180.69574	878.8719	-3.189817	4.9971566	0.4259589	7.735957	3.7913344	1.0002455	1.0685129	6.1078386	-11.787529	-434.64725	87.083435	86.99206	0.0069657424	-6.467486e-05	-0.17452008	0.8403672	0.1938357	2.4579313	11.690017	-1.0002452	0.53585815	203.48773	3320.9191801548004
17	1657.5806	618.2712	2648.6038	50.570778	1278494.8	749664.75	2669853.8	119879.66	12.646969	2.6076274	21.32305	5.2777405	9.817759	3.5733385	18.13724	4.89263	288.0	288.0	0.0	0.0	28256.486	0.05232682653356482	510001.0	493.42993	178.99745	873.6414	1.3599468	493.42896	178.99991	867.4679	0.046201944	5.017791	0.3697075	7.4738755	3.6836817	1.0001578	1.0720667	6.083696	-11.743259	-434.52606	85.21549	85.117134	0.0064044893	9.173552e-06	-0.19348003	0.82456356	-0.0648823	2.445396	11.539304	-1.000158	0.5228827	204.72464	3525.627110004425
18	1666.3677	630.5705	2640.738	99.34774	1754389.2	853246.6	2780495.2	5700.0	12.743287	2.1649218	21.266626	7.4899554	9.871465	4.6284947	15.339108	0.0	288.0	288.0	0.0	0.0	29583.559	0.05190097998903509	540001.0	492.57718	178.57127	877.8154	3.4332209	492.57544	178.57666	869.1914	4.2217574	5.0275817	0.39356345	7.699232	3.7456625	0.99984384	1.0679636	7.4103527	-11.391479	-430.57346	84.630875	84.55143	0.00656655	0.00025526364	-0.18721566	0.82975066	-0.17870681	2.4951425	12.130458	-0.99984396	0.5139744	202.59612	3728.2216539382935
19	1645.3783	680.31036	2620.0667	56.926125	1467791.8	504929.8	2143080.2	156168.14	12.545049	2.7669952	21.436047	7.130438	10.41127	2.5086608	15.127035	6.2287145	288.0	288.0	0.0	0.0	30889.13	0.051481884765625	570001.0	490.8216	180.3749	876.96735	-0.027507424	490.82013	180.38002	871.5719	-0.296605	5.0154533	0.36019513	7.523039	3.5834553	1.0004387	1.0588628	5.858627	-12.964591	-431.32764	85.20363	85.1217	0.006231175	-0.00024071518	-0.2048372	0.81515336	-0.061979428	2.456048	11.659655	-1.0004385	0.5257242	206.75323	3934.9924931526184
20	1705.3005	594.1782	2638.724	137.84027	1775023.0	817632.5	2555267.8	49044.49	12.576331	2.831689	24.05673	5.9185004	6.8799925	2.354113	10.582466	1.4175316	288.0	288.0	0.0	0.0	32201.299	0.05111317274305555	600001.0	490.3261	180.73077	875.4457	0.21962678	490.3238	180.73663	871.8411	0.34371114	5.0025463	0.37290943	7.4980545	3.6640458	0.9996968	1.0665492	8.774432	-11.687516	-429.31625	85.69185	85.63981	0.0064583477	0.0003773723	-0.1992095	0.8199862	0.09742026	2.483023	11.986787	-0.99969745	0.5867553	203.93991	4138.930135965347
