Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	QcPi	QcPiRaw	QcPiVar	QcPiCVaR	PiEntTerm	PiQTerm	PiCostTerm	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	1826.5677	670.4834	2834.5837	453.95764	2041924.4	707286.1	2890537.8	919318.75	57.662483	19.653683	109.51027	26.646137	50.67282	18.393206	86.307724	31.988453	288.0	288.0	0.0	0.0	6000.4688	0.1000078125	30001.0	274.71548	176.37822	937.35016	-8.4420595	274.76102	176.30669	941.9563	-8.131713	10.5948105	4.8369274	28.03055	0.10162445	3.01968	1.2463213	14.882265	0.0059276274	0.9790291	1.3212392	15.847593	-14.423593	-248.59743	39.64877	39.74472	0.05633734	0.0024426568	0.010824527	-0.63060206	0.53881675	10.572792	10.550118	3.021047	13.552355	0.5279922	274.8122	25.686731	-15.622187	0.413034	1.6820349	-0.97902876	0.30452538	275.79242	276.58258628845215
2	1954.2883	510.829	2782.5498	448.42157	1683483.4	536042.4	2496522.8	576594.8	30.552391	12.81737	86.37723	15.750588	34.44656	11.575409	58.85435	18.334455	288.0	288.0	0.0	0.0	9182.112	0.10202347005208333	60001.0	503.51544	171.97676	1027.9807	74.64848	503.51553	171.97644	1027.5299	73.16499	13.183178	4.6518974	31.68276	7.172286	4.715005	1.6923327	15.293109	1.3718091	1.0018449	1.2185959	7.961829	-13.57227	-427.69626	84.531044	84.63171	0.049288	0.0027801895	-0.0012627797	-0.22031453	0.8042211	13.124584	13.12454	4.7145987	16.887304	0.8054839	503.24612	74.74437	-47.869877	1.4810007	4.479082	-1.0018461	0.32876587	277.81705	554.5182344913483
3	1862.2404	544.0515	2714.7256	284.28394	1701869.0	794905.5	2475599.0	268745.56	21.282545	7.072902	63.41724	10.202432	13.819414	2.6145203	17.037151	9.046332	288.0	288.0	0.0	0.0	11395.086	0.09495904947916667	90001.0	544.60455	169.32564	1034.6362	43.262535	544.6039	169.32635	1032.8953	46.326595	9.702016	3.299701	28.724405	5.8769894	2.7813601	2.591816	21.46833	0.50683457	0.99954844	1.0827081	9.196011	-12.921656	-452.7714	87.33475	87.45369	0.025266083	0.002400841	0.000541921	-0.1859677	0.8310215	9.641033	9.640758	2.7799537	12.373473	0.8304796	544.2126	90.6107	-46.15125	1.9962432	7.40991	-0.99954885	0.30218196	272.64914	827.0482401847839
4	1633.9286	583.8009	2747.14	187.59901	1950234.4	363437.53	2459995.0	1286465.2	16.966051	4.044818	32.709404	10.725148	9.599459	1.6055467	12.083325	7.083321	288.0	288.0	0.0	0.0	13164.374	0.08776249348958333	120001.0	533.4408	176.65982	1035.4453	7.746312	533.4391	176.66405	1033.5063	7.243615	7.1600986	1.7799901	19.30548	4.474103	1.4110364	1.4013994	17.446243	0.33200267	1.00044	1.0366817	6.257495	-13.283349	-439.29514	91.60993	91.66151	0.01303378	0.0013106149	-0.00018635117	-0.1785525	0.8369288	7.0996175	7.0980496	1.4110986	9.036704	0.8371151	532.9185	92.786224	-30.797043	2.331865	10.331594	-1.0004401	0.29364848	277.89517	1104.903889656067
5	1573.9083	695.16473	2603.1992	144.99376	1531621.2	743044.75	2688508.2	384468.1	13.388495	2.5867774	20.180351	8.190468	8.437406	1.9618136	11.878858	4.640565	288.0	288.0	0.0	0.0	14554.309	0.08085726996527778	150001.0	511.0381	191.00194	1008.2189	0.09996796	511.03525	191.00818	1011.40924	0.1883471	5.7078595	0.82534176	12.167237	3.9377227	0.8724542	0.65405244	11.481889	0.2734182	0.9999949	1.0267143	4.5651445	-12.274235	-414.4962	95.70583	95.77758	0.007764457	0.00039584475	0.0001831212	-0.20211054	0.8175233	5.6497016	5.6453123	0.872446	7.21526	0.8173402	510.46274	95.14917	-15.902163	2.5808213	13.2341385	-0.99999505	0.33863974	276.8838	1381.8605165481567
6	1645.3552	617.091	2644.9849	59.379555	1557940.2	614531.06	2183881.8	108611.72	10.889876	2.048618	15.66647	3.1101758	8.38875	3.106899	14.471419	2.4464557	288.0	288.0	0.0	0.0	15688.236	0.07470588727678572	180001.0	498.93088	199.86514	973.6992	-11.727767	498.92917	199.87036	970.587	-13.767441	4.89016	0.42884803	7.703319	3.002401	0.648106	0.45061168	3.5692458	0.21228959	1.000572	1.0275956	6.835895	-12.760986	-398.06042	100.17656	100.24641	0.0065715993	0.00036182316	-0.00035423686	-0.11733206	0.8907497	4.8352823	4.826742	0.6479526	6.1904373	0.8911039	498.31952	99.36797	-4.644038	2.7758799	16.073608	-1.0005721	0.30093718	276.75104	1658.6102964878082
7	1578.2911	629.40717	2589.3076	77.14892	1530034.4	874814.7	2665820.8	59873.832	9.094397	1.9019955	15.08391	5.0367293	5.3025813	2.7831347	9.144819	0.3893279	288.0	288.0	0.0	0.0	16636.36	0.0693181640625	210001.0	481.3007	198.90791	914.5858	-21.240955	481.30045	198.90926	911.7753	-21.75617	4.535444	0.3229393	6.702738	3.1315198	0.53742445	0.32759565	2.262533	0.20268701	1.000256	1.0263803	8.293755	-12.753452	-371.59964	102.66501	102.7376	0.0053706598	0.00032071696	-9.2836424e-05	-0.05977076	0.9423992	4.484238	4.472383	0.53720367	5.730246	0.94249207	480.64575	108.10367	-1.5480564	2.9372394	18.88038	-1.0002552	0.29561257	277.06168	1935.63174533844
8	1542.1453	633.41046	2528.2217	73.83012	1629660.9	793115.4	2625150.5	0.0	8.985656	1.9738228	15.174753	3.1784232	4.315102	1.7516959	6.1568108	0.0	288.0	288.0	0.0	0.0	17570.395	0.06507553530092593	240001.0	467.31674	199.21397	921.5597	-27.624615	467.31754	199.2121	920.67456	-30.611746	4.378715	0.25418732	6.1007323	3.0710566	0.4396213	0.20019636	1.577087	0.18896599	1.0000875	1.0314188	6.69472	-12.510653	-359.95654	103.6863	103.76521	0.0044554076	0.00021077323	6.143752e-05	-0.059518848	0.9425911	4.333078	4.319501	0.43941808	5.4740243	0.9425296	466.70532	105.80625	0.43446735	2.9608557	19.327703	-1.0000873	0.33335567	279.14145	2214.9652812480927
9	1565.2208	642.2697	2542.8513	92.95088	1869902.0	506257.4	2566298.2	1147897.5	9.038263	2.0140963	14.512429	3.2616014	4.7272553	1.5816145	6.9217124	1.7770144	288.0	288.0	0.0	0.0	18511.637	0.061705455729166664	270001.0	465.2277	199.28482	964.31476	-27.463203	465.22867	199.28178	935.7259	-27.498663	4.4315176	0.25689942	6.19302	3.213096	0.4241763	0.19922628	1.4085464	0.18066746	1.0000268	1.0301429	6.078977	-13.687033	-364.3274	105.06043	105.107315	0.0044891993	0.0002116947	8.8422086e-05	-0.07893635	0.92442787	4.3926244	4.3798194	0.42405877	5.5120177	0.9243395	464.7214	99.46965	-0.03911533	2.8927078	18.04565	-1.0000268	0.32989216	278.5195	2493.3420853614807
10	1697.1074	603.6546	2569.2744	36.951733	1701553.6	979687.5	2692252.5	48555.383	9.415412	1.9339474	13.701654	2.1472802	7.552901	3.4194536	11.426615	0.91358775	288.0	288.0	0.0	0.0	19493.643	0.05907164417613636	300001.0	467.5694	198.27223	903.92896	-29.086828	467.57047	198.27011	920.78217	-28.669607	4.4198313	0.24959773	6.1310277	3.3121853	0.41599602	0.19904055	1.3404517	0.17181695	0.99993813	1.0239172	9.526281	-11.823574	-367.92307	104.23073	104.25015	0.0043362435	0.00020053162	0.00016713234	-0.07750932	0.9257173	4.3852797	4.3724017	0.41590932	5.492908	0.9255501	467.11865	98.27004	0.11400074	2.8840568	17.890398	-0.9999383	0.2871213	281.4961	2774.7906827926636
