[train] t=  1000 | LossPi=-6.7857 | PiEntropy=-0.3085 | Alpha= 0.5202 | MinQ= 9.9640 | QcPiCVaR= 4.4949 | QcPi= 2.4717 | QcPiVar= 1.3533| BatchCostMean= 0.2780 | BatchCostMax= 0.9054 | BatchCostNZ= 0.4727| WinRewMean= 2717.7336 | WinCostMean= 0.2696 | Beta= 0.6714
[train] t=  2000 | LossPi=-33.6075 | PiEntropy=-0.6722 | Alpha= 0.3806 | MinQ= 37.4210 | QcPiCVaR= 5.4493 | QcPi= 3.1584 | QcPiVar= 1.7476| BatchCostMean= 0.2725 | BatchCostMax= 0.8598 | BatchCostNZ= 0.5117| WinRewMean= 6615.3657 | WinCostMean= 0.2290 | Beta= 0.6529
[train] t=  3000 | LossPi=-59.4811 | PiEntropy=-1.0174 | Alpha= 0.3959 | MinQ= 64.3098 | QcPiCVaR= 6.6329 | QcPi= 4.1273 | QcPiVar= 2.1022| BatchCostMean= 0.2423 | BatchCostMax= 0.9090 | BatchCostNZ= 0.4453| WinRewMean= 6049.3470 | WinCostMean= 0.2510 | Beta= 0.6673
[train] t=  4000 | LossPi=-76.5589 | PiEntropy=-1.0651 | Alpha= 0.4285 | MinQ= 82.6737 | QcPiCVaR= 7.6479 | QcPi= 5.3736 | QcPiVar= 1.7234| BatchCostMean= 0.2375 | BatchCostMax= 0.9286 | BatchCostNZ= 0.4492| WinRewMean= 5746.9414 | WinCostMean= 0.2635 | Beta= 0.7399
[train] t=  5000 | LossPi=-97.8355 | PiEntropy=-1.0874 | Alpha= 0.4484 | MinQ= 105.3293 | QcPiCVaR= 8.5520 | QcPi= 6.2964 | QcPiVar= 1.6869| BatchCostMean= 0.2448 | BatchCostMax= 0.8872 | BatchCostNZ= 0.4570| WinRewMean= 6149.8309 | WinCostMean= 0.2419 | Beta= 0.8192
[train] t=  6000 | LossPi=-126.0913 | PiEntropy=-0.9594 | Alpha= 0.4390 | MinQ= 134.8417 | QcPiCVaR= 9.2864 | QcPi= 6.9904 | QcPiVar= 1.7427| BatchCostMean= 0.2417 | BatchCostMax= 0.9975 | BatchCostNZ= 0.4688| WinRewMean= 6565.4806 | WinCostMean= 0.2392 | Beta= 0.8969
[train] t=  7000 | LossPi=-155.4792 | PiEntropy=-1.1153 | Alpha= 0.4893 | MinQ= 165.5607 | QcPiCVaR= 9.7983 | QcPi= 7.3420 | QcPiVar= 2.0061| BatchCostMean= 0.2247 | BatchCostMax= 0.8888 | BatchCostNZ= 0.4570| WinRewMean= 9238.0604 | WinCostMean= 0.1484 | Beta= 0.9732
[train] t=  8000 | LossPi=-169.6267 | PiEntropy=-1.0861 | Alpha= 0.4895 | MinQ= 181.5698 | QcPiCVaR= 10.8609 | QcPi= 8.3867 | QcPiVar= 2.0336| BatchCostMean= 0.2081 | BatchCostMax= 0.9090 | BatchCostNZ= 0.4414| WinRewMean= 6196.0292 | WinCostMean= 0.2424 | Beta= 1.0507
[train] t=  9000 | LossPi=-189.3335 | PiEntropy=-1.0308 | Alpha= 0.4800 | MinQ= 202.8995 | QcPiCVaR= 11.5672 | QcPi= 9.0466 | QcPiVar= 2.1094| BatchCostMean= 0.2362 | BatchCostMax= 0.9125 | BatchCostNZ= 0.4805| WinRewMean= 6343.8483 | WinCostMean= 0.2408 | Beta= 1.1300
[train] t= 10000 | LossPi=-203.1085 | PiEntropy=-0.7051 | Alpha= 0.4952 | MinQ= 218.2119 | QcPiCVaR= 12.1953 | QcPi= 9.6509 | QcPiVar= 2.1474| BatchCostMean= 0.2325 | BatchCostMax= 0.9503 | BatchCostNZ= 0.5078| WinRewMean= 6801.0527 | WinCostMean= 0.2195 | Beta= 1.2098
[train] t= 11000 | LossPi=-217.9202 | PiEntropy=-0.7032 | Alpha= 0.5168 | MinQ= 235.2534 | QcPiCVaR= 13.1468 | QcPi= 10.5273 | QcPiVar= 2.2810| BatchCostMean= 0.2289 | BatchCostMax= 0.9876 | BatchCostNZ= 0.4766| WinRewMean= 6063.8334 | WinCostMean= 0.2489 | Beta= 1.2908
[train] t= 12000 | LossPi=-233.1897 | PiEntropy=-0.8157 | Alpha= 0.4972 | MinQ= 252.2959 | QcPiCVaR= 13.6192 | QcPi= 10.9503 | QcPiVar= 2.3597| BatchCostMean= 0.2504 | BatchCostMax= 0.9239 | BatchCostNZ= 0.5234| WinRewMean= 7468.4390 | WinCostMean= 0.1919 | Beta= 1.3731
[train] t= 13000 | LossPi=-250.5610 | PiEntropy=-0.8425 | Alpha= 0.5011 | MinQ= 271.9771 | QcPiCVaR= 14.4083 | QcPi= 11.5973 | QcPiVar= 2.6116| BatchCostMean= 0.2503 | BatchCostMax= 0.9007 | BatchCostNZ= 0.5117| WinRewMean= 5623.4792 | WinCostMean= 0.2425 | Beta= 1.4571
[train] t= 14000 | LossPi=-259.5253 | PiEntropy=-1.0723 | Alpha= 0.4838 | MinQ= 283.0929 | QcPiCVaR= 14.9473 | QcPi= 12.0464 | QcPiVar= 2.7718| BatchCostMean= 0.2166 | BatchCostMax= 0.8942 | BatchCostNZ= 0.4531| WinRewMean= 5465.9443 | WinCostMean= 0.2336 | Beta= 1.5420
[train] t= 15000 | LossPi=-275.6766 | PiEntropy=-1.0761 | Alpha= 0.4739 | MinQ= 300.7531 | QcPiCVaR= 15.0865 | QcPi= 12.1202 | QcPiVar= 2.8935| BatchCostMean= 0.2499 | BatchCostMax= 0.9176 | BatchCostNZ= 0.4961| WinRewMean= 5938.1991 | WinCostMean= 0.2259 | Beta= 1.6284
[train] t= 16000 | LossPi=-292.1028 | PiEntropy=-0.9931 | Alpha= 0.5157 | MinQ= 319.2587 | QcPiCVaR= 15.5318 | QcPi= 12.4571 | QcPiVar= 3.1019| BatchCostMean= 0.2337 | BatchCostMax= 0.9022 | BatchCostNZ= 0.5039| WinRewMean= 7205.9011 | WinCostMean= 0.1780 | Beta= 1.7154
[train] t= 17000 | LossPi=-299.1128 | PiEntropy=-1.2218 | Alpha= 0.5343 | MinQ= 328.6463 | QcPiCVaR= 16.0188 | QcPi= 12.8562 | QcPiVar= 3.2793| BatchCostMean= 0.1949 | BatchCostMax= 0.8800 | BatchCostNZ= 0.4219| WinRewMean= 7378.4323 | WinCostMean= 0.1665 | Beta= 1.8029
[train] t= 18000 | LossPi=-315.6316 | PiEntropy=-1.1539 | Alpha= 0.5681 | MinQ= 346.6929 | QcPiCVaR= 16.0732 | QcPi= 12.7947 | QcPiVar= 3.5183| BatchCostMean= 0.2190 | BatchCostMax= 0.9266 | BatchCostNZ= 0.4609| WinRewMean= 5457.1372 | WinCostMean= 0.2048 | Beta= 1.8917
[train] t= 19000 | LossPi=-326.2948 | PiEntropy=-0.9453 | Alpha= 0.5891 | MinQ= 359.4633 | QcPiCVaR= 16.4600 | QcPi= 13.1567 | QcPiVar= 3.5705| BatchCostMean= 0.2212 | BatchCostMax= 0.9084 | BatchCostNZ= 0.4805| WinRewMean= 7398.9439 | WinCostMean= 0.1495 | Beta= 1.9813
[train] t= 20000 | LossPi=-343.5902 | PiEntropy=-1.1252 | Alpha= 0.6078 | MinQ= 377.6710 | QcPiCVaR= 16.1262 | QcPi= 12.7337 | QcPiVar= 3.7613| BatchCostMean= 0.2062 | BatchCostMax= 0.8934 | BatchCostNZ= 0.4648| WinRewMean= 6653.3729 | WinCostMean= 0.1471 | Beta= 2.0710
[train] t= 21000 | LossPi=-343.2288 | PiEntropy=-0.9494 | Alpha= 0.6108 | MinQ= 379.5298 | QcPiCVaR= 16.5248 | QcPi= 13.0735 | QcPiVar= 3.8946| BatchCostMean= 0.2027 | BatchCostMax= 0.8908 | BatchCostNZ= 0.4531| WinRewMean= 5413.9241 | WinCostMean= 0.1944 | Beta= 2.1617
[train] t= 22000 | LossPi=-360.3037 | PiEntropy=-1.0415 | Alpha= 0.5937 | MinQ= 398.8755 | QcPiCVaR= 16.8396 | QcPi= 13.3302 | QcPiVar= 4.0203| BatchCostMean= 0.1882 | BatchCostMax= 0.8669 | BatchCostNZ= 0.4414| WinRewMean= 6980.2331 | WinCostMean= 0.1657 | Beta= 2.2538
[train] t= 23000 | LossPi=-364.9115 | PiEntropy=-1.0686 | Alpha= 0.6091 | MinQ= 405.3889 | QcPiCVaR= 16.9736 | QcPi= 13.4223 | QcPiVar= 4.1152| BatchCostMean= 0.2037 | BatchCostMax= 0.8917 | BatchCostNZ= 0.4688| WinRewMean= 8028.5196 | WinCostMean= 0.1362 | Beta= 2.3464
[train] t= 24000 | LossPi=-378.0571 | PiEntropy=-1.0300 | Alpha= 0.6471 | MinQ= 420.5462 | QcPiCVaR= 17.1454 | QcPi= 13.5287 | QcPiVar= 4.2691| BatchCostMean= 0.1697 | BatchCostMax= 0.8796 | BatchCostNZ= 0.4297| WinRewMean= 6808.1994 | WinCostMean= 0.1698 | Beta= 2.4393
[train] t= 25000 | LossPi=-358.3182 | PiEntropy=-0.9562 | Alpha= 0.6148 | MinQ= 404.4879 | QcPiCVaR= 17.9907 | QcPi= 14.3696 | QcPiVar= 4.2842| BatchCostMean= 0.2167 | BatchCostMax= 0.8876 | BatchCostNZ= 0.4648| WinRewMean= 6199.1055 | WinCostMean= 0.1755 | Beta= 2.5336
[train] t= 26000 | LossPi=-368.0302 | PiEntropy=-1.1196 | Alpha= 0.6215 | MinQ= 416.7115 | QcPiCVaR= 18.2583 | QcPi= 14.5757 | QcPiVar= 4.4250| BatchCostMean= 0.1993 | BatchCostMax= 0.9168 | BatchCostNZ= 0.4375| WinRewMean= 6768.8013 | WinCostMean= 0.1621 | Beta= 2.6281
[train] t= 27000 | LossPi=-378.9805 | PiEntropy=-1.0059 | Alpha= 0.6481 | MinQ= 428.0189 | QcPiCVaR= 17.7686 | QcPi= 14.0986 | QcPiVar= 4.3935| BatchCostMean= 0.1760 | BatchCostMax= 0.8676 | BatchCostNZ= 0.4102| WinRewMean= 5247.7280 | WinCostMean= 0.1791 | Beta= 2.7231
[train] t= 28000 | LossPi=-386.0402 | PiEntropy=-0.9792 | Alpha= 0.6324 | MinQ= 436.6667 | QcPiCVaR= 17.7417 | QcPi= 13.9849 | QcPiVar= 4.6021| BatchCostMean= 0.1853 | BatchCostMax= 0.9056 | BatchCostNZ= 0.4414| WinRewMean= 6292.5806 | WinCostMean= 0.1535 | Beta= 2.8186
[train] t= 29000 | LossPi=-387.5143 | PiEntropy=-0.9855 | Alpha= 0.6848 | MinQ= 441.2579 | QcPiCVaR= 18.2117 | QcPi= 14.4304 | QcPiVar= 4.6660| BatchCostMean= 0.2118 | BatchCostMax= 0.9199 | BatchCostNZ= 0.4805| WinRewMean= 7538.2836 | WinCostMean= 0.1208 | Beta= 2.9140
