[train] t= 18000 | LossPi=-364.4600 | PiEntropy=-1.1417 | Alpha= 0.9031 | MinQ= 380.9839 | QcPiCVaR= 11.1582 | QcPi= 10.8733 | QcPiVar= 2.1420| BatchCostMean= 0.1844 | BatchCostMax= 0.7719 | BatchCostNZ= 0.4844| WinRewMean= 7530.0744 | WinCostMean= 0.1831 | Beta= 1.3885
[train] t= 19000 | LossPi=-377.5803 | PiEntropy=-0.9505 | Alpha= 0.8425 | MinQ= 395.2835 | QcPiCVaR= 11.4897 | QcPi= 11.1985 | QcPiVar= 2.2376| BatchCostMean= 0.1782 | BatchCostMax= 0.8537 | BatchCostNZ= 0.4492| WinRewMean= 7840.8271 | WinCostMean= 0.1790 | Beta= 1.4711
[train] t= 20000 | LossPi=-388.7823 | PiEntropy=-0.5490 | Alpha= 0.8795 | MinQ= 407.9158 | QcPiCVaR= 11.9911 | QcPi= 11.6887 | QcPiVar= 2.4154| BatchCostMean= 0.1907 | BatchCostMax= 0.6884 | BatchCostNZ= 0.4805| WinRewMean= 7255.5011 | WinCostMean= 0.1947 | Beta= 1.5554
[train] t= 21000 | LossPi=-397.4927 | PiEntropy=-1.0235 | Alpha= 0.8740 | MinQ= 418.3957 | QcPiCVaR= 12.1929 | QcPi= 11.8837 | QcPiVar= 2.5230| BatchCostMean= 0.1753 | BatchCostMax= 0.8960 | BatchCostNZ= 0.4531| WinRewMean= 9070.0282 | WinCostMean= 0.1386 | Beta= 1.6410
[train] t= 22000 | LossPi=-403.6537 | PiEntropy=-0.8892 | Alpha= 0.8894 | MinQ= 426.0496 | QcPiCVaR= 12.5058 | QcPi= 12.1930 | QcPiVar= 2.5848| BatchCostMean= 0.1892 | BatchCostMax= 0.7949 | BatchCostNZ= 0.4844| WinRewMean= 8554.6698 | WinCostMean= 0.1502 | Beta= 1.7276
[train] t= 23000 | LossPi=-422.3673 | PiEntropy=-1.0548 | Alpha= 0.8586 | MinQ= 446.1570 | QcPiCVaR= 12.6047 | QcPi= 12.2771 | QcPiVar= 2.8384| BatchCostMean= 0.1708 | BatchCostMax= 0.7412 | BatchCostNZ= 0.4219| WinRewMean= 7595.3156 | WinCostMean= 0.1869 | Beta= 1.8155
[train] t= 24000 | LossPi=-424.7460 | PiEntropy=-0.9789 | Alpha= 0.8885 | MinQ= 450.3067 | QcPiCVaR= 12.9647 | QcPi= 12.6344 | QcPiVar= 2.8799| BatchCostMean= 0.1767 | BatchCostMax= 0.8000 | BatchCostNZ= 0.4688| WinRewMean= 7638.2547 | WinCostMean= 0.1783 | Beta= 1.9045
[train] t= 25000 | LossPi=-437.0455 | PiEntropy=-1.1665 | Alpha= 0.8853 | MinQ= 464.4452 | QcPiCVaR= 13.2207 | QcPi= 12.8776 | QcPiVar= 3.1315| BatchCostMean= 0.1619 | BatchCostMax= 0.6884 | BatchCostNZ= 0.4414| WinRewMean= 7919.7648 | WinCostMean= 0.1696 | Beta= 1.9944
[train] t= 26000 | LossPi=-442.4561 | PiEntropy=-0.8005 | Alpha= 0.8896 | MinQ= 470.9971 | QcPiCVaR= 13.3482 | QcPi= 13.0033 | QcPiVar= 3.1554| BatchCostMean= 0.1894 | BatchCostMax= 0.7397 | BatchCostNZ= 0.4727| WinRewMean= 8564.6662 | WinCostMean= 0.1410 | Beta= 2.0848
[train] t= 27000 | LossPi=-451.2781 | PiEntropy=-0.9634 | Alpha= 0.9002 | MinQ= 481.7452 | QcPiCVaR= 13.6014 | QcPi= 13.2453 | QcPiVar= 3.3950| BatchCostMean= 0.1948 | BatchCostMax= 0.9638 | BatchCostNZ= 0.5000| WinRewMean= 6978.1042 | WinCostMean= 0.1814 | Beta= 2.1762
