Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	QcPi	QcPiRaw	QcPiVar	QcPiCVaR	PiEntTerm	PiQTerm	PiCostTerm	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	2089.9138	367.32184	2879.6475	1726.8689	2215613.5	379341.94	2910804.5	1821368.2	15.909342	2.1483395	20.287159	11.90829	13.392515	2.1080065	17.269028	10.288563	288.0	288.0	0.0	0.0	30189.576	0.08385993381076388	330001.0	573.4803	54.06967	836.1289	471.9938	573.4856	54.009926	832.7577	475.23352	5.8475227	0.2901263	6.9280033	4.2458324	0.47206977	0.09997007	2.1338148	0.4304267	0.99994874	1.054575	4.8394833	-15.071727	-454.36972	74.16378	74.34203	0.0050835204	0.0003044841	0.00020848334	0.09629836	1.1014767	5.80907	5.8058906	0.4720354	5.942522	1.1012682	572.6612	117.190186	0.038771484	2.981646	19.720684	-0.9999488	1.1203544	571.68317	5607.713421344757
12	2098.1274	352.6747	2883.1238	1717.2405	2013326.6	135454.2	2367320.2	1828459.0	16.016972	2.3027108	22.334442	10.256834	12.244303	1.8556424	14.353576	9.507044	288.0	288.0	0.0	0.0	31860.742	0.08169421073717949	360001.0	574.85266	54.43374	842.50616	471.91156	574.85767	54.377792	836.6098	474.40027	5.8502316	0.2918914	7.0129266	4.244427	0.47071236	0.10029336	1.1521666	0.33759788	1.000263	1.0535972	7.2839665	-12.138022	-458.6445	73.75697	73.93702	0.005046818	0.00030558763	-0.00011361667	0.087147705	1.0914061	5.8154936	5.8123317	0.47069174	5.948758	1.0915197	574.05945	114.3235	0.004006708	2.9558117	19.2181	-1.0002624	1.0628476	649.6196	6257.213582277298
13	2063.067	321.692	2888.6587	1721.8613	2016206.0	89473.27	2162463.5	1856372.6	16.114876	2.1188529	20.876574	11.401217	15.894773	1.5946308	18.501797	13.465724	288.0	288.0	0.0	0.0	33538.59	0.07985378534226191	390001.0	575.7617	54.310204	844.39484	477.53827	575.7655	54.262203	838.90625	475.86136	5.851054	0.28516555	6.994418	4.2668223	0.4661451	0.09940927	1.1648432	0.20071283	0.99997276	1.050754	7.297927	-12.780308	-457.50894	73.17392	73.39839	0.0049855714	0.0002913014	0.00019418805	0.08702918	1.0912913	5.818628	5.815493	0.4661319	5.951243	1.0910971	574.9407	116.340614	-0.027118126	2.972897	19.548979	-0.9999724	1.0699744	625.80115	6883.012817621231
14	2067.2566	312.9976	2914.6616	1704.7281	2316394.5	444617.94	3032824.8	1888292.8	16.136292	1.9598997	20.509987	11.394104	14.483429	1.0849541	17.145493	13.469907	288.0	288.0	0.0	0.0	35219.457	0.07826546006944445	420001.0	575.14856	54.14624	844.6484	475.98575	575.15265	54.100918	840.78076	471.44003	5.8483686	0.28233227	7.0073066	4.2619004	0.46027115	0.09490521	1.1461258	0.27583435	1.0002522	1.0504647	6.660972	-14.424506	-456.14645	72.82455	73.09565	0.0049455166	0.00028888165	-0.00012919794	0.09149357	1.0961132	5.818453	5.815311	0.46027377	5.950261	1.0962423	574.3516	117.10889	-0.0077774855	2.9796364	19.681307	-1.0002522	1.0913532	672.8045	7555.755094051361
15	2101.1138	341.2999	2891.5588	1686.6765	2218509.0	289774.56	2827342.0	1910779.1	16.049984	2.2018576	20.996883	10.704726	13.7532015	1.7484436	16.900143	11.170784	288.0	288.0	0.0	0.0	36892.227	0.07685880533854167	450001.0	575.5645	54.686497	850.79346	476.50058	575.5677	54.643078	846.1825	477.08557	5.849086	0.28910002	7.0178533	4.2199874	0.46561778	0.09920837	1.2043028	0.30900964	0.9998342	1.0533075	4.525256	-12.448633	-457.12274	73.25459	73.53813	0.0050215498	0.00030185227	0.0003385916	0.08374003	1.0876833	5.8211837	5.8180356	0.46562847	5.9537244	1.0873448	574.7579	116.54784	-0.014747582	2.9742792	19.57561	-0.9998343	1.0211058	846.37286	8402.130568265915
16	2094.3696	365.5642	2915.5994	1706.1039	2263827.5	424182.94	3053640.2	1915367.9	15.6905155	2.3289485	21.008125	10.154215	13.6484585	1.8813237	16.865099	11.410474	288.0	288.0	0.0	0.0	38528.17	0.0755454350490196	480001.0	576.6888	55.646595	854.34534	474.8777	576.69275	55.609123	851.77924	478.7487	5.8420672	0.29115534	7.1601114	4.1908464	0.4664699	0.099627756	1.189817	0.41432503	1.0002053	1.0561422	5.575346	-12.919485	-458.59186	74.79899	75.006645	0.0050340863	0.0003080057	-7.390364e-05	0.08292665	1.0867516	5.8159175	5.8127465	0.46648026	5.948581	1.0868254	575.8638	116.18512	0.030648671	2.9720185	19.531536	-1.0002056	0.96110964	860.3072	9262.606987714767
17	2061.7732	339.42026	2930.887	1747.0128	2192466.5	409974.8	3018413.0	1847053.0	15.720618	2.1267812	22.195559	10.631621	14.142146	1.478001	16.480576	12.106903	288.0	288.0	0.0	0.0	40163.723	0.07437726417824074	510001.0	576.5174	55.93808	853.74695	475.84473	576.5203	55.90383	854.28845	476.8134	5.847879	0.28879753	7.030581	4.2203403	0.46787006	0.10262665	1.2227914	0.34909162	0.99981636	1.05268	5.929107	-12.792759	-457.91046	75.3769	75.61813	0.0050286693	0.00030591094	0.0003322902	0.086725876	1.090856	5.8232627	5.8201246	0.46787798	5.956096	1.0905237	575.7319	116.73086	-0.038232457	2.975427	19.598618	-0.9998158	0.9423826	639.20306	9901.791590452194
18	2107.6848	362.72736	2889.349	1757.4153	2379848.5	391421.1	3032545.2	1934700.8	15.932727	2.2386162	20.844248	10.722925	15.220326	2.058925	19.093636	12.062735	288.0	288.0	0.0	0.0	41823.465	0.07337449972587719	540001.0	575.3448	55.83458	854.73	474.87253	575.3474	55.805397	855.7518	473.12878	5.841394	0.28767088	7.1231074	4.2147517	0.46753952	0.103238724	1.2045004	0.39129436	1.000261	1.0461689	4.815277	-12.545345	-456.6482	75.33797	75.57105	0.0050122957	0.00030134874	-0.0001381716	0.08874165	1.093153	5.8182707	5.815106	0.4675458	5.9510493	1.0932912	574.5637	116.82219	0.0017765132	2.977073	19.630487	-1.0002607	1.1385484	672.5555	10574.395680904388
19	2098.892	366.4616	2894.8154	1658.3998	2616073.5	496052.53	3112546.2	1937066.0	15.683171	2.044761	20.511278	10.453991	13.851326	1.4273967	16.093193	10.895747	288.0	288.0	0.0	0.0	43457.637	0.07242939453125	570001.0	576.736	56.055046	855.8308	478.1107	576.7377	56.030567	853.18994	475.40335	5.8413815	0.28549308	7.236751	4.1800456	0.46462947	0.100567564	1.2026755	0.40227178	1.0000036	1.0477834	9.373453	-11.989565	-458.03354	75.854065	76.0624	0.004994408	0.00029024435	0.00014125608	0.07987659	1.0834771	5.819286	5.8161416	0.4646333	5.9516697	1.0833358	575.94556	116.82863	-0.018370332	2.976977	19.629581	-1.0000033	1.0011816	660.6419	11234.870591878891
20	2110.5159	370.20148	2925.5232	1658.289	2171244.5	370456.7	2907207.2	1854604.4	16.097897	2.3522496	21.82569	10.808478	14.735468	1.3642018	17.112093	12.666555	288.0	288.0	0.0	0.0	45136.316	0.0716449466765873	600001.0	577.74524	56.223015	857.4178	476.80432	577.747	56.196033	856.9366	477.43085	5.8390894	0.2871595	7.059912	4.2234416	0.46757826	0.09542986	1.1600648	0.36379167	1.0000479	1.0474122	8.3750105	-11.256557	-459.77414	75.35479	75.56245	0.0050213025	0.00029242152	9.570085e-05	0.07485903	1.0780995	5.8185678	5.8154016	0.46758148	5.951417	1.0780038	576.9846	116.13249	-0.0037376087	2.9710975	19.513407	-1.0000477	0.93172884	622.29095	11857.27391910553
