[train] t=  1000 | LossPi=-11.0697 | PiEntropy=-0.6333 | Alpha= 0.5541 | MinQ= 15.2062 | QcPiCVaR= 5.5412 | QcPi= 1.9597 | QcPiVar= 4.2464| BatchCostMean= 0.1820 | BatchCostMax= 0.9067 | BatchCostNZ= 0.4102| WinRewMean= 4719.9135 | WinCostMean= 0.1667 | Beta= 0.6832
[train] t=  2000 | LossPi=-39.7711 | PiEntropy=-0.8999 | Alpha= 0.5721 | MinQ= 44.5079 | QcPiCVaR= 6.1669 | QcPi= 2.7408 | QcPiVar= 3.8573| BatchCostMean= 0.2159 | BatchCostMax= 0.8663 | BatchCostNZ= 0.4883| WinRewMean= 6961.4663 | WinCostMean= 0.2272 | Beta= 0.6846
[train] t=  3000 | LossPi=-68.5831 | PiEntropy=-0.9042 | Alpha= 0.7155 | MinQ= 74.4951 | QcPiCVaR= 6.9019 | QcPi= 3.5999 | QcPiVar= 3.5624| BatchCostMean= 0.2066 | BatchCostMax= 0.7578 | BatchCostNZ= 0.4648| WinRewMean= 7230.9439 | WinCostMean= 0.2170 | Beta= 0.7628
[train] t=  4000 | LossPi=-98.0725 | PiEntropy=-0.9888 | Alpha= 0.7700 | MinQ= 105.2601 | QcPiCVaR= 7.5677 | QcPi= 4.3126 | QcPiVar= 3.4535| BatchCostMean= 0.2220 | BatchCostMax= 0.7443 | BatchCostNZ= 0.5391| WinRewMean= 8315.2712 | WinCostMean= 0.1804 | Beta= 0.8492
[train] t=  5000 | LossPi=-126.4805 | PiEntropy=-0.8431 | Alpha= 0.8377 | MinQ= 134.7334 | QcPiCVaR= 8.1123 | QcPi= 4.8016 | QcPiVar= 3.5720| BatchCostMean= 0.2014 | BatchCostMax= 0.7750 | BatchCostNZ= 0.5039| WinRewMean= 8504.6247 | WinCostMean= 0.1705 | Beta= 0.9303
[train] t=  6000 | LossPi=-147.3169 | PiEntropy=-1.2012 | Alpha= 0.8564 | MinQ= 157.3485 | QcPiCVaR= 8.9150 | QcPi= 5.7150 | QcPiVar= 3.3304| BatchCostMean= 0.1969 | BatchCostMax= 0.9221 | BatchCostNZ= 0.4805| WinRewMean= 7137.0250 | WinCostMean= 0.1998 | Beta= 1.0098
[train] t=  7000 | LossPi=-165.1096 | PiEntropy=-1.0076 | Alpha= 0.8954 | MinQ= 176.4406 | QcPiCVaR= 9.5707 | QcPi= 6.3282 | QcPiVar= 3.4166| BatchCostMean= 0.2060 | BatchCostMax= 0.9394 | BatchCostNZ= 0.4883| WinRewMean= 7178.6930 | WinCostMean= 0.2023 | Beta= 1.0897
[train] t=  8000 | LossPi=-189.0503 | PiEntropy=-0.7278 | Alpha= 0.8876 | MinQ= 201.6384 | QcPiCVaR= 10.2051 | QcPi= 6.9605 | QcPiVar= 3.4206| BatchCostMean= 0.2025 | BatchCostMax= 0.9392 | BatchCostNZ= 0.4727| WinRewMean= 8048.8160 | WinCostMean= 0.1768 | Beta= 1.1702
[train] t=  9000 | LossPi=-213.5502 | PiEntropy=-1.1969 | Alpha= 0.8446 | MinQ= 227.5368 | QcPiCVaR= 10.3689 | QcPi= 7.1072 | QcPiVar= 3.4569| BatchCostMean= 0.1910 | BatchCostMax= 0.7493 | BatchCostNZ= 0.4609| WinRewMean= 8346.6968 | WinCostMean= 0.1763 | Beta= 1.2514
[train] t= 10000 | LossPi=-231.4107 | PiEntropy=-1.1851 | Alpha= 0.8234 | MinQ= 247.1855 | QcPiCVaR= 11.0941 | QcPi= 7.8778 | QcPiVar= 3.3606| BatchCostMean= 0.1846 | BatchCostMax= 0.7041 | BatchCostNZ= 0.4570| WinRewMean= 7293.3712 | WinCostMean= 0.1791 | Beta= 1.3339
[train] t= 11000 | LossPi=-252.1854 | PiEntropy=-1.0727 | Alpha= 0.8486 | MinQ= 269.5507 | QcPiCVaR= 11.6039 | QcPi= 8.4605 | QcPiVar= 3.2106| BatchCostMean= 0.1885 | BatchCostMax= 0.6920 | BatchCostNZ= 0.4805| WinRewMean= 7409.1515 | WinCostMean= 0.1904 | Beta= 1.4181
