Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	2172.0615	333.1286	3058.539	965.92993	2436384.5	430437.4	3130777.2	2082987.1	50.277473	8.455192	67.27938	28.26393	42.630836	5.9719677	49.28746	33.321873	288.0	288.0	0.0	0.0	5237.1167	0.0872852783203125	30001.0	310.44373	154.61528	703.2275	-10.641526	310.64096	154.22362	702.3576	-11.247688	9.15363	3.5291457	16.188768	0.004170627	3.0847502	0.62178594	20.492535	0.02653422	1.014853	1.418189	18.947166	-13.375008	-285.3484	46.148026	47.22953	0.034250278	0.0029680773	-0.010918901	-0.19350186	0.8298074	-13.601718	0.49184668	1.8089294	-1.014853	0.3208723	297.75604	298.2310302257538
2	2207.2466	266.35696	3019.7405	1887.9669	2280669.2	282108.78	3084703.5	2053245.5	44.041813	6.2489676	53.04871	25.907202	42.747017	6.594698	49.378242	31.656212	288.0	288.0	0.0	0.0	9819.786	0.10910873480902777	60001.0	578.8737	54.487514	842.9984	416.71368	578.8748	54.481373	841.33844	417.98795	14.491199	0.958534	17.45943	7.8255563	2.3689125	1.0307696	11.302712	1.4549601	0.9997439	1.2597022	5.939066	-13.306947	-497.7344	57.093525	56.987923	0.024685169	0.0018831568	0.00040633837	-0.19777927	0.8213008	-52.11876	1.5227226	4.6655645	-0.9997438	0.31338906	302.0699	600.3506548404694
3	2250.4727	364.5952	3057.7366	1804.5011	2346121.8	388486.72	3158852.5	2005331.8	33.70396	5.700116	46.13935	23.030107	25.92101	2.7183187	29.617336	20.911703	288.0	288.0	0.0	0.0	13328.448	0.11107040201822917	90001.0	634.3629	44.71191	867.80426	525.0778	634.3633	44.7104	867.2906	523.7907	13.502538	1.0131334	16.554096	8.288614	1.4618381	1.2293112	11.360039	0.87627363	1.0005717	1.1575415	4.213662	-13.3121	-515.41864	61.425117	61.326336	0.015080773	0.0019285172	-0.00034908814	-0.17206894	0.842504	-71.90002	2.026974	7.6394644	-1.0005718	0.32751846	310.03397	910.4797785282135
4	2172.8774	337.10562	3027.0774	1753.8348	2324826.5	301687.6	3132427.5	2033438.4	26.919792	3.6571476	36.882366	19.049469	24.065458	2.1423843	26.829836	20.165907	288.0	288.0	0.0	0.0	16129.156	0.10752770833333333	120001.0	636.0283	47.376358	873.4842	529.8697	636.0286	47.37963	875.7669	530.31696	10.895122	0.86901903	13.617745	7.031532	0.93308836	0.7702949	8.682408	0.6591603	1.0002098	1.0971537	3.9969306	-11.314472	-502.89908	67.12585	67.04068	0.009161037	0.0012118833	2.4518968e-06	-0.08102329	0.92264646	-68.14009	2.3576365	10.600471	-1.0002093	0.30514288	323.87158	1234.3234643936157
5	2125.969	354.1304	3013.0754	1759.0317	2175296.5	173562.19	2602864.8	1992519.5	21.88853	2.3944688	26.851622	15.521548	18.095606	2.4325945	20.951178	13.304501	288.0	288.0	0.0	0.0	18404.156	0.1022453125	150001.0	623.6028	48.007866	873.6255	511.40198	623.60205	48.019745	874.94904	511.98856	8.833688	0.5858084	10.773898	5.9164176	0.67303765	0.3439608	4.427757	0.5376393	1.0011342	1.0699445	4.188177	-12.062355	-484.23843	68.33972	68.21727	0.0059763426	0.00044480595	-0.00091636274	-0.017847762	0.9833608	-56.494053	2.6048498	13.556104	-1.0011345	0.31506085	322.52	1556.8618109226227
6	2117.8772	364.16724	2913.5613	1723.2623	2125598.8	330215.94	3005079.0	1853196.2	18.372896	2.5891376	26.821861	12.442265	11.2678585	2.232387	17.18696	9.475107	288.0	288.0	0.0	0.0	20319.83	0.09676109561011904	180001.0	600.4434	48.26064	856.23224	489.21204	600.4427	48.269283	857.1992	486.80826	7.4053597	0.4712633	9.032158	4.7726517	0.581488	0.269253	3.1433597	0.49233776	0.99978185	1.0649562	3.487228	-12.801629	-455.78897	68.27134	68.14883	0.005717686	0.00042902146	0.00041930308	0.075735025	1.079024	-43.846096	2.802706	16.511269	-0.9997819	0.3161204	326.38596	1883.2389950752258
7	2007.288	340.09872	2909.9543	1594.8978	2168087.5	414142.94	3016869.8	1842732.1	15.324855	2.4446993	21.246962	10.525046	15.008623	1.6959991	18.587664	12.040004	288.0	288.0	0.0	0.0	21916.326	0.09131802571614583	210001.0	578.4802	49.0716	835.0031	471.24512	578.4796	49.08215	837.6014	469.37842	6.3280754	0.3802816	7.8780727	4.4997826	0.55605495	0.21762972	2.8230798	0.4775899	1.0006168	1.0626485	3.387722	-13.22665	-429.5164	71.07169	70.929565	0.005374631	0.00029220674	-0.00047753533	0.10453912	1.1105427	-30.311646	2.9672768	19.45739	-1.0006164	0.3006811	326.87085	2210.10032248497
8	2035.496	390.42017	2864.9338	1649.9368	1964886.8	210680.75	2509468.8	1733834.6	13.251179	1.9871099	19.00141	8.211925	9.910148	1.1463916	11.768049	8.265733	288.0	288.0	0.0	0.0	23295.13	0.08627826244212963	240001.0	558.6274	50.030945	819.57935	443.39694	558.62665	50.036034	819.83466	450.7397	5.5380306	0.28882778	6.8077097	4.1704307	0.48863834	0.09048161	1.4856308	0.40390852	0.99992967	1.0560395	3.2174735	-12.024064	-406.70132	72.52517	72.41619	0.004703417	0.0001546532	0.0002575298	0.12125024	1.1293588	-15.649423	3.1072428	22.374912	-0.9999304	0.2941506	326.99387	2537.1437373161316
9	1967.8594	331.52078	2844.3591	1611.7203	2007642.0	333607.34	2705079.5	1770094.1	11.537279	1.7237709	15.847302	7.149652	9.105053	1.0402404	11.629277	7.734978	288.0	288.0	0.0	0.0	24497.973	0.08165990885416667	270001.0	542.3067	50.685688	803.9126	437.352	542.3067	50.68592	808.5064	439.09332	5.047883	0.22501546	6.0861406	3.9298806	0.42348477	0.041004427	0.8329492	0.36484417	1.0005996	1.0456926	3.1210036	-11.107494	-385.7901	73.231026	73.14303	0.0041687028	0.00011925415	-0.0005117647	0.16754465	1.1827369	-3.840307	3.2254143	25.175198	-1.0005997	0.30971122	318.85278	2856.008131504059
10	1937.3591	331.31882	2813.0322	1534.1239	2102049.5	399669.38	2881870.0	1765807.2	11.318623	1.7115809	15.543375	7.4281044	8.514968	0.96771574	9.924862	6.9113436	288.0	288.0	0.0	0.0	25675.264	0.07780382930871212	300001.0	532.6616	51.87248	798.962	433.21448	532.6616	51.871746	799.7836	430.7834	4.8299074	0.1872022	6.030005	3.7925787	0.38132453	0.022583596	0.5585162	0.34548005	1.0000833	1.0432024	3.7367287	-12.011231	-376.0375	74.944984	74.83773	0.0039285626	0.00011300292	7.6079006e-05	0.1700631	1.1857405	-0.0041473955	3.2710745	26.341076	-1.0000825	0.3032856	323.37473	3179.301245689392
11	1957.7522	334.71423	2788.486	1625.1603	2057115.0	345154.34	2870361.8	1727009.2	11.262911	1.8468533	17.134472	6.414665	9.947432	1.2956358	12.077081	8.425516	288.0	288.0	0.0	0.0	26850.906	0.07458585069444444	330001.0	531.3879	52.20528	803.14825	428.75143	531.3888	52.19894	805.01794	428.92908	4.833882	0.18450883	5.968577	3.8471384	0.375092	0.02332698	0.55016977	0.3419498	1.0000305	1.0413404	3.3645887	-14.087765	-375.99606	75.15171	75.08	0.0038848743	0.00011797717	0.00012422974	0.1626722	1.1769223	0.003429973	3.2635245	26.141895	-1.0000303	0.31023812	325.1156	3504.443882226944
12	2033.1915	359.86343	2769.861	1610.2438	1851128.6	115204.18	2099395.8	1688716.5	11.380595	1.6208988	14.680266	7.359525	8.92439	0.8821258	10.476121	7.767487	288.0	288.0	0.0	0.0	28034.951	0.07188449018429487	360001.0	533.7891	52.873127	807.8917	434.62646	533.7896	52.867287	813.8593	433.20444	4.841151	0.18398675	6.0620656	3.7678235	0.37018573	0.022650534	0.55432504	0.34116265	0.9997797	1.0356277	3.6005516	-14.379896	-382.68533	75.33903	75.32783	0.0038451278	0.00011846598	0.00042004453	0.1591502	1.1728964	-0.010383434	3.2350967	25.409996	-0.99977964	0.30982566	329.49512	3833.9530124664307
13	2023.8483	360.29642	2856.4312	1592.8702	1986972.0	341537.28	2936094.8	1697627.9	11.444688	1.7752743	15.676695	7.114174	7.3599763	1.180936	8.786883	5.6622024	288.0	288.0	0.0	0.0	29226.123	0.06958600725446429	390001.0	537.1186	53.45589	813.5781	432.36526	537.1191	53.449963	815.60046	434.20755	4.842587	0.18808733	5.9924645	3.7664042	0.36385873	0.023663962	0.572732	0.3329704	1.0001976	1.0272719	2.9653547	-13.023611	-386.1748	74.83624	74.89345	0.0037790816	0.00012086864	-5.5481116e-05	0.14678834	1.1584362	0.024004366	3.2351236	25.412987	-1.0001985	0.30882645	330.50793	4164.474519729614
14	1974.9285	325.23633	2838.1091	1568.2853	2130123.5	367077.88	2850677.5	1807013.0	11.0950365	1.8162951	15.286302	7.0335236	9.999235	1.4758936	12.759996	8.27728	288.0	288.0	0.0	0.0	30381.191	0.06751375868055555	420001.0	539.35236	53.793327	814.95483	434.79224	539.35284	53.78804	819.9048	437.67346	4.863275	0.18983474	6.278617	3.7822356	0.36423284	0.025282789	0.6439843	0.33747396	0.99968755	1.0221528	3.6495829	-13.885881	-386.86948	74.512085	74.568375	0.0037925213	0.00012352195	0.0005036646	0.15465263	1.1675999	-0.03313408	3.241598	25.575075	-0.99968827	0.30185962	314.87	4479.319183588028
