Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	2079.9849	324.32758	2908.7815	1751.7383	2095074.6	196105.56	2609838.5	1933634.2	16.790112	2.2529726	22.760992	11.585568	18.356747	1.673625	19.960403	14.083152	288.0	288.0	0.0	0.0	29705.025	0.08251395941840278	330001.0	585.0181	57.08375	870.1531	482.74612	585.01825	57.081497	870.9816	483.34937	6.039232	0.30160746	7.670582	4.2790513	1.000089	1.0294075	7.0132284	-13.660466	-467.9743	78.717285	78.70688	0.0051655388	1.2613734e-05	0.13276765	1.1422524	-0.09242648	2.9548917	19.20137	-1.0000888	0.3206408	259.14835	2761.536993265152
12	2096.5183	353.09006	2912.0425	1713.6462	2177010.2	416197.0	3000632.2	1812274.9	16.02332	2.1517265	21.140759	10.992793	17.356956	1.5355844	20.291681	15.355548	288.0	288.0	0.0	0.0	31375.18	0.08044917868589743	360001.0	585.4134	57.718815	870.6637	477.3614	585.414	57.71204	869.9099	482.46152	6.0323825	0.3045595	7.399205	4.3126383	0.9999546	1.0336237	4.511016	-14.342245	-470.8979	78.81784	78.822044	0.005223239	0.00017574415	0.1313269	1.1405517	-0.022008765	2.933675	18.798029	-0.99995404	16.973011	275.9688	3037.49325966835
13	2081.6877	356.8542	2932.025	1723.5889	2355109.5	390112.7	3010651.8	1962710.1	16.386395	2.394468	22.294474	9.157768	14.543379	2.0642865	17.606369	11.152899	288.0	288.0	0.0	0.0	33080.81	0.07876382998511905	390001.0	586.6306	58.24998	873.44037	485.33127	586.6306	58.244316	876.0976	485.99655	6.0290704	0.30829003	7.4695377	4.268313	1.0001118	1.034454	4.8551536	-12.901273	-472.44986	79.219215	79.251305	0.0052953064	-9.821955e-06	0.122105494	1.130211	-0.009841587	2.9310102	18.747908	-1.0001119	0.33992553	245.35641	3282.8537735939026
14	2119.3816	358.71307	2959.1995	1696.536	2268047.8	380290.75	3007001.5	1899232.4	16.098967	2.3354797	22.836678	9.702246	14.800128	1.3751177	16.904768	11.756835	288.0	288.0	0.0	0.0	34759.12	0.07724249131944444	420001.0	587.9078	59.26417	878.87384	481.59802	587.90796	59.257053	879.12134	484.2794	6.022033	0.3100909	7.4767404	4.2841673	1.0000869	1.0373253	4.1156683	-12.771271	-473.57614	80.613914	80.65056	0.005309175	1.9163695e-05	0.121332414	1.1293075	0.08502438	2.9332278	18.789354	-1.0000865	0.29768968	259.54333	3542.3991112709045
15	2059.0413	333.70352	2981.7534	1711.9814	2149719.5	365648.47	3124945.8	1856978.2	16.297125	2.169891	23.55134	10.807846	17.486975	2.419625	20.542189	11.550088	288.0	288.0	0.0	0.0	36456.203	0.07595042317708334	450001.0	586.0454	59.62558	878.49365	483.2689	586.04626	59.617535	877.0906	480.46173	6.0204253	0.30560762	7.401452	4.2864213	0.9999415	1.0378774	4.2320747	-12.327898	-471.05353	81.1012	81.0951	0.005268251	0.00019851814	0.13137022	1.1406757	0.08212086	2.9389372	18.896627	-0.9999417	12.145565	274.86383	3817.274069786072
16	2042.3087	306.71442	2931.768	1750.1553	2057262.8	334970.25	3032095.2	1830612.8	16.654259	2.3081965	21.609097	10.504183	12.343179	2.2491882	15.894204	9.106735	288.0	288.0	0.0	0.0	38193.78	0.07488976715686274	480001.0	585.3583	59.648613	879.8685	485.4482	585.3591	59.645885	879.08545	482.8289	6.0234513	0.3075413	7.2983212	4.198745	1.0000466	1.039992	3.9301918	-12.229191	-472.79993	80.97662	80.961136	0.005284498	7.341144e-05	0.11190659	1.1186439	-0.011696163	2.9166138	18.479816	-1.0000474	0.36179352	250.30951	4067.57271194458
17	2082.157	336.97968	2987.1907	1718.0269	2016101.4	86505.32	2202401.2	1886738.1	16.571135	1.9721547	21.53173	12.547746	11.381685	1.0526139	13.205796	9.787198	288.0	288.0	0.0	0.0	39917.695	0.07392165798611111	510001.0	585.11475	59.58523	876.4019	485.5074	585.1155	59.57722	878.2048	484.14557	6.0213537	0.31051984	7.5452228	4.262303	1.0000207	1.0424803	4.179518	-11.60952	-473.17303	80.67529	80.6984	0.0053429944	0.00010088933	0.09959812	1.1050403	0.0033481873	2.9112022	18.379004	-1.0000211	0.3106172	258.4513	4326.0236620903015
18	2165.2415	388.168	2938.812	1757.0177	2368364.8	434414.56	3087599.0	1818519.9	16.74152	2.1929436	23.643642	11.655838	16.97198	2.17819	21.176823	12.8069	288.0	288.0	0.0	0.0	41661.61	0.07309054276315789	540001.0	585.1047	60.37142	878.7653	482.9623	585.1052	60.365726	882.7562	482.3223	6.021765	0.30937186	7.598084	4.28195	1.0001727	1.0365435	3.7016876	-11.408655	-471.50815	81.91153	81.97179	0.0053083883	-6.729356e-05	0.10160029	1.1073105	-0.027264897	2.9256687	18.647253	-1.0001725	14.30247	271.18732	4597.217576980591
19	2087.8032	363.69278	2989.2441	1749.0234	2080663.2	266970.28	2828720.2	1852598.0	16.466148	2.2723095	21.935812	11.546917	17.309795	1.6017647	19.714705	14.516332	288.0	288.0	0.0	0.0	43375.594	0.07229265625	570001.0	584.88293	59.7369	879.4026	483.3003	584.88293	59.73106	881.9243	481.67944	6.021902	0.307918	7.3996377	4.2200117	1.0000231	1.0368918	3.9465613	-13.046427	-470.99774	81.31735	81.339195	0.0053013465	9.305449e-05	0.10406264	1.1099262	-0.041900404	2.9279513	18.690306	-1.000024	0.33427858	245.56602	4842.795323371887
20	2099.526	376.67206	2909.6377	1660.5183	2340148.0	394166.78	3107836.5	1908366.0	16.596592	2.1752431	21.997257	10.932062	13.235013	2.2028768	16.733505	9.590737	288.0	288.0	0.0	0.0	45104.32	0.07159415922619047	600001.0	584.0233	58.87995	872.4545	483.93942	584.02405	58.874577	874.009	481.132	6.0108924	0.29962957	7.455261	4.2797637	0.99994135	1.0357199	3.669549	-11.688303	-471.53152	79.83902	79.85301	0.005238606	0.00019279822	0.10013208	1.1055719	0.13799083	2.917077	18.489042	-0.99994063	0.30838346	262.5981	5105.388150691986
21	2127.1147	384.33826	2962.0798	1703.6713	2405024.5	481984.53	3108714.8	1899923.2	16.524874	2.0280228	21.541677	11.0552225	15.409984	1.4817165	17.333532	11.802019	288.0	288.0	0.0	0.0	46822.76	0.07094357836174242	630001.0	584.38104	58.94106	876.01154	484.27792	584.3814	58.93575	876.3811	482.7481	6.0218287	0.29987746	7.5092344	4.2827277	1.000251	1.0369081	4.4498906	-10.259054	-470.74017	80.39208	80.39495	0.0052617867	-0.00014944247	0.096832044	1.1019785	-0.08077119	2.925485	18.644732	-1.0002513	11.379963	271.84204	5377.238736152649
