[train] t= 15000 | LossPi=-330.4737 | PiEntropy=-1.1998 | Alpha= 1.0008 | PiEntTerm= 1.2007 | MinQ= 348.4969 | PiCostTerm= 16.8225 | QcPiCVaR= 9.2491 | QcPi= 7.0092 | QcPiRaw= 7.0079 | QcPiVar= 7.8848 | QcPiM2= 58.0283| BatchCostMean= 0.1628 | BatchCostMax= 1.0000 | BatchCostNZ= 0.4727 | Beta= 1.8188
[train] t= 16000 | LossPi=-350.5416 | PiEntropy=-0.8626 | Alpha= 1.0177 | PiEntTerm= 0.8779 | MinQ= 369.5753 | PiCostTerm= 18.1559 | QcPiCVaR= 9.5167 | QcPi= 7.2408 | QcPiRaw= 7.2398 | QcPiVar= 8.1393 | QcPiM2= 61.4785| BatchCostMean= 0.1416 | BatchCostMax= 1.0000 | BatchCostNZ= 0.4570 | Beta= 1.9078
[train] t= 17000 | LossPi=-363.5199 | PiEntropy=-0.8293 | Alpha= 0.7721 | PiEntTerm= 0.6402 | MinQ= 383.2041 | PiCostTerm= 19.0440 | QcPiCVaR= 9.5323 | QcPi= 7.2003 | QcPiRaw= 7.1992 | QcPiVar= 8.5461 | QcPiM2= 61.3227| BatchCostMean= 0.1439 | BatchCostMax= 0.8962 | BatchCostNZ= 0.4570 | Beta= 1.9978
[train] t= 18000 | LossPi=-375.2340 | PiEntropy=-0.9350 | Alpha= 0.8962 | PiEntTerm= 0.8379 | MinQ= 395.9195 | PiCostTerm= 19.8476 | QcPiCVaR= 9.5024 | QcPi= 7.1104 | QcPiRaw= 7.1092 | QcPiVar= 8.9947 | QcPiM2= 60.6153| BatchCostMean= 0.1134 | BatchCostMax= 0.7983 | BatchCostNZ= 0.4141 | Beta= 2.0887
[train] t= 19000 | LossPi=-388.2898 | PiEntropy=-1.4461 | Alpha= 0.8956 | PiEntTerm= 1.2951 | MinQ= 411.1665 | PiCostTerm= 21.5817 | QcPiCVaR= 9.8983 | QcPi= 7.5254 | QcPiRaw= 7.5246 | QcPiVar= 8.8485 | QcPiM2= 66.4365| BatchCostMean= 0.1476 | BatchCostMax= 0.6621 | BatchCostNZ= 0.4531 | Beta= 2.1804
[train] t= 20000 | LossPi=-398.5254 | PiEntropy=-0.7840 | Alpha= 0.8323 | PiEntTerm= 0.6525 | MinQ= 422.2643 | PiCostTerm= 23.0864 | QcPiCVaR= 10.1578 | QcPi= 7.7430 | QcPiRaw= 7.7423 | QcPiVar= 9.1648 | QcPiM2= 70.0181| BatchCostMean= 0.1193 | BatchCostMax= 0.7404 | BatchCostNZ= 0.4180 | Beta= 2.2728
[train] t= 21000 | LossPi=-407.3385 | PiEntropy=-1.1975 | Alpha= 0.7949 | PiEntTerm= 0.9520 | MinQ= 431.7881 | PiCostTerm= 23.4976 | QcPiCVaR= 9.9322 | QcPi= 7.4827 | QcPiRaw= 7.4819 | QcPiVar= 9.4290 | QcPiM2= 66.3849| BatchCostMean= 0.1356 | BatchCostMax= 0.6771 | BatchCostNZ= 0.4648 | Beta= 2.3658
[train] t= 22000 | LossPi=-415.6375 | PiEntropy=-0.8204 | Alpha= 0.7158 | PiEntTerm= 0.5872 | MinQ= 441.6407 | PiCostTerm= 25.4161 | QcPiCVaR= 10.3330 | QcPi= 7.8519 | QcPiRaw= 7.8513 | QcPiVar= 9.6768 | QcPiM2= 72.2205| BatchCostMean= 0.1464 | BatchCostMax= 0.7201 | BatchCostNZ= 0.4805 | Beta= 2.4597
[train] t= 23000 | LossPi=-429.3109 | PiEntropy=-1.0786 | Alpha= 0.8198 | PiEntTerm= 0.8843 | MinQ= 456.5764 | PiCostTerm= 26.3813 | QcPiCVaR= 10.3294 | QcPi= 7.8418 | QcPiRaw= 7.8413 | QcPiVar= 9.7278 | QcPiM2= 72.0313| BatchCostMean= 0.1431 | BatchCostMax= 0.7918 | BatchCostNZ= 0.5234 | Beta= 2.5540
[train] t= 24000 | LossPi=-424.5281 | PiEntropy=-1.0143 | Alpha= 0.7843 | PiEntTerm= 0.7955 | MinQ= 452.5735 | PiCostTerm= 27.2499 | QcPiCVaR= 10.2872 | QcPi= 7.7662 | QcPiRaw= 7.7657 | QcPiVar= 9.9888 | QcPiM2= 71.1220| BatchCostMean= 0.1137 | BatchCostMax= 1.0000 | BatchCostNZ= 0.3984 | Beta= 2.6489
