Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageQCM2	StdQCM2	MaxQCM2	MinQCM2	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	2445.612	57.625385	2580.4644	2302.6123	2558956.0	34543.81	2612308.2	2507513.8	8.537883	1.4260192	12.978607	4.713878	5.5635414	0.7624419	6.7011404	4.4816856	287.0	287.0	0.0	0.0	22661.3	0.06294805772569445	330001.0	473.298	19.958485	588.25946	343.27353	473.29602	19.661821	578.07104	317.63455	3.9499028	0.14871185	5.5733457	2.8705132	1.542361	0.18687572	2.0492857	0.90664583	17.166231	1.1161453	32.39857	10.089734	0.99974346	1.0392156	4.9214163	-14.135106	-315.16016	405.53455	411.55447	0.028054606	0.0102245305	0.00042226762	0.13145486	1.1409352	-59.89502	3.4510825	31.546288	-0.9997434	0.30850744	340.8152	3742.06946849823
12	2406.1074	60.467236	2586.6445	2234.8552	2548678.0	39328.6	2615189.2	2488383.0	7.72875	1.3027271	10.919578	4.7618914	4.9528775	0.429531	5.580558	4.161787	287.0	287.0	0.0	0.0	23467.264	0.06017247095352564	360001.0	460.68127	19.045403	559.19794	285.27902	460.69388	19.043417	546.7346	320.2405	3.7924476	0.12761733	5.222213	3.109149	1.4256185	0.17543715	2.0154335	0.7496608	15.824581	0.939217	28.655745	11.384314	1.0007399	1.0401917	8.663495	-14.431658	-294.5092	393.8546	383.10403	0.026034066	0.01017927	-0.0006906831	0.16501862	1.1802095	-58.756874	3.5413845	34.52536	-1.0007403	0.30363536	339.9152	4082.005892276764
13	2394.649	58.517296	2543.3284	2253.126	2421888.8	47409.305	2504717.2	2337121.0	7.3518376	1.2382823	10.335137	4.6041613	4.3476214	0.7385507	5.5277863	3.5460668	287.0	287.0	0.0	0.0	24236.727	0.05770649181547619	390001.0	456.66797	19.17703	557.17523	294.55136	456.66055	19.48701	547.52893	296.40164	3.7752216	0.12518081	6.067175	3.4109442	1.315765	0.15825658	1.8959761	0.6644787	15.583722	0.90394986	37.808838	13.119503	1.0003698	1.0334142	7.6663938	-12.085552	-278.52374	379.53943	378.391	0.025767941	0.010485432	-0.00034011173	0.2307941	1.261237	-61.932426	3.6241698	37.503433	-1.0003698	0.27682257	340.7603	4422.757441282272
14	2389.3762	47.28065	2510.344	2299.4868	2478617.8	23173.57	2521634.2	2440839.5	7.2938905	1.0747157	9.941974	4.286645	4.7378106	0.73687243	6.1977344	3.9497385	287.0	287.0	0.0	0.0	24998.197	0.05555154947916666	420001.0	448.41794	20.307938	543.50397	277.1679	448.41003	20.128105	540.3163	279.87793	3.749304	0.12070145	5.4887996	3.4282367	1.3332561	0.16453373	2.330508	0.6633595	15.405102	0.86238253	31.25727	13.226256	1.0000807	1.0295297	3.861497	-11.583448	-257.0124	359.65607	370.97845	0.025438411	0.010242866	7.962292e-05	0.27556938	1.3176839	-66.116425	3.7005923	40.4804	-1.0000807	0.28246593	337.89868	4760.6432456970215
15	2360.5974	62.106346	2494.3228	2111.059	2480834.8	32559.055	2509174.8	2390232.2	6.964887	1.1522241	9.329579	3.9644592	5.3208523	0.3812791	6.091794	4.6442227	287.0	287.0	0.0	0.0	25725.797	0.05359541015625	450001.0	436.56848	20.703497	553.5955	268.01242	436.5718	20.86958	543.6541	250.32236	3.7318401	0.12095635	5.4667306	3.3531392	1.2901721	0.1571535	2.0296035	0.7110515	15.231431	0.86215913	30.92912	12.617779	0.99954855	1.0354259	4.1985435	-11.088989	-232.65613	356.36478	350.75128	0.024951607	0.010184131	0.00077703386	0.2680464	1.3084186	-69.62659	3.771582	43.45724	-0.99954855	0.30276752	342.23907	5102.894234657288
16	2318.8809	61.23586	2458.571	2144.598	2420132.5	21519.22	2448094.0	2383393.2	6.337609	0.89576244	8.621753	3.8771253	4.256603	0.45483992	5.1710715	3.510773	287.0	287.0	0.0	0.0	26387.734	0.051740655637254905	480001.0	428.94046	20.376198	572.929	244.00322	428.9502	20.54833	518.7771	245.2044	3.6879175	0.11385261	5.710983	3.2995627	1.2407335	0.15547621	1.8422343	0.6696447	14.854439	0.8141512	33.654564	11.893264	0.99996	1.045276	6.683834	-12.533476	-214.2205	348.02344	339.59814	0.024312416	0.0100807	0.00023263355	0.2511375	1.2861631	-71.553085	3.8378575	46.433853	-0.99995947	0.28820968	338.7747	5441.667800664902
17	2276.122	56.05013	2380.2107	2055.5798	2423036.0	24436.248	2461232.5	2390648.8	6.190878	1.0816264	9.2308235	3.6506007	4.5491323	0.45936534	5.3561735	3.8314376	287.0	287.0	0.0	0.0	27035.27	0.05006531394675926	510001.0	432.13153	21.662865	563.16516	230.75198	432.13217	21.533674	537.34296	231.18748	3.6353438	0.1052819	5.135822	3.1777587	1.1532991	0.14551793	2.1751423	0.57317746	14.3801155	0.7612895	27.288773	11.343466	1.0008602	1.0509472	6.4000754	-12.393162	-208.0442	355.41367	355.73312	0.02392407	0.010396539	-0.00091376767	0.2662689	1.3069284	-71.97614	3.8999975	49.40979	-1.0008602	0.29415536	338.90533	5780.561244249344
18	2308.4194	81.51192	2477.427	1791.0728	2674744.5	24383.615	2714062.2	2641745.2	6.223188	1.1030331	9.13278	3.684414	8.996672	0.59145516	10.144246	8.13293	287.0	287.0	0.0	0.0	27688.078	0.048575575657894735	540001.0	423.60864	20.172913	548.72534	223.01668	423.60223	20.562065	517.5605	221.01308	3.5934122	0.09801472	4.994914	3.3449876	1.160144	0.14721861	1.937743	0.64058065	14.082345	0.69884384	25.928476	12.143247	1.0005612	1.0439456	5.9198837	-11.517879	-188.09721	339.39117	335.47275	0.023705712	0.010407441	-0.0005499447	0.32928002	1.3926681	-74.35058	3.9585679	52.38933	-1.0005616	0.30988526	339.62924	6120.2010242938995
19	2319.5457	59.565887	2507.6199	2149.9429	2330567.0	39398.418	2405597.2	2275039.5	5.729071	1.1767232	9.621831	3.0470629	3.8317742	0.35503012	4.492502	3.3187191	287.0	287.0	0.0	0.0	28284.041	0.047140068359375	570001.0	412.79825	19.317062	576.6566	253.08281	412.78622	18.997778	525.48376	222.57181	3.6000986	0.10853972	4.9593015	3.2523327	1.1936637	0.14885227	1.7998227	0.6483717	14.166155	0.7440622	25.7225	12.012996	0.99993485	1.0070617	5.6214323	-13.264617	-163.03513	306.4926	321.1535	0.023332814	0.009938667	0.00028827455	0.34197676	1.4085289	-79.72939	4.013911	55.369663	-0.9999346	0.33585596	337.73035	6457.945930480957
20	2320.9385	61.11223	2478.0498	2174.7305	2470705.5	38430.754	2506910.2	2363345.8	5.738726	1.0236763	8.591123	3.7032754	4.511788	0.6128185	5.5105057	3.294086	287.0	287.0	0.0	0.0	28883.39	0.04584665178571429	600001.0	408.11166	19.061325	534.3123	232.06915	408.10803	18.229658	506.6435	245.56346	3.5820339	0.106527805	5.1298895	3.3236203	1.1884654	0.15118226	1.5758119	0.69284344	14.030764	0.7255027	27.259287	12.446568	0.9997471	0.985434	5.376511	-11.6943035	-146.33405	300.89914	321.09024	0.023046887	0.009840598	0.00051256904	0.32855788	1.3895696	-82.86531	4.0663137	58.347824	-0.9997475	0.29020977	339.09192	6797.027369260788
