Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	2216.2185	325.1922	3022.08	1121.6788	2300757.2	284276.25	3116889.5	2108527.5	53.197807	9.382531	66.4652	27.471859	59.70635	9.197639	66.10962	33.878136	288.0	288.0	0.0	0.0	5539.88	0.09233133138020834	30001.0	309.6745	153.4772	708.5023	-12.923185	309.6552	153.51534	709.12714	-15.053464	9.431297	3.843979	17.44439	0.0024697026	3.9839787	0.6224133	33.638294	0.6893931	1.0668871	1.5632286	30.600098	-12.222578	-290.37793	40.528664	40.410175	0.051841408	0.002523835	-0.04625449	-0.22848463	0.79863805	-9.834507	0.26586834	1.4669774	-1.0668869	0.30611682	280.22812	280.69144916534424
2	2279.3032	345.3729	3042.3872	1898.4143	2355055.8	343189.06	3029882.0	2088672.2	46.06702	10.142975	61.854248	22.700693	42.147526	9.373884	50.10565	23.320122	288.0	288.0	0.0	0.0	10340.01	0.11488899739583333	60001.0	589.4663	55.489304	866.0327	430.6977	589.4666	55.484776	866.7448	432.51837	15.515523	1.1833303	18.99375	7.7556114	4.2211146	1.1291182	14.591618	2.9352272	1.0003828	1.1776453	11.133178	-12.356159	-515.82184	55.653095	55.758595	0.04257196	0.002106115	-0.000117540425	-0.16802451	0.8456511	-47.227253	1.4196845	4.2245994	-1.000383	0.29737973	281.60425	562.3478786945343
3	2237.7146	328.13596	2993.2573	1864.7517	2501674.8	408738.8	3062907.5	2036124.6	38.845356	7.384027	50.694508	21.105541	29.372171	7.938949	37.786564	16.296654	288.0	288.0	0.0	0.0	14378.878	0.11982398274739584	90001.0	649.4982	47.045425	902.0923	542.8801	649.49854	47.045063	900.3263	541.4602	14.789796	1.1325798	17.94793	8.425234	3.1175668	1.3628083	14.146799	1.9279739	0.99985546	1.1252319	11.083582	-13.179619	-532.5906	62.157635	62.123123	0.029924681	0.002117964	0.00028814675	-0.14371167	0.8664932	-72.50135	1.9666766	7.1986384	-0.9998553	0.28950953	281.96136	844.3055276870728
4	2209.1848	336.0297	2988.114	1881.6268	2448773.2	337197.34	2983038.8	1959871.9	30.811314	6.3283105	43.910557	18.059238	23.039448	3.9692729	28.59395	16.762857	288.0	288.0	0.0	0.0	17583.658	0.11722438802083333	120001.0	653.4837	50.233994	905.08704	546.31165	653.4835	50.237686	903.7605	540.39996	12.510274	1.137086	15.73602	6.402684	1.8986682	1.1309261	11.680948	0.9219494	1.0001831	1.0886873	5.859904	-10.753636	-515.1295	68.97042	68.82435	0.01939348	0.002353973	2.306475e-05	-0.1427723	0.8673653	-75.97093	2.3158107	10.169279	-1.000183	0.3161621	282.2293	1126.551899433136
5	2127.8843	316.79828	2957.855	1774.2892	2115809.5	279617.47	2876246.8	1856095.0	23.343647	3.742471	31.071638	15.117709	15.838208	1.3897994	19.169128	14.149729	288.0	288.0	0.0	0.0	20014.258	0.11119032118055555	150001.0	636.24084	53.22275	899.7893	523.637	636.24164	53.221676	896.83466	515.22437	9.939187	0.9882895	12.515165	5.157109	1.2060592	0.89988977	9.344802	0.422965	1.0006038	1.0566143	9.806155	-11.09901	-494.47546	74.780876	74.623634	0.012678762	0.0019466412	-0.0004003371	-0.08644018	0.918003	-61.448463	2.5722327	13.122636	-1.0006042	0.31557894	282.41867	1408.9721825122833
6	2092.8386	301.90912	2845.1626	1672.9756	2288986.5	371878.0	2983767.0	1915124.8	19.624386	3.180095	27.38069	11.693714	14.984011	1.2122843	16.771479	12.893371	288.0	288.0	0.0	0.0	22056.607	0.10503146391369048	180001.0	611.40344	53.989346	881.2718	499.08478	611.40393	53.980606	879.21204	495.6071	7.9541345	0.6822756	9.881748	4.6422715	0.8030661	0.5135765	5.27365	0.30889213	1.0003654	1.0351793	4.4931135	-12.844626	-472.02826	76.99872	76.92725	0.0080925925	0.00092955487	-0.00022869902	0.007860156	1.0082936	-41.23299	2.7750595	16.061945	-1.0003659	0.3020134	282.88226	1691.8553071022034
7	2080.0698	325.2124	2833.0544	1743.0369	2361552.5	395189.1	2992670.0	1962439.0	16.515566	2.3088872	21.72641	10.193888	17.772915	2.0512917	21.783981	13.9611635	288.0	288.0	0.0	0.0	23776.63	0.09906929524739583	210001.0	589.0854	54.33629	866.08844	479.61902	589.0862	54.326946	867.03235	477.53326	6.6876173	0.47352964	8.098445	4.350847	0.618266	0.27731737	3.4198496	0.3827495	1.0002823	1.0352128	4.291123	-13.153179	-449.83234	77.25888	77.20213	0.0060049817	0.00045972143	-0.00016175446	0.06624061	1.068829	-23.490906	2.9427795	18.987135	-1.0002817	0.29764128	282.28815	1974.1359293460846
8	2011.7996	329.275	2808.467	1670.1278	2028239.4	286796.94	2791786.0	1750859.9	14.560994	2.3234172	19.559088	8.764712	12.878698	2.4394252	16.196974	8.765694	288.0	288.0	0.0	0.0	25295.23	0.09368603877314814	240001.0	567.47125	54.837612	847.3192	457.32672	567.4725	54.83072	846.21094	455.9324	5.8362064	0.34671038	7.1411653	4.1530404	0.51799285	0.14237712	1.8622806	0.40695858	1.0003564	1.036695	4.4014907	-13.90577	-426.88202	77.48877	77.475716	0.0050070505	0.00024801082	-0.00026718268	0.12035493	1.1284567	-7.815532	3.0834265	21.84772	-1.0003562	0.28146672	282.26724	2256.4073646068573
9	1966.7479	295.44183	2783.5166	1624.9576	2089649.0	278614.97	2877876.8	1874709.0	13.715566	2.036813	18.488897	8.702931	16.882145	1.4706417	18.736696	12.962737	288.0	288.0	0.0	0.0	26722.332	0.08907444010416667	270001.0	551.43555	55.10503	827.9841	449.86813	551.4372	55.09749	827.7836	448.61615	5.3873234	0.2493051	6.5111647	4.080429	0.4658623	0.07072407	1.1219314	0.3909979	1.000057	1.0400581	7.44437	-12.185959	-414.8128	78.718544	78.6882	0.0046389964	0.0001803004	8.143295e-05	0.1421579	1.1531196	0.017831456	3.1304016	22.890676	-1.000057	0.28956532	282.6126	2539.005776643753
10	2106.9346	346.01318	2804.2278	1687.4886	2089242.4	197343.1	2610550.5	1860575.5	14.447969	2.213558	19.076488	9.232872	14.819476	1.2560612	17.326406	13.055447	288.0	288.0	0.0	0.0	28227.584	0.08553813328598485	300001.0	553.413	54.938213	836.0874	447.99353	553.41394	54.934383	838.813	448.88898	5.3952913	0.2523808	6.4880266	4.026764	0.4731773	0.059226934	1.0548922	0.40116844	0.9998888	1.0490294	6.080615	-11.949078	-427.85233	77.35618	77.29258	0.0048116324	0.00019241348	0.00027612108	0.10280153	1.1087744	0.034186732	3.0430458	20.971544	-0.99988925	0.29599714	282.8372	2821.8483312129974
11	2067.8726	354.7471	2883.956	1699.784	2090387.2	295559.16	2771837.0	1853653.4	13.99326	2.0128918	19.515812	8.6023	11.6106415	0.85777545	13.007013	9.999982	288.0	288.0	0.0	0.0	29685.404	0.08245945638020834	330001.0	558.4228	55.775024	838.03015	458.16003	558.42316	55.771393	836.83496	455.57355	5.412196	0.2460926	6.641326	4.079923	0.46072263	0.06280025	1.0224007	0.3754411	1.0002193	1.0430964	9.12949	-13.409997	-431.12863	78.62211	78.55647	0.004620284	0.0001872408	-0.000114553644	0.1069654	1.1132225	0.012446052	3.0549328	21.22127	-1.00022	0.3112073	282.79675	3104.6512253284454
12	2057.8896	373.53885	2895.1848	1621.4763	2208822.8	233208.86	2629812.8	1841712.2	13.957064	1.9609954	19.445202	9.444366	10.174076	1.5105876	11.948477	7.0042696	288.0	288.0	0.0	0.0	31137.896	0.07984076021634616	360001.0	562.75104	56.150875	846.268	461.46106	562.7518	56.147	846.98004	462.85077	5.432553	0.24192548	6.525726	4.1328764	0.4431992	0.06321761	1.1794124	0.3606658	1.0001292	1.0327512	11.867306	-13.67065	-434.97662	78.21312	78.18417	0.0044921795	0.0001872806	8.203983e-07	0.11246326	1.1193557	-0.038871802	3.0566757	21.257471	-1.0001292	0.2686057	281.85178	3386.506531715393
13	2050.9888	340.87564	2812.6985	1697.752	2317319.0	372740.1	2953477.5	1898163.1	14.285662	2.0942006	19.954166	8.83896	16.211477	1.680164	19.406775	14.114211	288.0	288.0	0.0	0.0	32624.746	0.07767796688988095	390001.0	564.07074	56.759	851.29663	464.82205	564.07135	56.753906	852.44806	459.2816	5.4119024	0.22777797	6.6729608	4.2042217	0.43288448	0.05785769	1.0327032	0.34677696	0.9997236	1.0408964	10.280749	-12.65029	-436.76038	78.87802	78.900475	0.004372658	0.00017494682	0.0004550262	0.11203452	1.1189529	0.034980062	3.0572512	21.270973	-0.9997224	0.33346343	282.2717	3668.7918095588684
14	2082.9163	370.5764	2833.55	1700.3624	2251621.5	485999.06	3087229.2	1760839.8	13.699088	1.858882	18.464249	8.523677	11.785219	1.333009	13.313994	9.229551	288.0	288.0	0.0	0.0	34053.19	0.07567375868055555	420001.0	566.8713	56.869198	856.51624	467.7707	566.87134	56.868	857.73804	464.9048	5.427725	0.23273659	6.6411295	4.1661925	0.43041876	0.057486553	1.1562783	0.34746435	1.0000287	1.035259	14.327464	-13.63426	-440.59134	79.33374	79.36218	0.004416913	0.00018191367	0.000106615	0.10700923	1.113318	-0.014849435	3.046383	21.039522	-1.0000288	0.28978348	282.34564	3951.1310307979584
