[train] t=  1000 | LossPi=-12.3681 | PiEntropy=-0.3857 | Alpha= 0.7948 | MinQ= 15.1421 | QcPiCVaR= 3.6766 | QcPi= 2.0325 | QcPiVar= 4.3283| BatchCostMean= 0.1528 | BatchCostMax= 0.8096 | BatchCostNZ= 0.3711| WinRewMean= 4855.8706 | WinCostMean= 0.1729 | Beta= 0.6711
[train] t=  2000 | LossPi=-44.5723 | PiEntropy=-0.9186 | Alpha= 0.6511 | MinQ= 47.9684 | QcPiCVaR= 4.4228 | QcPi= 2.8274 | QcPiVar= 4.0536| BatchCostMean= 0.1986 | BatchCostMax= 0.9536 | BatchCostNZ= 0.4609| WinRewMean= 7064.1132 | WinCostMean= 0.2143 | Beta= 0.6326
[train] t=  3000 | LossPi=-73.3065 | PiEntropy=-1.1237 | Alpha= 0.7164 | MinQ= 77.2551 | QcPiCVaR= 5.1799 | QcPi= 3.6214 | QcPiVar= 3.8503| BatchCostMean= 0.1922 | BatchCostMax= 0.7311 | BatchCostNZ= 0.4727| WinRewMean= 8092.9464 | WinCostMean= 0.1890 | Beta= 0.6069
[train] t=  4000 | LossPi=-100.3169 | PiEntropy=-0.9060 | Alpha= 0.7304 | MinQ= 104.5729 | QcPiCVaR= 5.9818 | QcPi= 4.4363 | QcPiVar= 3.7748| BatchCostMean= 0.1811 | BatchCostMax= 0.9536 | BatchCostNZ= 0.4453| WinRewMean= 7196.6251 | WinCostMean= 0.2160 | Beta= 0.6009
[train] t=  5000 | LossPi=-129.4091 | PiEntropy=-1.1469 | Alpha= 0.7040 | MinQ= 134.1553 | QcPiCVaR= 6.3439 | QcPi= 4.8698 | QcPiVar= 3.4294| BatchCostMean= 0.1814 | BatchCostMax= 0.8230 | BatchCostNZ= 0.4648| WinRewMean= 7969.3391 | WinCostMean= 0.1834 | Beta= 0.6209
[train] t=  6000 | LossPi=-149.4542 | PiEntropy=-1.0471 | Alpha= 0.6911 | MinQ= 154.9760 | QcPiCVaR= 6.9824 | QcPi= 5.5257 | QcPiVar= 3.3436| BatchCostMean= 0.1980 | BatchCostMax= 0.7869 | BatchCostNZ= 0.4727| WinRewMean= 7431.2860 | WinCostMean= 0.1988 | Beta= 0.6872
[train] t=  7000 | LossPi=-172.5800 | PiEntropy=-1.0321 | Alpha= 0.7391 | MinQ= 179.0786 | QcPiCVaR= 7.5139 | QcPi= 6.0654 | QcPiVar= 3.3031| BatchCostMean= 0.1850 | BatchCostMax= 0.7869 | BatchCostNZ= 0.4453| WinRewMean= 7195.7008 | WinCostMean= 0.2029 | Beta= 0.7634
[train] t=  8000 | LossPi=-193.8736 | PiEntropy=-0.8914 | Alpha= 0.8010 | MinQ= 201.4114 | QcPiCVaR= 8.1413 | QcPi= 6.6779 | QcPiVar= 3.3691| BatchCostMean= 0.2099 | BatchCostMax= 0.8262 | BatchCostNZ= 0.4844| WinRewMean= 7947.6362 | WinCostMean= 0.1806 | Beta= 0.8382
[train] t=  9000 | LossPi=-213.9825 | PiEntropy=-0.7263 | Alpha= 0.7887 | MinQ= 222.7786 | QcPiCVaR= 9.0088 | QcPi= 7.5302 | QcPiVar= 3.4379| BatchCostMean= 0.2132 | BatchCostMax= 0.7350 | BatchCostNZ= 0.5078| WinRewMean= 7622.9831 | WinCostMean= 0.1914 | Beta= 0.9128
[train] t= 10000 | LossPi=-235.4923 | PiEntropy=-0.8003 | Alpha= 0.8258 | MinQ= 245.4795 | QcPiCVaR= 9.4357 | QcPi= 7.9470 | QcPiVar= 3.4835| BatchCostMean= 0.2158 | BatchCostMax= 0.7689 | BatchCostNZ= 0.5195| WinRewMean= 7639.3287 | WinCostMean= 0.1890 | Beta= 0.9884
[train] t= 11000 | LossPi=-254.2588 | PiEntropy=-0.9463 | Alpha= 0.8028 | MinQ= 265.7460 | QcPiCVaR= 10.0748 | QcPi= 8.5578 | QcPiVar= 3.6170| BatchCostMean= 0.1945 | BatchCostMax= 0.7595 | BatchCostNZ= 0.4648| WinRewMean= 7184.6674 | WinCostMean= 0.1991 | Beta= 1.0648
[train] t= 12000 | LossPi=-271.9625 | PiEntropy=-1.0834 | Alpha= 0.7629 | MinQ= 284.7885 | QcPiCVaR= 10.4996 | QcPi= 8.9688 | QcPiVar= 3.6826| BatchCostMean= 0.1939 | BatchCostMax= 0.7584 | BatchCostNZ= 0.4531| WinRewMean= 8080.5912 | WinCostMean= 0.1716 | Beta= 1.1428
[train] t= 13000 | LossPi=-282.9736 | PiEntropy=-1.0437 | Alpha= 0.7535 | MinQ= 297.4094 | QcPiCVaR= 11.1685 | QcPi= 9.6054 | QcPiVar= 3.8398| BatchCostMean= 0.2077 | BatchCostMax= 0.9004 | BatchCostNZ= 0.4688| WinRewMean= 7801.7283 | WinCostMean= 0.1881 | Beta= 1.2221
[train] t= 14000 | LossPi=-299.0999 | PiEntropy=-0.8805 | Alpha= 0.7444 | MinQ= 314.7870 | QcPiCVaR= 11.5374 | QcPi= 9.9806 | QcPiVar= 3.8079| BatchCostMean= 0.2116 | BatchCostMax= 0.7388 | BatchCostNZ= 0.5039| WinRewMean= 7542.9436 | WinCostMean= 0.1938 | Beta= 1.3029
[train] t= 15000 | LossPi=-317.8988 | PiEntropy=-0.9167 | Alpha= 0.7786 | MinQ= 334.8124 | QcPiCVaR= 11.6955 | QcPi= 10.1154 | QcPiVar= 3.9234| BatchCostMean= 0.2155 | BatchCostMax= 0.9377 | BatchCostNZ= 0.5078| WinRewMean= 7415.9109 | WinCostMean= 0.1950 | Beta= 1.3851
[train] t= 16000 | LossPi=-332.2829 | PiEntropy=-1.0026 | Alpha= 0.7981 | MinQ= 351.1152 | QcPiCVaR= 12.2778 | QcPi= 10.6897 | QcPiVar= 3.9624| BatchCostMean= 0.1876 | BatchCostMax= 0.9265 | BatchCostNZ= 0.4688| WinRewMean= 7887.2301 | WinCostMean= 0.1775 | Beta= 1.4687
[train] t= 17000 | LossPi=-345.2905 | PiEntropy=-0.9778 | Alpha= 0.8325 | MinQ= 365.9449 | QcPiCVaR= 12.7713 | QcPi= 11.1813 | QcPiVar= 3.9723| BatchCostMean= 0.1778 | BatchCostMax= 0.7418 | BatchCostNZ= 0.4570| WinRewMean= 7670.2789 | WinCostMean= 0.1806 | Beta= 1.5535
[train] t= 18000 | LossPi=-365.6056 | PiEntropy=-1.1084 | Alpha= 0.8411 | MinQ= 387.6878 | QcPiCVaR= 12.9017 | QcPi= 11.3016 | QcPiVar= 4.0232| BatchCostMean= 0.1676 | BatchCostMax= 0.7388 | BatchCostNZ= 0.4219| WinRewMean= 8860.1027 | WinCostMean= 0.1535 | Beta= 1.6393
[train] t= 19000 | LossPi=-377.0066 | PiEntropy=-1.1286 | Alpha= 0.8658 | MinQ= 400.7393 | QcPiCVaR= 13.1821 | QcPi= 11.5716 | QcPiVar= 4.0758| BatchCostMean= 0.1774 | BatchCostMax= 0.8153 | BatchCostNZ= 0.4453| WinRewMean= 9811.0476 | WinCostMean= 0.1275 | Beta= 1.7262
[train] t= 20000 | LossPi=-389.4947 | PiEntropy=-0.9647 | Alpha= 0.8828 | MinQ= 414.8896 | QcPiCVaR= 13.5287 | QcPi= 11.9107 | QcPiVar= 4.1130| BatchCostMean= 0.1775 | BatchCostMax= 0.9091 | BatchCostNZ= 0.4531| WinRewMean= 8604.7827 | WinCostMean= 0.1577 | Beta= 1.8142
[train] t= 21000 | LossPi=-394.9765 | PiEntropy=-0.9913 | Alpha= 0.8830 | MinQ= 422.4245 | QcPiCVaR= 13.9618 | QcPi= 12.3202 | QcPiVar= 4.2346| BatchCostMean= 0.1862 | BatchCostMax= 0.7884 | BatchCostNZ= 0.5078| WinRewMean= 7088.6025 | WinCostMean= 0.2064 | Beta= 1.9032
[train] t= 22000 | LossPi=-410.6044 | PiEntropy=-1.1239 | Alpha= 0.8370 | MinQ= 440.0777 | QcPiCVaR= 14.3123 | QcPi= 12.6532 | QcPiVar= 4.3265| BatchCostMean= 0.1934 | BatchCostMax= 0.7667 | BatchCostNZ= 0.5078| WinRewMean= 7224.9873 | WinCostMean= 0.2045 | Beta= 1.9936
[train] t= 23000 | LossPi=-414.3916 | PiEntropy=-1.1509 | Alpha= 0.9076 | MinQ= 445.3888 | QcPiCVaR= 14.3668 | QcPi= 12.7098 | QcPiVar= 4.3138| BatchCostMean= 0.1703 | BatchCostMax= 0.7216 | BatchCostNZ= 0.4492| WinRewMean= 7925.4562 | WinCostMean= 0.1775 | Beta= 2.0849
[train] t= 24000 | LossPi=-430.1531 | PiEntropy=-1.1317 | Alpha= 0.8770 | MinQ= 462.9998 | QcPiCVaR= 14.6324 | QcPi= 12.9565 | QcPiVar= 4.4145| BatchCostMean= 0.1791 | BatchCostMax= 0.7066 | BatchCostNZ= 0.4727| WinRewMean= 8886.6710 | WinCostMean= 0.1496 | Beta= 2.1770
[train] t= 25000 | LossPi=-429.2535 | PiEntropy=-1.1460 | Alpha= 0.8293 | MinQ= 463.9935 | QcPiCVaR= 14.8869 | QcPi= 13.2020 | QcPiVar= 4.4612| BatchCostMean= 0.1520 | BatchCostMax= 0.7506 | BatchCostNZ= 0.4258| WinRewMean= 7737.0472 | WinCostMean= 0.1855 | Beta= 2.2698
