[train] t= 18100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0156 | QcPi= 0.0156 | QcPiVar=0.0000| BatchCostMean= 0.0156 | BatchCostMax= 1.0000 | BatchCostNZ= 0.0970| WinRewMean= 3359.0737 | WinCostMean= 0.0156
[train] t= 19100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0165 | QcPi= 0.0165 | QcPiVar=0.0000| BatchCostMean= 0.0165 | BatchCostMax= 0.7257 | BatchCostNZ= 0.1410| WinRewMean= 5274.7674 | WinCostMean= 0.0165
[train] t= 20100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0188 | QcPi= 0.0188 | QcPiVar=0.0000| BatchCostMean= 0.0188 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1000| WinRewMean= 4466.0433 | WinCostMean= 0.0188
[train] t= 21100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0146 | QcPi= 0.0146 | QcPiVar=0.0000| BatchCostMean= 0.0146 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1050| WinRewMean= 3922.3982 | WinCostMean= 0.0146
[train] t= 22100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0175 | QcPi= 0.0175 | QcPiVar=0.0000| BatchCostMean= 0.0175 | BatchCostMax= 0.7749 | BatchCostNZ= 0.1330| WinRewMean= 4729.6048 | WinCostMean= 0.0175
[train] t= 23100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0162 | QcPi= 0.0162 | QcPiVar=0.0000| BatchCostMean= 0.0162 | BatchCostMax= 0.8052 | BatchCostNZ= 0.1380| WinRewMean= 4660.7186 | WinCostMean= 0.0162
[train] t= 24100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0133 | QcPi= 0.0133 | QcPiVar=0.0000| BatchCostMean= 0.0133 | BatchCostMax= 0.3681 | BatchCostNZ= 0.1040| WinRewMean= 5153.7574 | WinCostMean= 0.0133
[train] t= 25100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0191 | QcPi= 0.0191 | QcPiVar=0.0000| BatchCostMean= 0.0191 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1280| WinRewMean= 3855.2463 | WinCostMean= 0.0191
[train] t= 26100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0134 | QcPi= 0.0134 | QcPiVar=0.0000| BatchCostMean= 0.0134 | BatchCostMax= 1.0000 | BatchCostNZ= 0.0970| WinRewMean= 4602.0872 | WinCostMean= 0.0134
[train] t= 27100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0266 | QcPi= 0.0266 | QcPiVar=0.0000| BatchCostMean= 0.0266 | BatchCostMax= 0.7921 | BatchCostNZ= 0.1760| WinRewMean= 4487.3295 | WinCostMean= 0.0266
[train] t= 28100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0122 | QcPi= 0.0122 | QcPiVar=0.0000| BatchCostMean= 0.0122 | BatchCostMax= 0.8350 | BatchCostNZ= 0.0750| WinRewMean= 3186.7736 | WinCostMean= 0.0122
[train] t= 29100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0159 | QcPi= 0.0159 | QcPiVar=0.0000| BatchCostMean= 0.0159 | BatchCostMax= 0.8416 | BatchCostNZ= 0.1050| WinRewMean= 4279.0030 | WinCostMean= 0.0159
[train] t= 30100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0108 | QcPi= 0.0108 | QcPiVar=0.0000| BatchCostMean= 0.0108 | BatchCostMax= 0.8467 | BatchCostNZ= 0.0640| WinRewMean= 3221.2062 | WinCostMean= 0.0108
[train] t= 31100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0129 | QcPi= 0.0129 | QcPiVar=0.0000| BatchCostMean= 0.0129 | BatchCostMax= 0.7502 | BatchCostNZ= 0.0940| WinRewMean= 4264.1563 | WinCostMean= 0.0129
[train] t= 32100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0165 | QcPi= 0.0165 | QcPiVar=0.0000| BatchCostMean= 0.0165 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1400| WinRewMean= 5082.3127 | WinCostMean= 0.0165
[train] t= 33100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0188 | QcPi= 0.0188 | QcPiVar=0.0000| BatchCostMean= 0.0188 | BatchCostMax= 0.7156 | BatchCostNZ= 0.1230| WinRewMean= 3972.4315 | WinCostMean= 0.0188
[train] t= 34100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0221 | QcPi= 0.0221 | QcPiVar=0.0000| BatchCostMean= 0.0221 | BatchCostMax= 0.8691 | BatchCostNZ= 0.1620| WinRewMean= 4850.3956 | WinCostMean= 0.0221
[train] t= 35100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0179 | QcPi= 0.0179 | QcPiVar=0.0000| BatchCostMean= 0.0179 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1340| WinRewMean= 4207.6710 | WinCostMean= 0.0179
[train] t= 36100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0084 | QcPi= 0.0084 | QcPiVar=0.0000| BatchCostMean= 0.0084 | BatchCostMax= 0.4617 | BatchCostNZ= 0.0780| WinRewMean= 4501.4663 | WinCostMean= 0.0084
[train] t= 37100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0221 | QcPi= 0.0221 | QcPiVar=0.0000| BatchCostMean= 0.0221 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1470| WinRewMean= 4651.4320 | WinCostMean= 0.0221
[train] t= 38100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0259 | QcPi= 0.0259 | QcPiVar=0.0000| BatchCostMean= 0.0259 | BatchCostMax= 0.8390 | BatchCostNZ= 0.1610| WinRewMean= 4590.3964 | WinCostMean= 0.0259
[train] t= 39100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0161 | QcPi= 0.0161 | QcPiVar=0.0000| BatchCostMean= 0.0161 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1090| WinRewMean= 4052.4960 | WinCostMean= 0.0161
[train] t= 40100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0226 | QcPi= 0.0226 | QcPiVar=0.0000| BatchCostMean= 0.0226 | BatchCostMax= 0.8090 | BatchCostNZ= 0.1470| WinRewMean= 4335.6450 | WinCostMean= 0.0226
[train] t= 41100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0209 | QcPi= 0.0209 | QcPiVar=0.0000| BatchCostMean= 0.0209 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1280| WinRewMean= 3803.3463 | WinCostMean= 0.0209
[train] t= 42100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0174 | QcPi= 0.0174 | QcPiVar=0.0000| BatchCostMean= 0.0174 | BatchCostMax= 0.6748 | BatchCostNZ= 0.1160| WinRewMean= 4557.7146 | WinCostMean= 0.0174
[train] t= 43100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0128 | QcPi= 0.0128 | QcPiVar=0.0000| BatchCostMean= 0.0128 | BatchCostMax= 0.7761 | BatchCostNZ= 0.0990| WinRewMean= 5017.2627 | WinCostMean= 0.0128
[train] t= 44100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0180 | QcPi= 0.0180 | QcPiVar=0.0000| BatchCostMean= 0.0180 | BatchCostMax= 0.8158 | BatchCostNZ= 0.1280| WinRewMean= 4014.1613 | WinCostMean= 0.0180
[train] t= 45100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0177 | QcPi= 0.0177 | QcPiVar=0.0000| BatchCostMean= 0.0177 | BatchCostMax= 0.7699 | BatchCostNZ= 0.1050| WinRewMean= 3589.1106 | WinCostMean= 0.0177
[train] t= 46100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0176 | QcPi= 0.0176 | QcPiVar=0.0000| BatchCostMean= 0.0176 | BatchCostMax= 0.8299 | BatchCostNZ= 0.1290| WinRewMean= 4126.7143 | WinCostMean= 0.0176
[train] t= 47100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0186 | QcPi= 0.0186 | QcPiVar=0.0000| BatchCostMean= 0.0186 | BatchCostMax= 0.7625 | BatchCostNZ= 0.1260| WinRewMean= 4377.0469 | WinCostMean= 0.0186
[train] t= 48100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0177 | QcPi= 0.0177 | QcPiVar=0.0000| BatchCostMean= 0.0177 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1030| WinRewMean= 3734.3680 | WinCostMean= 0.0177
[train] t= 49100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0135 | QcPi= 0.0135 | QcPiVar=0.0000| BatchCostMean= 0.0135 | BatchCostMax= 0.6400 | BatchCostNZ= 0.1020| WinRewMean= 4454.9177 | WinCostMean= 0.0135
[train] t= 50100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0172 | QcPi= 0.0172 | QcPiVar=0.0000| BatchCostMean= 0.0172 | BatchCostMax= 0.8308 | BatchCostNZ= 0.1150| WinRewMean= 4579.6857 | WinCostMean= 0.0172
[train] t= 51100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0171 | QcPi= 0.0171 | QcPiVar=0.0000| BatchCostMean= 0.0171 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1460| WinRewMean= 6141.3445 | WinCostMean= 0.0171
[train] t= 52100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0111 | QcPi= 0.0111 | QcPiVar=0.0000| BatchCostMean= 0.0111 | BatchCostMax= 0.6330 | BatchCostNZ= 0.0860| WinRewMean= 3609.4191 | WinCostMean= 0.0111
[train] t= 53100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0185 | QcPi= 0.0185 | QcPiVar=0.0000| BatchCostMean= 0.0185 | BatchCostMax= 0.8214 | BatchCostNZ= 0.1300| WinRewMean= 4613.5888 | WinCostMean= 0.0185
[train] t= 54100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0191 | QcPi= 0.0191 | QcPiVar=0.0000| BatchCostMean= 0.0191 | BatchCostMax= 0.8151 | BatchCostNZ= 0.1340| WinRewMean= 4918.5860 | WinCostMean= 0.0191
[train] t= 55100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0158 | QcPi= 0.0158 | QcPiVar=0.0000| BatchCostMean= 0.0158 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1000| WinRewMean= 4165.6786 | WinCostMean= 0.0158
[train] t= 56100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0157 | QcPi= 0.0157 | QcPiVar=0.0000| BatchCostMean= 0.0157 | BatchCostMax= 0.8613 | BatchCostNZ= 0.1180| WinRewMean= 5171.2934 | WinCostMean= 0.0157
[train] t= 57100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0122 | QcPi= 0.0122 | QcPiVar=0.0000| BatchCostMean= 0.0122 | BatchCostMax= 0.7860 | BatchCostNZ= 0.0870| WinRewMean= 3983.8352 | WinCostMean= 0.0122
[train] t= 58100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0232 | QcPi= 0.0232 | QcPiVar=0.0000| BatchCostMean= 0.0232 | BatchCostMax= 0.6968 | BatchCostNZ= 0.1720| WinRewMean= 4599.2895 | WinCostMean= 0.0232
[train] t= 59100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0182 | QcPi= 0.0182 | QcPiVar=0.0000| BatchCostMean= 0.0182 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1290| WinRewMean= 4431.2309 | WinCostMean= 0.0182
[train] t= 60100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0128 | QcPi= 0.0128 | QcPiVar=0.0000| BatchCostMean= 0.0128 | BatchCostMax= 0.5181 | BatchCostNZ= 0.0930| WinRewMean= 4746.4691 | WinCostMean= 0.0128
[train] t= 61100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0152 | QcPi= 0.0152 | QcPiVar=0.0000| BatchCostMean= 0.0152 | BatchCostMax= 0.6272 | BatchCostNZ= 0.0960| WinRewMean= 3800.5685 | WinCostMean= 0.0152
[train] t= 62100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0172 | QcPi= 0.0172 | QcPiVar=0.0000| BatchCostMean= 0.0172 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1250| WinRewMean= 4610.1723 | WinCostMean= 0.0172
[train] t= 63100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0151 | QcPi= 0.0151 | QcPiVar=0.0000| BatchCostMean= 0.0151 | BatchCostMax= 0.7211 | BatchCostNZ= 0.1050| WinRewMean= 3975.0253 | WinCostMean= 0.0151
[train] t= 64100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0149 | QcPi= 0.0149 | QcPiVar=0.0000| BatchCostMean= 0.0149 | BatchCostMax= 0.7824 | BatchCostNZ= 0.1060| WinRewMean= 4335.7732 | WinCostMean= 0.0149
[train] t= 65100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0209 | QcPi= 0.0209 | QcPiVar=0.0000| BatchCostMean= 0.0209 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1270| WinRewMean= 4079.3085 | WinCostMean= 0.0209
[train] t= 66100 | LossPi=0.0000 | PiEntropy=0.0000 | Alpha=0.0000 | MinQ=0.0000 | QcPiCVaR= 0.0275 | QcPi= 0.0275 | QcPiVar=0.0000| BatchCostMean= 0.0275 | BatchCostMax= 1.0000 | BatchCostNZ= 0.1780| WinRewMean= 5323.4656 | WinCostMean= 0.0275
