Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	QcPi	QcPiRaw	QcPiVar	QcPiCVaR	PiEntTerm	PiQTerm	PiCostTerm	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	1891.7617	682.0573	2839.7937	249.73921	1890984.0	822928.2	2917809.2	524073.22	56.395107	18.838718	106.31173	27.864805	41.0691	19.206362	74.58072	21.858772	288.0	288.0	0.0	0.0	5871.2515	0.09785419108072917	30001.0	281.35294	182.3152	946.1601	-14.029793	281.23535	182.49588	950.6895	-14.532739	10.942876	4.6940613	24.464441	0.078763925	3.4530208	1.3903155	27.814068	0.6687523	0.9746832	1.2915673	17.84945	-14.027828	-259.7964	37.87135	37.32933	0.047138676	0.0047543906	0.014827181	-0.6733293	0.52197945	10.927666	10.921041	3.4537597	11.282496	0.5071522	281.406	21.102465	-12.820017	0.39987004	1.6612194	-0.97468305	1.1333544	389.02637	390.1449692249298
2	1890.2313	670.15137	2807.1995	313.11267	2021109.4	640436.75	2875810.8	871723.06	37.043827	13.600315	84.22354	18.434927	19.104702	2.6147995	23.750898	15.469504	288.0	288.0	0.0	0.0	9727.25	0.10808055555555555	60001.0	518.42615	180.06001	1071.3641	-7.219967	518.426	180.06001	1070.9591	-9.636689	13.803898	4.0279093	24.97801	0.517825	5.6299696	2.253405	33.114643	1.565615	1.0004733	1.2184591	10.182913	-13.316353	-454.6822	87.96319	87.77146	0.059930693	0.0045195622	-0.0002280899	-0.20285897	0.8171603	13.750948	13.750928	5.628395	14.20528	0.8173884	518.1697	62.670063	-40.40885	1.4746643	4.4522448	-1.0004731	1.265451	454.66147	844.8747034072876
3	1812.9609	598.47577	2714.81	197.47523	1460731.1	856788.0	2644090.8	10470.0	23.718203	4.7527933	42.135735	14.011127	11.223179	5.59868	18.25517	0.0	288.0	288.0	0.0	0.0	12195.636	0.1016302978515625	90001.0	545.81415	192.24399	1075.6227	-1.9249523	545.8119	192.25084	1073.0311	-0.4993459	10.475154	2.6206467	23.180761	0.0026338033	3.0947528	2.9070756	129.14949	0.6675513	1.0009389	1.1192389	10.858236	-14.343756	-465.9658	95.2963	95.33337	0.027191648	0.0033950242	-0.0006586713	-0.094330594	0.9110198	10.410741	10.410019	3.0929592	10.732406	0.91167843	545.34235	78.46488	-41.516666	1.9934522	7.3898616	-1.0009387	1.2267747	477.81485	1322.7236168384552
4	1873.0051	555.471	2738.3516	247.1382	1890023.6	665271.7	2557026.8	72625.61	18.151022	3.4309208	29.497927	11.478255	11.824108	3.774126	15.117824	1.1851416	288.0	288.0	0.0	0.0	14078.997	0.09385998046875	120001.0	532.0524	188.9027	1019.4468	-7.9677267	532.04895	188.91364	1011.2604	-6.749634	7.8406854	1.1464428	14.214488	1.0631514	1.3335108	1.5213829	118.253815	0.24855402	0.99989074	1.0940729	6.350572	-12.602844	-448.4846	91.053566	91.378235	0.010654922	0.0008758967	0.00025164903	-0.029259322	0.9715353	7.7786074	7.777946	1.3333874	7.991425	0.97128373	531.4169	81.961006	-30.348463	2.3309817	10.3227415	-0.9998912	1.3606355	489.5169	1812.3111684322357
5	1702.2491	601.1908	2675.147	65.42758	1759037.4	775909.4	2749564.8	39444.12	15.006258	2.5349267	20.465136	5.969749	8.34744	2.9886925	11.22738	0.3098248	288.0	288.0	0.0	0.0	15644.24	0.08691244574652777	150001.0	524.16046	188.57814	970.1448	-2.8615713	524.1555	188.59335	968.7561	-4.587562	6.150717	0.6022872	9.321531	3.1240559	0.69669175	0.46570134	5.6708364	0.18332736	1.000215	1.0482309	4.374507	-12.185739	-440.11597	96.37914	96.59605	0.006308203	0.00022547896	-6.282582e-05	-0.05027574	0.95125866	6.090398	6.0877404	0.6966539	6.2472954	0.9513215	523.4192	82.35193	-16.235008	2.580705	13.232838	-1.0002142	1.0939162	500.53995	2312.6919157505035
6	1644.4801	572.4153	2552.609	85.30221	1639117.9	632726.1	2457791.0	411321.16	11.585195	2.1690874	17.927046	5.687373	5.967693	1.4360213	8.606719	3.6883006	288.0	288.0	0.0	0.0	16849.43	0.08023537946428572	180001.0	505.41248	188.34554	941.0188	-4.9244466	505.39957	188.38078	935.5067	-8.852597	5.132013	0.37820902	7.269275	3.416352	0.5247921	0.2938309	2.0775387	0.1915823	1.0004895	1.0343626	4.2700996	-13.491865	-420.15906	97.48854	97.72511	0.0051531633	0.00019363016	-0.00034091985	-0.016023848	0.9846615	5.0737176	5.0670433	0.5247258	5.211168	0.98500246	504.60266	83.458626	-3.834143	2.7741032	16.043404	-1.0004889	1.0673506	481.53174	2794.213139295578
7	1721.3927	611.46265	2605.8467	79.89293	1595922.1	641776.1	2724168.8	483266.94	10.494339	1.9112104	16.489075	5.8633723	9.373386	2.520854	13.29985	3.1964936	288.0	288.0	0.0	0.0	17943.28	0.07476366373697917	210001.0	489.71747	185.7591	900.216	-16.686031	489.70734	185.7868	906.76385	-20.506502	4.7095284	0.27219492	6.5033946	3.3527524	0.45435312	0.21458423	1.5649474	0.17380443	1.0002722	1.0362014	4.265281	-13.369808	-399.86246	96.012794	96.19164	0.0045087235	0.00017285731	-0.00014244604	0.018541394	1.0190551	4.6560884	4.646259	0.45444947	4.784869	1.0191976	488.89813	88.01651	-0.22411038	2.9121027	18.401615	-1.0002724	1.0444958	487.99362	3282.2371447086334
8	1709.1583	573.7587	2648.916	52.217236	1349702.2	780765.9	2498524.8	540.0	10.016968	2.0230641	15.117266	3.5748973	4.545716	2.2085087	7.950144	0.0	288.0	288.0	0.0	0.0	18985.055	0.0703150173611111	240001.0	482.16904	184.5216	891.4394	-16.634718	482.16217	184.54028	895.7848	-18.205023	4.617535	0.25962755	6.251617	3.3370028	0.43070203	0.18076791	1.2964588	0.17545456	0.99981326	1.0415212	4.1009297	-11.910038	-393.1962	96.26012	96.395164	0.004429006	0.0001768696	0.0003369804	0.014438763	1.0149583	4.5708203	4.560124	0.4307887	4.6966677	1.0146213	481.39825	87.187485	0.033067085	2.9211073	18.563477	-0.99981326	1.0717368	498.4127	3780.6103794574738
9	1634.4309	590.61536	2622.034	72.1392	1977856.6	429211.44	2748870.8	1289343.6	9.854521	1.859427	14.494348	4.523305	6.959357	1.689067	10.375728	4.831134	288.0	288.0	0.0	0.0	20012.594	0.06670864583333333	270001.0	481.63977	184.31653	884.49713	-16.83311	481.6375	184.32434	892.7639	-20.524801	4.6046467	0.24996689	6.32264	3.2821548	0.4202437	0.17484532	1.3135718	0.17713332	1.0001659	1.0377191	5.8690834	-11.750348	-394.82697	95.79847	95.921875	0.0042699063	0.00016739653	-2.810003e-05	-0.012600879	0.9878259	4.5635595	4.55281	0.42031538	4.687919	0.98785394	480.9335	85.11867	0.04618053	2.8989348	18.157024	-1.0001665	0.9193461	509.2532	4289.83399605751
10	1608.5256	671.76294	2651.307	54.5096	1026039.2	944445.44	2727161.2	1080.0	10.583612	2.1733391	19.422262	4.0461264	4.711327	3.335766	8.915422	0.0	288.0	288.0	0.0	0.0	21117.988	0.06399390388257575	300001.0	481.97797	183.34253	883.30835	-16.826838	481.97638	183.34818	887.8407	-20.401855	4.632731	0.23551671	6.259044	3.4120178	0.40758142	0.15655056	1.14504	0.17477503	0.9997194	1.0351135	9.542366	-12.388727	-398.76892	94.65624	94.73848	0.004162913	0.0001508947	0.00039885406	-0.02328546	0.9775888	4.5969753	4.586602	0.40767273	4.7196903	0.97718984	481.33667	81.590485	0.041553095	2.8498657	17.288008	-0.9997197	0.99395275	464.54147	4754.411905050278
