[train] t=  1000 | LossPi=-8.3727 | PiEntropy=-0.6781 | Alpha= 0.5326 | MinQ= 11.0440 | QcPiCVaR= 3.4343 | QcPi= 3.1000 | QcPiVar= 3.0148| BatchCostMean= 0.1917 | BatchCostMax= 0.8988 | BatchCostNZ= 0.3398| WinRewMean= 3060.4608 | WinCostMean= 0.2017 | Beta= 0.6727
[train] t=  2000 | LossPi=-33.2543 | PiEntropy=-0.7092 | Alpha= 0.4314 | MinQ= 36.3219 | QcPiCVaR= 4.2732 | QcPi= 3.9473 | QcPiVar= 2.8459| BatchCostMean= 0.2299 | BatchCostMax= 0.8324 | BatchCostNZ= 0.4414| WinRewMean= 5745.6987 | WinCostMean= 0.2602 | Beta= 0.6463
[train] t=  3000 | LossPi=-57.7391 | PiEntropy=-1.1505 | Alpha= 0.4116 | MinQ= 61.7621 | QcPiCVaR= 5.4158 | QcPi= 5.0980 | QcPiVar= 2.6963| BatchCostMean= 0.2479 | BatchCostMax= 0.8497 | BatchCostNZ= 0.4727| WinRewMean= 6513.7684 | WinCostMean= 0.2427 | Beta= 0.6554
[train] t=  4000 | LossPi=-80.0411 | PiEntropy=-1.2308 | Alpha= 0.4405 | MinQ= 85.3946 | QcPiCVaR= 6.6418 | QcPi= 6.3253 | QcPiVar= 2.6879| BatchCostMean= 0.2282 | BatchCostMax= 0.8676 | BatchCostNZ= 0.4492| WinRewMean= 6549.5610 | WinCostMean= 0.2370 | Beta= 0.7244
[train] t=  5000 | LossPi=-101.4482 | PiEntropy=-1.0598 | Alpha= 0.4214 | MinQ= 107.7266 | QcPiCVaR= 7.2607 | QcPi= 6.9542 | QcPiVar= 2.5215| BatchCostMean= 0.2320 | BatchCostMax= 0.8554 | BatchCostNZ= 0.4688| WinRewMean= 5141.4747 | WinCostMean= 0.2515 | Beta= 0.8032
[train] t=  6000 | LossPi=-131.3203 | PiEntropy=-1.1592 | Alpha= 0.4060 | MinQ= 138.4389 | QcPiCVaR= 7.5489 | QcPi= 7.2424 | QcPiVar= 2.5269| BatchCostMean= 0.2045 | BatchCostMax= 0.8493 | BatchCostNZ= 0.4102| WinRewMean= 7488.7667 | WinCostMean= 0.1983 | Beta= 0.8807
[train] t=  7000 | LossPi=-141.5012 | PiEntropy=-0.9899 | Alpha= 0.4172 | MinQ= 150.0083 | QcPiCVaR= 8.4629 | QcPi= 8.1616 | QcPiVar= 2.4480| BatchCostMean= 0.2530 | BatchCostMax= 0.8643 | BatchCostNZ= 0.5039| WinRewMean= 5860.8965 | WinCostMean= 0.2340 | Beta= 0.9564
[train] t=  8000 | LossPi=-168.0012 | PiEntropy=-0.9557 | Alpha= 0.4008 | MinQ= 177.6714 | QcPiCVaR= 8.9857 | QcPi= 8.6839 | QcPiVar= 2.4716| BatchCostMean= 0.2099 | BatchCostMax= 0.9087 | BatchCostNZ= 0.4258| WinRewMean= 6305.9589 | WinCostMean= 0.2275 | Beta= 1.0335
[train] t=  9000 | LossPi=-176.4786 | PiEntropy=-0.9871 | Alpha= 0.3756 | MinQ= 188.0499 | QcPiCVaR= 10.0782 | QcPi= 9.7851 | QcPiVar= 2.3210| BatchCostMean= 0.2130 | BatchCostMax= 0.8742 | BatchCostNZ= 0.4219| WinRewMean= 6258.6567 | WinCostMean= 0.2014 | Beta= 1.1114
[train] t= 10000 | LossPi=-210.2658 | PiEntropy=-0.9259 | Alpha= 0.3791 | MinQ= 222.7197 | QcPiCVaR= 10.1679 | QcPi= 9.8644 | QcPiVar= 2.4791| BatchCostMean= 0.2203 | BatchCostMax= 0.9018 | BatchCostNZ= 0.4961| WinRewMean= 7915.2459 | WinCostMean= 0.1818 | Beta= 1.1903
[train] t= 11000 | LossPi=-227.8785 | PiEntropy=-0.8111 | Alpha= 0.4029 | MinQ= 241.8214 | QcPiCVaR= 10.7209 | QcPi= 10.4155 | QcPiVar= 2.5197| BatchCostMean= 0.2245 | BatchCostMax= 0.8667 | BatchCostNZ= 0.4844| WinRewMean= 8299.8258 | WinCostMean= 0.1706 | Beta= 1.2700
[train] t= 12000 | LossPi=-249.2185 | PiEntropy=-0.8462 | Alpha= 0.4045 | MinQ= 264.6553 | QcPiCVaR= 11.1722 | QcPi= 10.8614 | QcPiVar= 2.5989| BatchCostMean= 0.2055 | BatchCostMax= 0.8137 | BatchCostNZ= 0.4844| WinRewMean= 7953.0273 | WinCostMean= 0.1838 | Beta= 1.3511
[train] t= 13000 | LossPi=-259.1965 | PiEntropy=-0.8851 | Alpha= 0.4520 | MinQ= 276.5878 | QcPiCVaR= 11.8528 | QcPi= 11.5398 | QcPiVar= 2.6492| BatchCostMean= 0.2500 | BatchCostMax= 0.8584 | BatchCostNZ= 0.5391| WinRewMean= 6536.6501 | WinCostMean= 0.2215 | Beta= 1.4335
[train] t= 14000 | LossPi=-271.2672 | PiEntropy=-0.8599 | Alpha= 0.4558 | MinQ= 290.2686 | QcPiCVaR= 12.2568 | QcPi= 11.9405 | QcPiVar= 2.6940| BatchCostMean= 0.2043 | BatchCostMax= 0.8893 | BatchCostNZ= 0.4414| WinRewMean= 6238.1053 | WinCostMean= 0.2337 | Beta= 1.5183
[train] t= 15000 | LossPi=-290.5610 | PiEntropy=-1.0748 | Alpha= 0.4860 | MinQ= 311.0427 | QcPiCVaR= 12.4404 | QcPi= 12.1155 | QcPiVar= 2.8494| BatchCostMean= 0.2230 | BatchCostMax= 0.9084 | BatchCostNZ= 0.4844| WinRewMean= 6478.9517 | WinCostMean= 0.2074 | Beta= 1.6044
[train] t= 16000 | LossPi=-282.0150 | PiEntropy=-0.9540 | Alpha= 0.4677 | MinQ= 305.2755 | QcPiCVaR= 13.4894 | QcPi= 13.1649 | QcPiVar= 2.8507| BatchCostMean= 0.2203 | BatchCostMax= 0.8605 | BatchCostNZ= 0.4609| WinRewMean= 4930.7162 | WinCostMean= 0.2501 | Beta= 1.6913
[train] t= 17000 | LossPi=-312.8253 | PiEntropy=-0.9668 | Alpha= 0.5053 | MinQ= 336.6058 | QcPiCVaR= 13.0866 | QcPi= 12.7469 | QcPiVar= 3.1163| BatchCostMean= 0.1998 | BatchCostMax= 0.8596 | BatchCostNZ= 0.4414| WinRewMean= 7452.2558 | WinCostMean= 0.1850 | Beta= 1.7798
[train] t= 18000 | LossPi=-329.2771 | PiEntropy=-1.0968 | Alpha= 0.5380 | MinQ= 355.2778 | QcPiCVaR= 13.6021 | QcPi= 13.2474 | QcPiVar= 3.3958| BatchCostMean= 0.2287 | BatchCostMax= 0.9114 | BatchCostNZ= 0.4844| WinRewMean= 6871.5387 | WinCostMean= 0.1998 | Beta= 1.8681
[train] t= 19000 | LossPi=-338.1027 | PiEntropy=-0.9994 | Alpha= 0.5583 | MinQ= 365.4115 | QcPiCVaR= 13.6670 | QcPi= 13.3069 | QcPiVar= 3.4833| BatchCostMean= 0.2374 | BatchCostMax= 0.8968 | BatchCostNZ= 0.4922| WinRewMean= 7108.3554 | WinCostMean= 0.1796 | Beta= 1.9573
[train] t= 20000 | LossPi=-329.3493 | PiEntropy=-0.8924 | Alpha= 0.5754 | MinQ= 359.7019 | QcPiCVaR= 14.5781 | QcPi= 14.2134 | QcPiVar= 3.5696| BatchCostMean= 0.2078 | BatchCostMax= 0.8821 | BatchCostNZ= 0.4297| WinRewMean= 6409.4533 | WinCostMean= 0.1942 | Beta= 2.0468
[train] t= 21000 | LossPi=-379.7661 | PiEntropy=-1.0936 | Alpha= 0.5783 | MinQ= 409.5903 | QcPiCVaR= 13.6583 | QcPi= 13.2687 | QcPiVar= 4.0596| BatchCostMean= 0.1964 | BatchCostMax= 0.8281 | BatchCostNZ= 0.4688| WinRewMean= 5871.9634 | WinCostMean= 0.1731 | Beta= 2.1373
[train] t= 22000 | LossPi=-353.3207 | PiEntropy=-0.8782 | Alpha= 0.6307 | MinQ= 386.5115 | QcPiCVaR= 14.6410 | QcPi= 14.2510 | QcPiVar= 4.0489| BatchCostMean= 0.2226 | BatchCostMax= 0.8497 | BatchCostNZ= 0.4805| WinRewMean= 6843.4322 | WinCostMean= 0.1837 | Beta= 2.2291
[train] t= 23000 | LossPi=-335.0082 | PiEntropy=-0.9527 | Alpha= 0.5834 | MinQ= 370.9606 | QcPiCVaR= 15.2441 | QcPi= 14.8460 | QcPiVar= 4.2200| BatchCostMean= 0.2102 | BatchCostMax= 0.9179 | BatchCostNZ= 0.4258| WinRewMean= 5853.2141 | WinCostMean= 0.2057 | Beta= 2.3220
[train] t= 24000 | LossPi=-370.5998 | PiEntropy=-0.9626 | Alpha= 0.6043 | MinQ= 406.8097 | QcPiCVaR= 14.7525 | QcPi= 14.3344 | QcPiVar= 4.6413| BatchCostMean= 0.1989 | BatchCostMax= 0.8900 | BatchCostNZ= 0.4492| WinRewMean= 7094.7458 | WinCostMean= 0.1507 | Beta= 2.4151
[train] t= 25000 | LossPi=-392.4711 | PiEntropy=-1.1413 | Alpha= 0.6385 | MinQ= 430.0990 | QcPiCVaR= 14.7102 | QcPi= 14.2731 | QcPiVar= 5.0617| BatchCostMean= 0.2037 | BatchCostMax= 0.8988 | BatchCostNZ= 0.4492| WinRewMean= 8028.8016 | WinCostMean= 0.1389 | Beta= 2.5084
[train] t= 26000 | LossPi=-406.3623 | PiEntropy=-1.1018 | Alpha= 0.6621 | MinQ= 445.2693 | QcPiCVaR= 14.6734 | QcPi= 14.2296 | QcPiVar= 5.2066| BatchCostMean= 0.2004 | BatchCostMax= 0.8511 | BatchCostNZ= 0.4375| WinRewMean= 7894.2842 | WinCostMean= 0.1274 | Beta= 2.6018
[train] t= 27000 | LossPi=-429.8323 | PiEntropy=-1.2911 | Alpha= 0.7023 | MinQ= 468.7504 | QcPiCVaR= 14.1026 | QcPi= 13.6505 | QcPiVar= 5.3947| BatchCostMean= 0.1757 | BatchCostMax= 0.8145 | BatchCostNZ= 0.4297| WinRewMean= 7309.2637 | WinCostMean= 0.1705 | Beta= 2.6954
[train] t= 28000 | LossPi=-405.9041 | PiEntropy=-0.9270 | Alpha= 0.7191 | MinQ= 448.1111 | QcPiCVaR= 14.8908 | QcPi= 14.4369 | QcPiVar= 5.4427| BatchCostMean= 0.1729 | BatchCostMax= 0.8229 | BatchCostNZ= 0.4062| WinRewMean= 7307.3475 | WinCostMean= 0.1398 | Beta= 2.7897
[train] t= 29000 | LossPi=-420.7646 | PiEntropy=-1.1247 | Alpha= 0.7547 | MinQ= 465.0438 | QcPiCVaR= 15.0587 | QcPi= 14.6091 | QcPiVar= 5.3530| BatchCostMean= 0.1972 | BatchCostMax= 0.8511 | BatchCostNZ= 0.4609| WinRewMean= 7575.6153 | WinCostMean= 0.1512 | Beta= 2.8841
[train] t= 30000 | LossPi=-428.7964 | PiEntropy=-0.7783 | Alpha= 0.7474 | MinQ= 473.0154 | QcPiCVaR= 14.6456 | QcPi= 14.1762 | QcPiVar= 5.8330| BatchCostMean= 0.2168 | BatchCostMax= 0.9081 | BatchCostNZ= 0.5039| WinRewMean= 4291.1485 | WinCostMean= 0.1684 | Beta= 2.9795
[train] t= 31000 | LossPi=-418.9175 | PiEntropy=-0.9603 | Alpha= 0.7373 | MinQ= 465.5311 | QcPiCVaR= 14.9251 | QcPi= 14.4573 | QcPiVar= 5.8045| BatchCostMean= 0.1763 | BatchCostMax= 0.8607 | BatchCostNZ= 0.4258| WinRewMean= 8612.3264 | WinCostMean= 0.1084 | Beta= 3.0757
[train] t= 32000 | LossPi=-438.7488 | PiEntropy=-1.0610 | Alpha= 0.7493 | MinQ= 487.0809 | QcPiCVaR= 14.9865 | QcPi= 14.5232 | QcPiVar= 5.7082| BatchCostMean= 0.1785 | BatchCostMax= 0.8383 | BatchCostNZ= 0.4453| WinRewMean= 6841.5714 | WinCostMean= 0.1494 | Beta= 3.1720
[train] t= 33000 | LossPi=-434.2850 | PiEntropy=-0.9587 | Alpha= 0.7717 | MinQ= 483.3264 | QcPiCVaR= 14.7784 | QcPi= 14.3038 | QcPiVar= 5.9869| BatchCostMean= 0.1866 | BatchCostMax= 0.9333 | BatchCostNZ= 0.4531| WinRewMean= 7441.6779 | WinCostMean= 0.1426 | Beta= 3.2684
[train] t= 34000 | LossPi=-422.1790 | PiEntropy=-1.0309 | Alpha= 0.7869 | MinQ= 473.9503 | QcPiCVaR= 15.1428 | QcPi= 14.6736 | QcPiVar= 5.8638| BatchCostMean= 0.2232 | BatchCostMax= 0.8334 | BatchCostNZ= 0.4766| WinRewMean= 4997.8308 | WinCostMean= 0.1995 | Beta= 3.3653
[train] t= 35000 | LossPi=-427.4142 | PiEntropy=-0.8591 | Alpha= 0.7950 | MinQ= 480.5462 | QcPiCVaR= 15.1462 | QcPi= 14.6817 | QcPiVar= 5.7544| BatchCostMean= 0.2096 | BatchCostMax= 0.9018 | BatchCostNZ= 0.4648| WinRewMean= 7127.4674 | WinCostMean= 0.1499 | Beta= 3.4628
[train] t= 36000 | LossPi=-450.0795 | PiEntropy=-0.9147 | Alpha= 0.8064 | MinQ= 504.4080 | QcPiCVaR= 15.0501 | QcPi= 14.5852 | QcPiVar= 5.7729| BatchCostMean= 0.2052 | BatchCostMax= 0.8334 | BatchCostNZ= 0.4883| WinRewMean= 5292.5017 | WinCostMean= 0.2011 | Beta= 3.5608
[train] t= 37000 | LossPi=-424.7895 | PiEntropy=-0.9391 | Alpha= 0.7882 | MinQ= 481.6436 | QcPiCVaR= 15.3371 | QcPi= 14.8691 | QcPiVar= 5.8733| BatchCostMean= 0.1706 | BatchCostMax= 0.8139 | BatchCostNZ= 0.4219| WinRewMean= 8561.1398 | WinCostMean= 0.1013 | Beta= 3.6587
