Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	QcPi	QcPiRaw	QcPiVar	QcPiCVaR	PiEntTerm	PiQTerm	PiCostTerm	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	1580.8164	578.1885	2492.9775	45.301895	1308731.0	652413.1	2120308.2	0.0	8.225601	2.1401973	14.906061	1.8731825	5.5281534	2.7938645	11.12195	0.0	288.0	288.0	0.0	0.0	20526.156	0.05701710069444445	330001.0	441.8628	184.79173	853.0062	-23.196373	441.86026	184.79875	850.6465	-24.342798	4.268037	0.24076907	5.5815063	3.205678	0.36119398	0.11135697	0.89767224	0.22545588	0.9998459	1.0173914	7.447311	-14.11642	-331.43692	92.245415	92.20337	0.0038764924	0.0001548654	0.00025497982	0.010932809	1.0113329	4.233004	4.218009	0.3607929	4.707602	1.0110779	441.0878	108.639786	0.065865375	3.1388214	23.07765	-0.9998453	0.3018458	159.25479	1736.3401246070862
12	1618.791	611.20087	2530.4922	32.699326	1432396.0	913769.3	2541858.2	14010.0	8.025764	1.7699385	11.739498	3.1033087	5.3922567	2.619333	8.095221	0.0	288.0	288.0	0.0	0.0	21362.201	0.05477487479967949	360001.0	443.55673	183.5866	842.8198	-19.422039	443.55338	183.59468	842.8556	-20.840914	4.2604613	0.23968142	5.6438055	3.1911604	0.35854313	0.1239475	0.9662214	0.22553672	1.0002694	1.0189941	7.4312572	-14.029147	-332.55862	91.61009	91.566925	0.0038507003	0.00016459898	-0.00017123253	0.015921831	1.016311	4.227826	4.2127633	0.35813916	4.699688	1.0164822	442.78574	109.2106	-0.054700967	3.145763	23.238842	-1.0002693	0.30007172	158.43254	1894.7840859889984
13	1619.7908	520.6095	2595.7178	39.06497	1756141.0	411104.97	2354564.8	1216820.6	7.911512	1.5356654	12.590187	1.7953615	5.60271	0.80069876	7.4206476	4.3934274	288.0	288.0	0.0	0.0	22186.498	0.05282499534970238	390001.0	443.5649	182.60481	838.5562	-16.849768	443.5616	182.61392	833.30194	-18.831848	4.219703	0.22080086	5.5804305	3.09988	0.3402214	0.12056164	0.9492742	0.17005432	0.9998578	1.0179257	9.172407	-12.448335	-334.61743	91.312386	91.21277	0.0036521752	0.00015574842	0.00024962047	-0.008289738	0.9921164	4.188888	4.1732903	0.3396119	4.6480503	0.99186677	442.79474	107.185455	0.08713038	3.1379313	23.059578	-0.9998573	0.3302524	157.58499	2052.4103162288666
14	1687.942	543.12726	2536.0837	45.57977	1546184.2	818709.2	2324921.0	8130.0	8.167336	1.6354543	12.873545	2.4097838	5.390684	2.8883939	8.596211	0.0	288.0	288.0	0.0	0.0	23037.334	0.05119407552083333	420001.0	448.77917	180.32698	835.8114	-16.215105	448.7763	180.33481	829.4986	-16.627254	4.2329593	0.20662911	5.523037	3.1540842	0.3263727	0.10320466	0.8034504	0.18236588	1.0000778	1.0216006	8.267891	-13.924171	-347.11334	91.159706	91.0237	0.0035623698	0.00014437668	3.9770635e-05	-0.03492376	0.96603763	4.204887	4.189578	0.32575494	4.655583	0.96599793	448.03806	99.95874	0.07680321	3.0665295	21.471203	-1.0000774	0.29304576	154.17636	2206.539203643799
15	1601.1008	623.3022	2585.507	21.987492	1612859.4	720132.25	2222266.5	4680.0	7.999426	1.9063439	14.429941	1.5192657	4.2601213	1.8635445	7.5074253	0.0	288.0	288.0	0.0	0.0	23872.445	0.049734261067708334	450001.0	449.84747	180.22807	823.37775	-14.118407	449.8453	180.23425	820.5963	-15.97363	4.254147	0.20938797	5.544883	3.0932603	0.33339852	0.10165307	0.81630045	0.20081557	1.0001001	1.0172586	7.80986	-13.258653	-348.6836	89.93972	89.84157	0.0035616984	0.00014287785	1.46178645e-05	-0.029838305	0.9709244	4.2283564	4.2133937	0.33284858	4.684279	0.9709098	449.1446	99.490105	-0.0067200307	3.0558164	21.23916	-1.0000994	0.29863167	153.57529	2360.0458314418793
16	1618.5532	506.36584	2547.5002	66.164986	1238515.4	795207.3	2250227.5	0.0	8.270563	1.6471028	12.439987	3.9667373	4.948549	2.841341	8.323827	0.0	288.0	288.0	0.0	0.0	24733.99	0.04849802006740196	480001.0	450.7295	179.13235	826.742	-21.172012	450.72653	179.14055	819.9871	-19.838703	4.259298	0.20085686	5.4890904	3.2997603	0.32690018	0.09602395	0.8056287	0.19660528	1.000143	1.0169919	7.6722465	-12.820263	-351.85248	89.10182	88.99196	0.0034644827	0.00013687983	-2.4602827e-05	-0.041831274	0.9593965	4.2353773	4.2205377	0.32639357	4.687054	0.95942104	450.06107	97.24913	0.024255905	3.0324495	20.748493	-1.0001432	0.30978084	159.47794	2519.6209831237793
17	1535.7678	687.5339	2568.9958	38.232807	1750959.8	399929.97	2344116.2	1152090.9	8.267599	2.2658117	14.341392	1.4788746	6.614586	1.8406489	11.604477	4.01318	288.0	288.0	0.0	0.0	25593.635	0.047395619936342594	510001.0	452.38452	180.02698	835.0826	-18.252285	452.3817	180.03468	827.8341	-20.332733	4.279331	0.20036444	5.530858	3.393434	0.32033095	0.09742647	0.80616707	0.1798499	0.9999244	1.0221044	8.442456	-12.863173	-356.00128	89.21756	89.11162	0.0034531057	0.00013957835	0.00019006153	-0.067840196	0.93475604	4.2574415	4.2429256	0.3198996	4.70423	0.934566	451.75684	94.821	0.014237118	3.0034964	20.156567	-0.99992436	0.30636	160.09845	2679.589828014374
18	1571.0371	591.2984	2567.1736	31.35495	1447255.8	586090.06	2112289.5	8190.0	8.474126	1.8473164	12.6429205	2.1759162	5.361333	2.7445908	11.7713	0.0	288.0	288.0	0.0	0.0	26476.094	0.04644928728070175	540001.0	454.0834	179.64267	828.0744	-15.878038	454.08078	179.64964	816.90533	-17.25699	4.2950144	0.2040383	5.626882	3.383488	0.32183233	0.09745008	0.75464463	0.18092896	0.9998101	1.0215615	8.307833	-13.084501	-357.9152	88.57024	88.49169	0.0034500132	0.00013979104	0.00029508822	-0.062692404	0.9395655	4.2747207	4.260438	0.32145134	4.7226048	0.93927044	453.47614	94.62167	-0.01566387	2.9974947	20.035728	-0.9998103	0.29438305	159.56862	2839.26114320755
19	1575.1443	634.00494	2553.3682	35.75479	1851085.6	528878.3	2632767.2	1201289.9	8.166856	1.7932019	12.204395	2.5137517	5.1597714	1.7256038	8.9145565	2.9279015	288.0	288.0	0.0	0.0	27326.533	0.045544222005208336	570001.0	453.38153	180.85295	828.46277	-14.294453	453.37814	180.86186	820.7895	-15.66701	4.283475	0.2039217	5.578282	3.2985349	0.31661126	0.098636866	1.135675	0.18161876	0.9999165	1.0254638	9.300213	-12.989859	-356.78934	88.67731	88.561005	0.0034126672	0.00014428615	0.00018407349	-0.077755906	0.9255316	4.2638516	4.2494082	0.31619954	4.7078915	0.9253475	452.78055	95.065834	0.018196115	3.0053062	20.192875	-0.9999169	0.2978568	159.39949	2998.64422082901
20	1570.3795	592.08234	2494.7131	54.86295	1668224.1	487660.44	2490541.0	720536.8	8.647091	2.0215907	14.109026	2.3303764	6.5014296	1.8925292	9.853332	4.410691	288.0	288.0	0.0	0.0	28226.156	0.04480342261904762	600001.0	453.83444	180.7536	835.7564	-18.97908	453.83118	180.7621	830.4009	-19.191076	4.2951703	0.21203907	5.704168	3.2183628	0.32063943	0.10570155	0.81149936	0.18918307	1.000202	1.0189226	9.68012	-10.577919	-355.24612	88.63286	88.50441	0.0034449855	0.00014741368	-6.5482986e-05	-0.07725172	0.92618906	4.276522	4.2622347	0.32026225	4.7229104	0.9262546	453.2493	97.07694	-0.08628706	3.0228622	20.55587	-1.0002021	0.30207896	158.45374	3156.972147464752
