[train] t=  1000 | LossPi=-12.5067 | PiEntropy=-1.7369 | Alpha= 0.8114 | MinQ= 15.1223 | QcPiCVaR= 1.8020 | QcPi= 1.6386 | QcPiVar= 0.7033| BatchCostMean= 0.2320 | BatchCostMax= 0.7652 | BatchCostNZ= 0.4922| WinRewMean= 4802.9868 | WinCostMean= 0.2272 | Beta= 0.6694
[train] t=  2000 | LossPi=-37.7439 | PiEntropy= 0.0054 | Alpha= 1.2952 | MinQ= 39.2978 | QcPiCVaR= 2.4865 | QcPi= 2.2917 | QcPiVar= 1.0014| BatchCostMean= 0.2463 | BatchCostMax= 0.7695 | BatchCostNZ= 0.5039| WinRewMean= 6185.1779 | WinCostMean= 0.2091 | Beta= 0.6277
[train] t=  3000 | LossPi=-68.2536 | PiEntropy=-0.7471 | Alpha= 0.7589 | MinQ= 70.8118 | QcPiCVaR= 3.3655 | QcPi= 3.1692 | QcPiVar= 1.0158| BatchCostMean= 0.2079 | BatchCostMax= 0.9131 | BatchCostNZ= 0.4961| WinRewMean= 7616.2940 | WinCostMean= 0.1721 | Beta= 0.5916
[train] t=  4000 | LossPi=-97.6899 | PiEntropy=-0.6737 | Alpha= 0.7380 | MinQ= 100.4465 | QcPiCVaR= 4.0165 | QcPi= 3.7889 | QcPiVar= 1.3687| BatchCostMean= 0.2024 | BatchCostMax= 1.0000 | BatchCostNZ= 0.4805| WinRewMean= 7232.4151 | WinCostMean= 0.2083 | Beta= 0.5625
[train] t=  5000 | LossPi=-125.4185 | PiEntropy=-1.1778 | Alpha= 0.7714 | MinQ= 128.7046 | QcPiCVaR= 4.4284 | QcPi= 4.2112 | QcPiVar= 1.2444| BatchCostMean= 0.2156 | BatchCostMax= 0.8076 | BatchCostNZ= 0.5156| WinRewMean= 8206.2014 | WinCostMean= 0.1761 | Beta= 0.5369
[train] t=  6000 | LossPi=-153.3533 | PiEntropy=-0.6948 | Alpha= 0.7944 | MinQ= 156.5613 | QcPiCVaR= 5.1769 | QcPi= 4.9445 | QcPiVar= 1.4261| BatchCostMean= 0.1928 | BatchCostMax= 0.7444 | BatchCostNZ= 0.4766| WinRewMean= 8491.1974 | WinCostMean= 0.1606 | Beta= 0.5131
[train] t=  7000 | LossPi=-176.4398 | PiEntropy=-0.8568 | Alpha= 0.8265 | MinQ= 179.9112 | QcPiCVaR= 5.5307 | QcPi= 5.2848 | QcPiVar= 1.5970| BatchCostMean= 0.1908 | BatchCostMax= 0.8124 | BatchCostNZ= 0.4727| WinRewMean= 7149.4522 | WinCostMean= 0.2051 | Beta= 0.4996
[train] t=  8000 | LossPi=-200.5969 | PiEntropy=-0.9486 | Alpha= 0.7946 | MinQ= 204.5175 | QcPiCVaR= 6.2702 | QcPi= 6.0169 | QcPiVar= 1.6911| BatchCostMean= 0.2005 | BatchCostMax= 0.7783 | BatchCostNZ= 0.5078| WinRewMean= 7421.6155 | WinCostMean= 0.1935 | Beta= 0.5051
[train] t=  9000 | LossPi=-221.4512 | PiEntropy=-1.0380 | Alpha= 0.8407 | MinQ= 226.0292 | QcPiCVaR= 6.7619 | QcPi= 6.4937 | QcPiVar= 1.8969| BatchCostMean= 0.2390 | BatchCostMax= 0.9118 | BatchCostNZ= 0.5586| WinRewMean= 7461.2473 | WinCostMean= 0.1962 | Beta= 0.5480
[train] t= 10000 | LossPi=-240.6830 | PiEntropy=-0.9297 | Alpha= 0.8323 | MinQ= 246.0180 | QcPiCVaR= 7.4466 | QcPi= 7.1657 | QcPiVar= 2.0793| BatchCostMean= 0.1900 | BatchCostMax= 0.9012 | BatchCostNZ= 0.4688| WinRewMean= 7277.2847 | WinCostMean= 0.1937 | Beta= 0.6125
[train] t= 11000 | LossPi=-261.0928 | PiEntropy=-1.0307 | Alpha= 0.8269 | MinQ= 267.3299 | QcPiCVaR= 7.9309 | QcPi= 7.6366 | QcPiVar= 2.2844| BatchCostMean= 0.1804 | BatchCostMax= 0.8181 | BatchCostNZ= 0.4609| WinRewMean= 8246.0630 | WinCostMean= 0.1733 | Beta= 0.6790
