Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
1	2227.1687	377.53656	3057.3267	1113.4517	2350434.0	385376.4	3128111.0	2089180.0	52.68258	10.9532	88.35239	27.568182	60.143616	12.723999	69.750565	34.041973	288.0	288.0	0.0	0.0	5489.3677	0.09148946126302084	30001.0	311.53012	156.48398	723.31177	-13.002416	311.6026	156.34053	723.393	-13.684988	8.718104	3.8600724	17.183252	0.007107057	2.8910134	1.3939911	22.211256	0.009988489	1.103957	1.6424913	23.171223	-12.201509	-299.11618	47.029938	47.523636	0.08353065	0.0037893406	-0.07194561	-0.14431989	0.8692423	-5.2059627	-0.023461329	1.0992477	-1.1039567	0.32221246	278.9704	279.42860102653503
2	2245.5854	329.31393	3073.3171	1797.0481	2211768.5	254389.22	2961368.2	2045870.5	47.92096	9.1927805	59.87808	24.53097	53.68512	5.5833063	57.260754	37.1828	288.0	288.0	0.0	0.0	10479.584	0.11643982204861111	60001.0	588.0837	59.351418	871.01074	425.55273	588.0837	59.34946	873.3658	425.83304	15.298002	1.6511104	19.254324	6.1949797	5.447783	2.961524	30.346863	3.3742087	0.99945927	1.2472631	9.601526	-12.388029	-529.0481	62.701035	62.852547	0.06218368	0.005190958	0.00068438164	-0.13642439	0.8732204	-36.021763	1.2680377	3.6554124	-0.999459	0.3049369	280.4687	559.9414255619049
3	2279.2998	365.20862	3068.138	1861.2399	2230180.0	284520.38	3046021.5	2001939.9	38.461815	7.753242	52.656445	21.69571	26.652903	2.9399934	29.51819	18.483248	288.0	288.0	0.0	0.0	14480.953	0.120674609375	90001.0	643.0201	53.049896	896.44696	536.94324	643.0203	53.042973	897.0746	536.70953	14.990374	1.3951728	18.26238	7.4494123	3.7241712	3.298347	29.254602	1.9185821	1.0007715	1.1933824	11.47633	-12.583759	-540.9072	69.80061	70.066185	0.03571638	0.0043536355	-0.00054820545	-0.093490936	0.9117976	-61.101513	1.8816997	6.6208444	-1.0007712	5.1666	285.28934	845.2570972442627
4	2183.86	362.82217	3093.8398	1765.3417	2420701.2	320225.4	3066482.2	2053682.0	29.387535	5.250807	43.153095	17.120491	24.549389	3.6902637	30.080778	17.633404	288.0	288.0	0.0	0.0	17531.14	0.11687427083333334	120001.0	635.6211	54.760403	897.9214	526.6424	635.62006	54.762444	898.82025	523.215	12.181444	1.2302725	15.724716	6.627979	1.9412152	2.126831	18.743599	0.9324613	1.00023	1.1072241	5.0904193	-11.037321	-516.15	74.546326	74.80542	0.018413264	0.0030456935	-6.483619e-05	-0.008365022	0.99208134	-60.451286	2.25582	9.581219	-1.0002302	0.31345177	305.62134	1150.8742852210999
5	2190.9321	369.78134	2973.6404	1753.2339	2124312.0	108479.46	2286421.0	1976527.0	23.049162	4.048425	32.417793	15.303501	22.251165	1.4841654	24.338469	18.564646	288.0	288.0	0.0	0.0	19934.41	0.11074672309027778	150001.0	619.67487	56.58251	888.3746	508.27594	619.6738	56.584255	887.6161	509.15192	9.734602	0.8990301	12.178705	5.24834	1.1563069	1.1234918	10.280299	0.5792782	1.0003985	1.0738462	4.5858126	-11.248198	-494.70053	79.159195	79.35697	0.011857843	0.0017428162	-0.00020448813	0.03470287	1.0358473	-48.0967	2.5258875	12.530956	-1.0003989	0.2994616	310.12018	1460.986998796463
6	2100.3706	339.74146	2924.5264	1697.5822	2180409.2	377735.12	2992798.5	1882938.5	19.95299	3.2275827	31.278406	12.49265	16.110205	1.4135051	18.249561	13.450132	288.0	288.0	0.0	0.0	22011.488	0.10481661086309524	180001.0	601.2168	58.267345	878.0203	489.36377	601.2167	58.25714	876.85254	489.25583	7.9997582	0.6547993	10.115898	4.893133	0.770227	0.5001144	5.309457	0.5563655	1.0000625	1.0443335	5.0723295	-12.86816	-474.3264	83.59215	83.86927	0.0077679525	0.0008043588	0.00010511338	0.05041449	1.052122	-32.32406	2.7373786	15.469576	-1.0000626	0.30973077	308.8992	1769.9414701461792
7	2087.2092	370.5387	2892.0183	1674.9211	2081448.0	229346.88	2664513.0	1870422.1	16.321898	2.225281	21.777739	10.600838	13.847137	1.3912951	16.076036	11.643258	288.0	288.0	0.0	0.0	23711.857	0.09879940592447917	210001.0	581.6922	59.993233	864.8538	470.7282	581.6928	59.985405	864.69196	470.44174	6.7034597	0.49505305	8.380472	4.481201	0.61614907	0.2654637	2.8566992	0.48874706	1.000319	1.0372587	5.0546517	-13.443374	-455.15292	86.220535	86.57816	0.006379359	0.0004902953	-0.00019785139	0.09414405	1.0990722	-14.737615	2.909665	18.369268	-1.0003188	0.30569172	301.07993	2070.975155353546
8	2084.7295	372.7985	2904.3247	1647.9491	2293614.0	425483.66	2872822.0	1772253.0	15.428279	2.2001815	20.695818	10.207721	12.048393	1.6339427	15.635619	8.962982	288.0	288.0	0.0	0.0	25317.307	0.09376780237268519	240001.0	567.9522	61.458405	858.89294	461.74722	567.95135	61.45607	858.977	461.8925	5.903256	0.34393942	7.2674093	4.2418647	0.52899563	0.121455	1.6994141	0.40999913	1.0000632	1.0371805	12.435314	-11.782833	-443.815	89.65329	89.99649	0.0054466105	0.0002777666	4.8767422e-05	0.114465185	1.1215893	-1.3594582	3.0153685	20.39991	-1.0000632	0.29266357	278.48212	2349.4679882526398
9	2068.9148	351.07852	2905.2876	1634.6921	2188287.2	373219.16	2966620.5	1946520.4	15.913702	2.2505815	22.088804	11.10048	20.572136	1.2705188	22.537	18.556631	288.0	288.0	0.0	0.0	26976.049	0.08992016276041667	270001.0	568.8395	61.92534	871.0602	457.89	568.83966	61.921124	872.3042	459.49448	5.834129	0.31114858	7.084835	4.2236223	0.5095764	0.08849609	1.1223564	0.46057025	1.0000173	1.0342518	4.4661493	-10.644779	-452.66376	88.7419	89.14607	0.005436645	0.00026336653	9.087982e-05	0.089864306	1.094362	-0.018327031	2.9596043	19.292568	-1.0000166	0.33760428	279.87836	2629.3324546813965
10	2028.9956	339.07028	2937.9333	1683.1199	2123377.5	289207.0	2962925.8	1939970.8	16.03786	2.2328434	21.76847	11.230838	14.990305	1.6647667	18.009378	12.444033	288.0	288.0	0.0	0.0	28646.242	0.08680679450757575	300001.0	571.1692	62.635498	878.2862	460.00266	571.16907	62.630215	878.7573	464.6161	5.830331	0.29443976	7.4342294	4.313027	0.50102305	0.077353336	1.0804754	0.44126102	1.0000373	1.0326452	4.576928	-11.981632	-452.0246	89.01111	89.46777	0.0052428013	0.00023291796	8.893217e-05	0.08586034	1.0901554	0.038617738	2.9856515	19.800661	-1.0000368	0.30384016	280.04202	2909.3761217594147
