[train] t=  1000 | LossPi=-441.3116 | PiEntropy=-1.0159 | Alpha= 1.0820 | MinQ= 574.5179 | QcPiCVaR= 5.8843 | QcPi= 5.3797 | QcPiVar= 0.4012| BatchCostMean= 0.0906 | BatchCostMax= 0.6531 | BatchCostNZ= 0.2891| WinRewMean= 5748.0964 | WinCostMean= 0.1089 | Beta= 22.4509
[train] t=  2000 | LossPi=-434.2894 | PiEntropy=-0.8747 | Alpha= 1.2850 | MinQ= 567.0988 | QcPiCVaR= 5.8790 | QcPi= 5.3758 | QcPiVar= 0.3985| BatchCostMean= 0.0713 | BatchCostMax= 0.7715 | BatchCostNZ= 0.2930| WinRewMean= 6403.5769 | WinCostMean= 0.0499 | Beta= 22.3994
[train] t=  3000 | LossPi=-421.2197 | PiEntropy=-0.9869 | Alpha= 1.0876 | MinQ= 554.6611 | QcPiCVaR= 5.9001 | QcPi= 5.3923 | QcPiVar= 0.4055| BatchCostMean= 0.0648 | BatchCostMax= 0.6062 | BatchCostNZ= 0.2656| WinRewMean= 6375.5375 | WinCostMean= 0.0500 | Beta= 22.4347
[train] t=  4000 | LossPi=-419.9401 | PiEntropy=-1.0947 | Alpha= 1.1360 | MinQ= 554.3798 | QcPiCVaR= 5.9214 | QcPi= 5.4123 | QcPiVar= 0.4073| BatchCostMean= 0.0650 | BatchCostMax= 0.7002 | BatchCostNZ= 0.2969| WinRewMean= 6596.3785 | WinCostMean= 0.0546 | Beta= 22.4942
[train] t=  5000 | LossPi=-413.8435 | PiEntropy=-0.9150 | Alpha= 1.0741 | MinQ= 550.3466 | QcPiCVaR= 5.9938 | QcPi= 5.4830 | QcPiVar= 0.4100| BatchCostMean= 0.0741 | BatchCostMax= 0.7715 | BatchCostNZ= 0.3164| WinRewMean= 7389.5956 | WinCostMean= 0.0584 | Beta= 22.6100
[train] t=  6000 | LossPi=-414.5435 | PiEntropy=-0.9955 | Alpha= 1.1238 | MinQ= 552.8362 | QcPiCVaR= 6.0279 | QcPi= 5.5177 | QcPiVar= 0.4090| BatchCostMean= 0.0707 | BatchCostMax= 0.5970 | BatchCostNZ= 0.3164| WinRewMean= 7005.5769 | WinCostMean= 0.0654 | Beta= 22.7567
[train] t=  7000 | LossPi=-415.3735 | PiEntropy=-1.0417 | Alpha= 1.1390 | MinQ= 555.3181 | QcPiCVaR= 6.0614 | QcPi= 5.5494 | QcPiVar= 0.4121| BatchCostMean= 0.0684 | BatchCostMax= 0.6120 | BatchCostNZ= 0.3047| WinRewMean= 7824.7679 | WinCostMean= 0.0632 | Beta= 22.8920
[train] t=  8000 | LossPi=-413.9479 | PiEntropy=-0.9527 | Alpha= 1.1562 | MinQ= 555.7606 | QcPiCVaR= 6.1098 | QcPi= 5.5974 | QcPiVar= 0.4126| BatchCostMean= 0.0609 | BatchCostMax= 0.5706 | BatchCostNZ= 0.3047| WinRewMean= 6948.9081 | WinCostMean= 0.0467 | Beta= 23.0303
[train] t=  9000 | LossPi=-414.0183 | PiEntropy=-1.0465 | Alpha= 1.0992 | MinQ= 557.3866 | QcPiCVaR= 6.1413 | QcPi= 5.6224 | QcPiVar= 0.4235| BatchCostMean= 0.0548 | BatchCostMax= 0.7715 | BatchCostNZ= 0.2773| WinRewMean= 6712.3181 | WinCostMean= 0.0581 | Beta= 23.1576
[train] t= 10000 | LossPi=-408.4870 | PiEntropy=-0.9325 | Alpha= 1.1158 | MinQ= 553.5820 | QcPiCVaR= 6.1884 | QcPi= 5.6704 | QcPiVar= 0.4218| BatchCostMean= 0.0553 | BatchCostMax= 0.4530 | BatchCostNZ= 0.3164| WinRewMean= 6364.2749 | WinCostMean= 0.0608 | Beta= 23.2781
[train] t= 11000 | LossPi=-406.5377 | PiEntropy=-0.8303 | Alpha= 1.1370 | MinQ= 552.5830 | QcPiCVaR= 6.2030 | QcPi= 5.6780 | QcPiVar= 0.4339| BatchCostMean= 0.0589 | BatchCostMax= 0.5771 | BatchCostNZ= 0.3008| WinRewMean= 6849.7568 | WinCostMean= 0.0619 | Beta= 23.3920
[train] t= 12000 | LossPi=-402.0522 | PiEntropy=-1.0622 | Alpha= 1.1246 | MinQ= 549.1074 | QcPiCVaR= 6.2063 | QcPi= 5.6835 | QcPiVar= 0.4300| BatchCostMean= 0.0589 | BatchCostMax= 0.6349 | BatchCostNZ= 0.3242| WinRewMean= 7139.2148 | WinCostMean= 0.0621 | Beta= 23.5022
[train] t= 13000 | LossPi=-401.3405 | PiEntropy=-1.0686 | Alpha= 1.1091 | MinQ= 549.2711 | QcPiCVaR= 6.2153 | QcPi= 5.6910 | QcPiVar= 0.4335| BatchCostMean= 0.0549 | BatchCostMax= 0.6864 | BatchCostNZ= 0.3008| WinRewMean= 7664.4805 | WinCostMean= 0.0544 | Beta= 23.6103
[train] t= 14000 | LossPi=-405.0240 | PiEntropy=-0.9283 | Alpha= 1.1778 | MinQ= 554.2894 | QcPiCVaR= 6.2469 | QcPi= 5.7180 | QcPiVar= 0.4410| BatchCostMean= 0.0510 | BatchCostMax= 0.7554 | BatchCostNZ= 0.2695| WinRewMean= 8225.9953 | WinCostMean= 0.0658 | Beta= 23.7193
[train] t= 15000 | LossPi=-401.1044 | PiEntropy=-1.0331 | Alpha= 1.1536 | MinQ= 551.7242 | QcPiCVaR= 6.2718 | QcPi= 5.7423 | QcPiVar= 0.4421| BatchCostMean= 0.0666 | BatchCostMax= 0.6801 | BatchCostNZ= 0.3711| WinRewMean= 8182.6187 | WinCostMean= 0.0601 | Beta= 23.8255
[train] t= 16000 | LossPi=-401.9083 | PiEntropy=-0.9224 | Alpha= 1.2728 | MinQ= 554.1582 | QcPiCVaR= 6.3128 | QcPi= 5.7857 | QcPiVar= 0.4381| BatchCostMean= 0.0534 | BatchCostMax= 0.5643 | BatchCostNZ= 0.2812| WinRewMean= 7275.9937 | WinCostMean= 0.0507 | Beta= 23.9316
[train] t= 17000 | LossPi=-402.6848 | PiEntropy=-0.8561 | Alpha= 1.2429 | MinQ= 554.3195 | QcPiCVaR= 6.2642 | QcPi= 5.7356 | QcPiVar= 0.4416| BatchCostMean= 0.0587 | BatchCostMax= 0.5668 | BatchCostNZ= 0.2656| WinRewMean= 7404.6711 | WinCostMean= 0.0587 | Beta= 24.0367
[train] t= 18000 | LossPi=-400.9360 | PiEntropy=-0.9855 | Alpha= 1.1749 | MinQ= 554.5699 | QcPiCVaR= 6.3165 | QcPi= 5.7902 | QcPiVar= 0.4362| BatchCostMean= 0.0602 | BatchCostMax= 0.6860 | BatchCostNZ= 0.2969| WinRewMean= 8727.8733 | WinCostMean= 0.0595 | Beta= 24.1393
[train] t= 19000 | LossPi=-409.2169 | PiEntropy=-1.1654 | Alpha= 1.2452 | MinQ= 562.7440 | QcPiCVaR= 6.2741 | QcPi= 5.7480 | QcPiVar= 0.4375| BatchCostMean= 0.0598 | BatchCostMax= 0.5493 | BatchCostNZ= 0.2930| WinRewMean= 9543.2474 | WinCostMean= 0.0546 | Beta= 24.2387
[train] t= 20000 | LossPi=-406.0027 | PiEntropy=-1.0483 | Alpha= 1.2350 | MinQ= 560.2573 | QcPiCVaR= 6.2852 | QcPi= 5.7602 | QcPiVar= 0.4360| BatchCostMean= 0.0554 | BatchCostMax= 0.4654 | BatchCostNZ= 0.2969| WinRewMean= 6829.6513 | WinCostMean= 0.0485 | Beta= 24.3366
[train] t= 21000 | LossPi=-407.5168 | PiEntropy=-0.9950 | Alpha= 1.2863 | MinQ= 561.2201 | QcPiCVaR= 6.2389 | QcPi= 5.7115 | QcPiVar= 0.4416| BatchCostMean= 0.0526 | BatchCostMax= 0.5134 | BatchCostNZ= 0.2930| WinRewMean= 8672.7409 | WinCostMean= 0.0450 | Beta= 24.4313
[train] t= 22000 | LossPi=-407.2666 | PiEntropy=-0.9505 | Alpha= 1.1378 | MinQ= 561.3047 | QcPiCVaR= 6.2365 | QcPi= 5.7105 | QcPiVar= 0.4386| BatchCostMean= 0.0498 | BatchCostMax= 0.5055 | BatchCostNZ= 0.2695| WinRewMean= 7621.0750 | WinCostMean= 0.0518 | Beta= 24.5259
[train] t= 23000 | LossPi=-407.2660 | PiEntropy=-1.0268 | Alpha= 1.2228 | MinQ= 560.9633 | QcPiCVaR= 6.1930 | QcPi= 5.6667 | QcPiVar= 0.4398| BatchCostMean= 0.0452 | BatchCostMax= 0.4498 | BatchCostNZ= 0.2656| WinRewMean= 6751.0798 | WinCostMean= 0.0442 | Beta= 24.6150
[train] t= 24000 | LossPi=-406.0834 | PiEntropy=-1.0683 | Alpha= 1.1148 | MinQ= 559.9341 | QcPiCVaR= 6.1807 | QcPi= 5.6610 | QcPiVar= 0.4275| BatchCostMean= 0.0710 | BatchCostMax= 0.7427 | BatchCostNZ= 0.3203| WinRewMean= 6831.1971 | WinCostMean= 0.0500 | Beta= 24.6994
[train] t= 25000 | LossPi=-407.3428 | PiEntropy=-0.9741 | Alpha= 1.1716 | MinQ= 560.9466 | QcPiCVaR= 6.1506 | QcPi= 5.6301 | QcPiVar= 0.4296| BatchCostMean= 0.0486 | BatchCostMax= 0.6054 | BatchCostNZ= 0.2773| WinRewMean= 7349.6187 | WinCostMean= 0.0478 | Beta= 24.7882
[train] t= 26000 | LossPi=-399.4955 | PiEntropy=-0.8937 | Alpha= 1.2260 | MinQ= 553.0491 | QcPiCVaR= 6.1289 | QcPi= 5.6129 | QcPiVar= 0.4208| BatchCostMean= 0.0640 | BatchCostMax= 0.6625 | BatchCostNZ= 0.3320| WinRewMean= 6716.2622 | WinCostMean= 0.0474 | Beta= 24.8752
[train] t= 27000 | LossPi=-410.4081 | PiEntropy=-1.0095 | Alpha= 1.2184 | MinQ= 563.9890 | QcPiCVaR= 6.1042 | QcPi= 5.5839 | QcPiVar= 0.4298| BatchCostMean= 0.0659 | BatchCostMax= 0.5985 | BatchCostNZ= 0.3398| WinRewMean= 6129.5492 | WinCostMean= 0.0452 | Beta= 24.9584
[train] t= 28000 | LossPi=-394.6132 | PiEntropy=-0.9614 | Alpha= 1.3128 | MinQ= 548.8634 | QcPiCVaR= 6.1085 | QcPi= 5.5965 | QcPiVar= 0.4137| BatchCostMean= 0.0620 | BatchCostMax= 0.5493 | BatchCostNZ= 0.3086| WinRewMean= 6317.9278 | WinCostMean= 0.0548 | Beta= 25.0450
[train] t= 29000 | LossPi=-401.3842 | PiEntropy=-0.9783 | Alpha= 1.2824 | MinQ= 555.9323 | QcPiCVaR= 6.0988 | QcPi= 5.5876 | QcPiVar= 0.4130| BatchCostMean= 0.0493 | BatchCostMax= 0.6332 | BatchCostNZ= 0.2891| WinRewMean= 6536.5303 | WinCostMean= 0.0549 | Beta= 25.1349
[train] t= 30000 | LossPi=-408.2473 | PiEntropy=-1.0845 | Alpha= 1.2615 | MinQ= 562.0205 | QcPiCVaR= 6.0435 | QcPi= 5.5303 | QcPiVar= 0.4176| BatchCostMean= 0.0559 | BatchCostMax= 0.6507 | BatchCostNZ= 0.3125| WinRewMean= 6251.7432 | WinCostMean= 0.0441 | Beta= 25.2180
[train] t= 31000 | LossPi=-399.2529 | PiEntropy=-0.8066 | Alpha= 1.2672 | MinQ= 553.0187 | QcPiCVaR= 6.0376 | QcPi= 5.5242 | QcPiVar= 0.4177| BatchCostMean= 0.0611 | BatchCostMax= 0.4264 | BatchCostNZ= 0.3359| WinRewMean= 6502.0038 | WinCostMean= 0.0509 | Beta= 25.2989
[train] t= 32000 | LossPi=-400.4304 | PiEntropy=-0.9465 | Alpha= 1.2348 | MinQ= 554.0524 | QcPiCVaR= 6.0099 | QcPi= 5.5009 | QcPiVar= 0.4097| BatchCostMean= 0.0554 | BatchCostMax= 0.6054 | BatchCostNZ= 0.2969| WinRewMean= 7496.7725 | WinCostMean= 0.0466 | Beta= 25.3672
[train] t= 33000 | LossPi=-404.4448 | PiEntropy=-0.9920 | Alpha= 1.2171 | MinQ= 557.7126 | QcPiCVaR= 5.9795 | QcPi= 5.4745 | QcPiVar= 0.4030| BatchCostMean= 0.0512 | BatchCostMax= 0.5524 | BatchCostNZ= 0.2656| WinRewMean= 7189.0595 | WinCostMean= 0.0475 | Beta= 25.4302
[train] t= 34000 | LossPi=-403.8732 | PiEntropy=-0.8505 | Alpha= 1.2891 | MinQ= 557.2753 | QcPiCVaR= 5.9754 | QcPi= 5.4679 | QcPiVar= 0.4076| BatchCostMean= 0.0602 | BatchCostMax= 0.6505 | BatchCostNZ= 0.3281| WinRewMean= 7498.4775 | WinCostMean= 0.0390 | Beta= 25.4889
[train] t= 35000 | LossPi=-400.1321 | PiEntropy=-1.0324 | Alpha= 1.2754 | MinQ= 553.5321 | QcPiCVaR= 5.9581 | QcPi= 5.4526 | QcPiVar= 0.4038| BatchCostMean= 0.0506 | BatchCostMax= 0.6349 | BatchCostNZ= 0.2578| WinRewMean= 7267.4146 | WinCostMean= 0.0484 | Beta= 25.5255
[train] t= 36000 | LossPi=-399.4848 | PiEntropy=-0.9684 | Alpha= 1.2660 | MinQ= 553.1414 | QcPiCVaR= 5.9643 | QcPi= 5.4612 | QcPiVar= 0.3996| BatchCostMean= 0.0486 | BatchCostMax= 0.7340 | BatchCostNZ= 0.2812| WinRewMean= 7184.7089 | WinCostMean= 0.0459 | Beta= 25.5570
[train] t= 37000 | LossPi=-403.0567 | PiEntropy=-1.0387 | Alpha= 1.2839 | MinQ= 555.8395 | QcPiCVaR= 5.9173 | QcPi= 5.4152 | QcPiVar= 0.3992| BatchCostMean= 0.0491 | BatchCostMax= 0.4581 | BatchCostNZ= 0.2773| WinRewMean= 6778.1154 | WinCostMean= 0.0500 | Beta= 25.5943
