Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageQCVar	StdQCVar	MaxQCVar	MinQCVar	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossQCVar	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
11	2070.9543	368.46234	2891.1184	1697.9391	2385185.5	441042.2	3043399.8	1918286.2	14.153703	2.0110307	19.898523	8.152357	12.2403965	1.5003961	14.118846	9.6424675	288.0	288.0	0.0	0.0	16476.53	0.04576813693576389	330001.0	567.59564	54.992195	846.78076	465.71796	567.5953	55.00932	852.7598	464.59644	5.4190145	0.21272942	6.510566	4.1410017	0.40351018	0.05834641	0.8265321	0.32390112	1.0004642	1.0327978	3.3906775	-14.228804	-430.86917	75.25719	74.84931	0.0043132147	0.00021437427	-0.0003859852	0.1435266	1.1548722	-0.010167154	3.12671	22.799498	-1.0004635	0.28161955	140.49799	1543.1866443157196
12	2090.7227	364.6964	2893.6638	1675.7496	2420949.8	475237.38	3055911.2	1945240.1	14.701022	1.9628768	19.838476	10.303212	13.401741	1.1064115	15.926543	12.162725	288.0	288.0	0.0	0.0	18007.621	0.04617338741987179	360001.0	567.8481	54.67593	846.8575	462.6198	567.847	54.692055	859.3834	467.5644	5.4158406	0.21570277	6.6276684	4.0955315	0.40666682	0.05921034	0.8307611	0.32569128	0.99999493	1.0326629	3.4207582	-14.139351	-432.4294	74.5168	74.091576	0.00433349	0.00021782072	0.0001487292	0.1500692	1.1624849	-0.0007211145	3.1170218	22.580345	-0.9999957	0.28051782	140.45311	1683.6248688697815
13	2080.0227	374.59286	2904.17	1703.4618	2365521.2	489070.62	3105523.8	1871768.5	14.190716	2.0236201	17.9525	9.733806	14.017151	1.465341	16.115816	11.368465	288.0	288.0	0.0	0.0	19485.047	0.04639296875	390001.0	565.92535	54.40748	842.0661	457.73196	565.92395	54.427414	844.17804	465.98737	5.409287	0.21168761	6.5518265	4.1150985	0.4018325	0.05601009	0.83044386	0.345162	1.0000432	1.0273676	7.216466	-12.720518	-430.99554	73.56737	73.15599	0.004239682	0.0002063723	0.00010256532	0.14784005	1.1599258	0.03850427	3.1148589	22.533459	-1.0000426	0.29935074	140.40283	1824.0300493240356
14	2034.6382	324.68637	2873.3933	1672.8143	2204039.2	374592.06	2961551.8	1878140.2	14.305741	2.0111666	19.007874	9.028045	13.486491	1.5948364	15.980942	10.750356	288.0	288.0	0.0	0.0	20973.723	0.04660827256944444	420001.0	566.41785	54.437954	845.33026	460.8132	566.417	54.45624	843.0983	466.1769	5.421763	0.21243241	6.529497	4.1316056	0.40475753	0.06015827	0.8207916	0.34548524	0.9999835	1.0295886	6.8549848	-12.695159	-432.02084	74.05657	73.655716	0.004279538	0.00020967041	0.00018430236	0.14455223	1.1559258	-0.018263122	3.1085763	22.389421	-0.99998325	0.3021698	140.59676	1964.6362254619598
15	2051.0708	340.25308	2914.0613	1718.3212	2201145.5	384167.53	2941639.5	1803119.1	14.150318	2.087754	18.862024	8.439258	13.674059	1.5190079	15.801117	11.066312	288.0	288.0	0.0	0.0	22451.828	0.04677464192708333	450001.0	566.2349	55.017082	849.62476	462.59204	566.23334	55.037514	848.9639	466.50458	5.40665	0.21099469	6.429301	4.0944705	0.40631825	0.056264617	0.81461245	0.35103655	0.99987483	1.0294868	5.955933	-11.65094	-434.14633	75.01722	74.628334	0.004295207	0.00021189747	0.00030025677	0.1306865	1.1400427	0.039987914	3.0934017	22.053768	-0.99987483	0.3073871	140.5228	2105.1521923542023
16	2093.0627	395.65765	2903.6772	1634.7487	1999552.6	79788.56	2135649.5	1874686.8	14.140484	1.7513673	18.28434	9.3652315	13.009313	1.1560673	14.685488	11.198279	288.0	288.0	0.0	0.0	23923.668	0.04690915287990196	480001.0	565.95184	54.851692	847.0056	464.10077	565.9504	54.86426	845.46045	466.003	5.408057	0.2166606	6.384292	4.077462	0.40624115	0.05595925	0.8665568	0.32710397	1.0001549	1.0339614	4.072306	-12.3240185	-435.18243	73.670555	73.490166	0.0043168655	0.00021679835	-1.915291e-05	0.130017	1.1394114	0.04077784	3.0829566	21.825165	-1.0001553	0.31197953	140.37227	2245.5159204006195
17	2090.1018	378.0568	2912.429	1655.9209	2138775.8	393395.94	2912656.5	1792086.4	14.561365	2.1286871	19.458338	9.512039	8.918676	1.1708014	11.510713	7.480668	288.0	288.0	0.0	0.0	25438.805	0.04710889756944445	510001.0	566.3642	54.82886	849.22107	464.39316	566.3627	54.846176	844.38403	466.6643	5.4244785	0.21800043	6.46041	4.083758	0.4093382	0.057747226	0.885647	0.33140406	1.0000799	1.0282912	4.82099	-11.9224205	-435.4717	73.843094	73.61107	0.004331849	0.00021463705	5.989086e-05	0.14111689	1.152004	-0.058413513	3.0807254	21.777498	-1.00008	0.29663205	140.39229	2385.917535305023
18	2083.8928	368.7944	2933.5547	1599.8275	2371111.5	484182.97	3014077.0	1834246.5	14.283268	1.9743742	18.795502	7.829851	11.65443	0.9760942	13.372596	10.630843	288.0	288.0	0.0	0.0	26927.662	0.04724151247258772	540001.0	566.38776	55.39944	852.61127	460.80115	566.3864	55.417515	844.99786	464.8065	5.4178514	0.21974194	6.4418764	4.084493	0.406834	0.05774919	0.8611353	0.33444524	1.0001442	1.0325139	5.0473933	-11.89685	-437.13345	74.36826	74.104385	0.004345543	0.0002189607	1.1037191e-07	0.13611272	1.1464559	-0.008232736	3.0694268	21.530632	-1.0001445	0.28701544	140.44315	2526.370807170868
19	2111.3545	375.56564	2966.5508	1677.5345	2146258.0	424954.12	2982703.2	1841296.1	14.210809	1.9355174	19.330631	8.814909	12.969557	1.5544094	15.3374405	10.406761	288.0	288.0	0.0	0.0	28407.146	0.047345244140625	570001.0	566.26385	55.4354	846.23584	466.32083	566.263	55.450302	846.14935	466.32822	5.4105954	0.21733916	6.464711	4.1016393	0.40426585	0.059038773	0.84021264	0.32767376	0.999779	1.0335977	11.358697	-12.65834	-435.9988	74.87383	74.644035	0.0043355073	0.00021573016	0.00041186519	0.14186609	1.1529591	0.029504659	3.078738	21.73309	-0.9997789	0.2997284	140.54723	2666.9156918525696
20	2118.823	402.4158	2928.428	1627.1262	2245026.2	403362.9	3061998.8	1879853.9	14.242138	2.1122253	19.350483	8.561052	14.090269	1.4364153	16.221083	11.731657	288.0	288.0	0.0	0.0	29891.127	0.04744623325892857	600001.0	567.1861	56.163208	851.5346	466.1312	567.1846	56.182747	848.7251	466.14523	5.420944	0.22482282	6.4265823	4.096473	0.40883577	0.060103055	0.83036214	0.30305126	1.0001829	1.0327762	4.611577	-11.573179	-435.81873	75.03496	74.78695	0.0043542925	0.000226037	-5.242443e-05	0.14867434	1.1607114	-0.010066596	3.0849984	21.868443	-1.0001818	0.32405114	140.7423	2807.6430377960205
