[train] t= 23000 | LossPi=-602.9810 | PiEntropy=-1.2669 | Alpha= 1.0978 | PiEntTerm= 1.3908 | MinQ= 605.3542 | PiCostTerm= 0.9824 | QcPiCVaR= 6.8038 | QcPi= 6.3966 | QcPiVar= 0.2605 | Beta= 0.1444
[train] t= 24000 | LossPi=-616.7537 | PiEntropy=-0.9312 | Alpha= 1.0629 | PiEntTerm= 0.9898 | MinQ= 618.6871 | PiCostTerm= 0.9436 | QcPiCVaR= 6.9198 | QcPi= 6.5336 | QcPiVar= 0.2342 | Beta= 0.1364
[train] t= 25000 | LossPi=-634.8159 | PiEntropy=-1.1555 | Alpha= 1.0615 | PiEntTerm= 1.2266 | MinQ= 636.9635 | PiCostTerm= 0.9209 | QcPiCVaR= 7.0945 | QcPi= 6.7226 | QcPiVar= 0.2173 | Beta= 0.1298
[train] t= 26000 | LossPi=-642.0677 | PiEntropy=-0.9452 | Alpha= 1.0745 | PiEntTerm= 1.0156 | MinQ= 643.9887 | PiCostTerm= 0.9054 | QcPiCVaR= 7.2328 | QcPi= 6.8818 | QcPiVar= 0.1936 | Beta= 0.1252
[train] t= 27000 | LossPi=-660.5144 | PiEntropy=-0.9689 | Alpha= 1.0570 | PiEntTerm= 1.0241 | MinQ= 662.4280 | PiCostTerm= 0.8895 | QcPiCVaR= 7.2389 | QcPi= 6.9026 | QcPiVar= 0.1777 | Beta= 0.1229
[train] t= 28000 | LossPi=-672.3003 | PiEntropy=-1.0976 | Alpha= 1.0933 | PiEntTerm= 1.2000 | MinQ= 674.3964 | PiCostTerm= 0.8960 | QcPiCVaR= 7.3356 | QcPi= 7.0174 | QcPiVar= 0.1591 | Beta= 0.1221
[train] t= 29000 | LossPi=-684.4113 | PiEntropy=-1.0116 | Alpha= 1.0740 | PiEntTerm= 1.0864 | MinQ= 686.4109 | PiCostTerm= 0.9133 | QcPiCVaR= 7.4882 | QcPi= 7.1848 | QcPiVar= 0.1446 | Beta= 0.1220
[train] t= 30000 | LossPi=-696.0402 | PiEntropy=-0.9124 | Alpha= 1.1042 | PiEntTerm= 1.0074 | MinQ= 697.9645 | PiCostTerm= 0.9169 | QcPiCVaR= 7.5181 | QcPi= 7.2286 | QcPiVar= 0.1316 | Beta= 0.1220
[train] t= 31000 | LossPi=-704.8136 | PiEntropy=-0.5790 | Alpha= 1.1026 | PiEntTerm= 0.6384 | MinQ= 706.3679 | PiCostTerm= 0.9158 | QcPiCVaR= 7.5068 | QcPi= 7.2286 | QcPiVar= 0.1216 | Beta= 0.1220
[train] t= 32000 | LossPi=-714.2693 | PiEntropy=-0.6401 | Alpha= 1.1062 | PiEntTerm= 0.7080 | MinQ= 715.9193 | PiCostTerm= 0.9420 | QcPiCVaR= 7.7012 | QcPi= 7.4425 | QcPiVar= 0.1051 | Beta= 0.1223
[train] t= 33000 | LossPi=-724.5507 | PiEntropy=-1.0608 | Alpha= 1.0636 | PiEntTerm= 1.1282 | MinQ= 726.6454 | PiCostTerm= 0.9665 | QcPiCVaR= 7.8018 | QcPi= 7.5541 | QcPiVar= 0.0963 | Beta= 0.1239
[train] t= 34000 | LossPi=-734.0278 | PiEntropy=-0.9427 | Alpha= 1.0725 | PiEntTerm= 1.0111 | MinQ= 736.0691 | PiCostTerm= 1.0302 | QcPiCVaR= 7.8532 | QcPi= 7.6174 | QcPiVar= 0.0873 | Beta= 0.1312
[train] t= 35000 | LossPi=-741.1498 | PiEntropy=-1.1940 | Alpha= 1.1088 | PiEntTerm= 1.3239 | MinQ= 743.6479 | PiCostTerm= 1.1744 | QcPiCVaR= 7.9955 | QcPi= 7.7703 | QcPiVar= 0.0796 | Beta= 0.1469
